0	Index      	 *	Score 	Summary	Detail	
1	22243 31361	 * 	371.68	ACR|2MDPS|2VULN|1DUR	1DMSP|2RMIN|3RCR|4BBNT|58VULN|6AETHUN|7DUR|9aMDPS
2	63312 61215	 * 	371.10	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1AART|23LHND|4LIT|58VULN|6TLV|7RCR|9DUR|aMDPS
3	23122 56153	 * 	359.34	2MDPS|2VULN|1CDMG|1DMG|1DUR	1DMSP|2DUR|3LWND|4DMG|57VULN|6CDMG|8aMDPS|9ERES
4	23216 33168	 * 	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1DMSP|2DUR|3AEBURN|4DUST|5MBVNT|6CDMG|79VULN|8RCR|aMDPS
5	23131 61421	 * 	355.44	DCR|2VULN|1MDPS|3DUR	1DMSP|248DUR|34LWND|48BPWR|58BEXP|6RCR|78VULN|9ZMB|aMDPS
6	23131 61411	   	355.34	DCR|2VULN|1MDPS|3DUR	1DMSP|248DUR|34LWND|48BPWR|58BEXP|6RCR|78VULN|9FLTFST|aMDPS
7	23131 61431	   	355.34	DCR|2VULN|1MDPS|3DUR	1DMSP|248DUR|34LWND|48BPWR|58BEXP|6RCR|78VULN|9ERES|aMDPS
8	23611 61421	   	355.24	DCR|2VULN|1MDPS|3DUR	1DMSP|238DUR|4DUST|58BEXP|6RCR|78VULN|8BPWR|9ZMB|aMDPS
9	23611 61411	   	355.14	DCR|2VULN|1MDPS|3DUR	1DMSP|238DUR|4DUST|58BEXP|6RCR|78VULN|8BPWR|9FLTFST|aMDPS
10	23611 61431	   	355.14	DCR|2VULN|1MDPS|3DUR	1DMSP|238DUR|4DUST|58BEXP|6RCR|78VULN|8BPWR|9ERES|aMDPS
11	23122 62253	 * 	352.84	DCR|3VULN|2DMG|1CDMG|2DUR	1DMSP|28DUR|3LWND|48DMG|568VULN|7AAC|8BPWR|9CDMG|aRCR
12	63312 21215	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1AART|23LHND|4LIT|58VULN|6RMIN|7RCR|9DUR|aMDPS
13	63351 21215	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1AART|23LHND|48VULN|5LIT|6RMIN|7RCR|9DUR|aMDPS
14	66441 63232	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1AART|2MBVNT|3BEXP|4RAT|58VULN|6RCR|7DUR|9FEWX|aMDPS
15	62134 53428	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1AART|24VENTOX|3MBVNT|4BPWR|5DUR|67VULN|8RCR|9RCVC|aMDPS
16	62134 53481	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1AART|24VENTOX|3MBVNT|4BPWR|5DUR|67VULN|8RCR|9RMIN|aMDPS
17	62134 53417	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1AART|24VENTOX|3MBVNT|4BPWR|5DUR|67VULN|8RCR|9AIRHEA|aMDPS
18	62134 53448	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1AART|24VENTOX|3MBVNT|4BPWR|5DUR|67VULN|8RCR|9AEBURN|aMDPS
19	21631 61421	   	344.00	DCR|2VULN|1MDPS|2DUR	1DMSP|248LWND|34DUR|48BPWR|58BEXP|6RCR|78VULN|9ZMB|aMDPS
20	21631 61411	   	343.90	DCR|2VULN|1MDPS|2DUR	1DMSP|248LWND|34DUR|48BPWR|58BEXP|6RCR|78VULN|9FLTFST|aMDPS
21	21631 61431	   	343.90	DCR|2VULN|1MDPS|2DUR	1DMSP|248LWND|34DUR|48BPWR|58BEXP|6RCR|78VULN|9ERES|aMDPS
