0	Index      	 *	Score 	Summary	Detail	
1	12333 11521	 * 	383.41	DCR|2VULN|1MDPS|2CDMG|2DUR|1SELL	1BELT|28DUR|3SELL|4LEGI|58VULN|6RCR|78CDMG|8BPWR|9RPLT|aMDPS
2	12643 53321	 * 	378.71	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1BELT|2DUR|35VULN|45LIT|5BPWR|6RCR|7AME|8CDMG|9DMG|aMDPS
3	12242 13426	 * 	370.57	DCR|2MDPS|1VULN|2DUR	1BELT|27DUR|3LWND|4LIT|5TBNT|6VULN|8RCR|9aMDPS
4	11335 13426	   	370.47	DCR|2MDPS|1VULN|2DUR	1BELT|2TBNT|3AETHUN|47DUR|5LIT|6VULN|8RCR|9aMDPS
5	12633 25631	 * 	364.49	DCR|3VULN|2TLV|2DUR|1DMG|1AART	1BELT|29DUR|39aVULN|4ERES|5AART|6RCR|7DMG|89TLV|9BPWR
6	12242 11426	   	358.01	DCR|2MDPS|1VULN|1DUR	1BELT|2DUR|3LWND|4LIT|5TBNT|6VULN|7AEWIND|8RCR|9aMDPS
7	12632 23426	   	358.01	DCR|2MDPS|1VULN|1DUR	1BELT|2DUR|3VULN|4ERES|5BBNT|6CGEN|7LIT|8RCR|9aMDPS
8	11335 11426	   	357.91	DCR|2MDPS|1VULN|1DUR	1BELT|2TBNT|3AETHUN|4DUR|5LIT|6VULN|7AEWIND|8RCR|9aMDPS
9	13341 51151	 * 	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	12BELT|3RPLT|4BEXP|5DUR|69VULN|7TLV|8RCR|aMDPS
10	12633 23256	 * 	357.25	DCR|2VULN|1MDPS|2AART|1DUR	1BELT|2DUR|39VULN|4ERES|57AART|6RCR|8CGEN|aMDPS
11	12633 23356	   	357.25	DCR|2VULN|1MDPS|2AART|1DUR	1BELT|2DUR|39VULN|4ERES|57AART|6RCR|8AAC|aMDPS
12	12643 22111	 * 	355.77	2MDPS|3VULN|1DUR	1BELT|2DUR|356VULN|45LIT|5BPWR|7LHND|8aMDPS|9AEPOI
13	12643 22141	   	355.77	2MDPS|3VULN|1DUR	1BELT|2DUR|356VULN|45LIT|5BPWR|7LHND|8aMDPS|9FLTFST
14	12643 22151	   	355.77	2MDPS|3VULN|1DUR	1BELT|2DUR|356VULN|45LIT|5BPWR|7LHND|8aMDPS|9MULHEA
15	12643 26111	   	355.77	2MDPS|3VULN|1DUR	1BELT|2DUR|356VULN|45LIT|5BPWR|7FEWX|8aMDPS|9AEPOI
16	12643 26131	   	355.77	2MDPS|3VULN|1DUR	1BELT|2DUR|356VULN|45LIT|5BPWR|79FEWX|8aMDPS
17	12643 21111	   	355.67	2MDPS|3VULN|1DUR|1MSE	1BELT|2DUR|356VULN|45LIT|5BPWR|7MSE|8aMDPS|9AEPOI
18	12643 21141	   	355.67	2MDPS|3VULN|1DUR|1MSE	1BELT|2DUR|356VULN|45LIT|5BPWR|7MSE|8aMDPS|9FLTFST
19	12643 21151	   	355.67	2MDPS|3VULN|1DUR|1MSE	1BELT|2DUR|356VULN|45LIT|5BPWR|7MSE|8aMDPS|9MULHEA
20	12643 25111	   	355.67	2MDPS|3VULN|1DUR	1BELT|2DUR|356VULN|45LIT|5BPWR|7DUST|8aMDPS|9AEPOI
