0	Index      	 *	Score 	Summary	Detail	
1	33113 24416	 * 	301.61	橙橙3易伤1伤害	1掉矿2平台3爆破对壮4立即金币57a易伤69核8伤害
2	33113 24116	   	295.20	橙橙3易伤1攻速	1掉矿2平台3爆破对壮4立即金币57a易伤69核8攻速
3	33163 24116	   	295.10	橙橙3易伤1攻速	14掉矿2平台3爆破对壮57a易伤69核8攻速
4	23462 22261	   	294.28	橙橙2易伤1伤害1矿等1策反	13易伤2赏金邻近3序列升级4矿等5时间6基地爆炸79核8策反a伤害
5	33113 24411	   	286.46	橙橙2易伤1伤害	1掉矿2平台3爆破对壮4立即金币57易伤69核8伤害a时间
6	33163 24411	   	286.36	橙橙2易伤1伤害	14掉矿2平台3爆破对壮57易伤69核8伤害a时间
7	23461 22261	   	285.98	橙橙2易伤1伤害1矿等1策反	13易伤2赏金邻近3序列升级4矿等5最后敌人6基地爆炸79核8策反a伤害
8	33113 24413	   	283.35	橙橙2易伤1伤害2平台	1掉矿2a平台3爆破对壮4立即金币57易伤69核8伤害
9	33163 24413	   	283.25	橙橙2易伤1伤害2平台	14掉矿2a平台3爆破对壮57易伤69核8伤害
10	33113 24616	   	281.55	橙橙3易伤	1掉矿2平台3爆破对壮4立即金币57a易伤69核8技能
11	21225 13262	 * 	280.78	紫橙3易伤1伤害1矿等	18a易伤2等级3金币生成49核5伤害6矿等7赏金塔
12	23422 22266	   	280.15	橙橙3易伤1策反	13a易伤2赏金邻近3序列升级4金币生成5时间6基地爆炸79核8策反
13	33113 24111	   	280.04	橙橙2易伤1攻速	1掉矿2平台3爆破对壮4立即金币57易伤69核8攻速a时间
14	33163 24111	   	279.94	橙橙2易伤1攻速	14掉矿2平台3爆破对壮57易伤69核8攻速a时间
15	33113 24412	   	278.15	橙橙2易伤1伤害	1掉矿2平台3爆破对壮4立即金币57易伤69核8伤害a赏金塔
16	33113 24414	   	278.15	橙橙2易伤1伤害	1掉矿2平台3爆破对壮4立即金币57易伤69核8伤害a敌人爆炸
17	33113 24415	   	278.15	橙橙2易伤1伤害	1掉矿2平台3爆破对壮4a立即金币57易伤69核8伤害
18	33163 24412	   	278.05	橙橙2易伤1伤害	14掉矿2平台3爆破对壮57易伤69核8伤害a赏金塔
19	33113 24113	   	276.93	橙橙2易伤2平台1攻速	1掉矿2a平台3爆破对壮4立即金币57易伤69核8攻速
20	23422 22461	   	276.90	橙橙2易伤1伤害	13易伤2赏金邻近3序列升级4金币生成5时间6基地爆炸79核8核弹a伤害
21	33163 24113	   	276.83	橙橙2易伤2平台1攻速	14掉矿2a平台3爆破对壮57易伤69核8攻速
22	23422 22261	   	276.75	橙橙2易伤1伤害1策反	13易伤2赏金邻近3序列升级4金币生成5时间6基地爆炸79核8策反a伤害
23	21561 13342	 * 	274.88	橙4易伤2伤害2矿等	159a易伤2等级39矿等4技能6赏金邻近79伤害8核9序列升级
24	23442 33342	   	274.88	橙4易伤2伤害2矿等	139a易伤2赏金邻近39序列升级4双倍矿5基地爆炸69矿等79伤害8核
25	23153 33342	   	274.78	橙4易伤2伤害2矿等	159a易伤2赏金邻近3挖尘4双倍矿69矿等79伤害8核9序列升级
26	23163 33342	   	274.68	橙4易伤2伤害2矿等	159a易伤2赏金邻近34挖尘69矿等79伤害8核9序列升级
27	21462 22362	   	274.37	紫橙3易伤1矿等1攻速	17a易伤2等级39核4赏金塔5矿等6金币生成8攻速
28	21462 12362	   	274.27	紫橙3易伤1矿等1攻速	17a易伤2等级39核4赏金塔5矿等6掉矿8攻速
29	23422 22264	   	274.22	橙橙2易伤1矿等1策反	13易伤2赏金邻近3序列升级4金币生成5时间6基地爆炸79核8策反a矿等
30	23462 22262	   	274.22	橙橙2易伤1矿等1策反	13易伤2赏金邻近3序列升级4矿等5时间6基地爆炸79核8策反a立即金币
31	23462 22263	   	274.22	橙橙2易伤1矿等1策反	13易伤2赏金邻近3序列升级4矿等5时间6基地爆炸79核8策反a额外掉落
32	21225 13162	 * 	272.93	紫橙2易伤2矿等1伤害	1a易伤2等级3金币生成49核5伤害68矿等7赏金塔
33	21511 13342	   	272.92	橙4易伤2伤害1矿等1攻速	159a易伤29等级3矿等4攻速6赏金邻近79伤害8核9序列升级
34	33113 24112	   	271.74	橙橙2易伤1攻速	1掉矿2平台3爆破对壮4立即金币57易伤69核8攻速a赏金塔
35	33113 24114	   	271.74	橙橙2易伤1攻速	1掉矿2平台3爆破对壮4立即金币57易伤69核8攻速a敌人爆炸
36	33113 24115	   	271.74	橙橙2易伤1攻速	1掉矿2平台3爆破对壮4a立即金币57易伤69核8攻速
37	33163 24112	   	271.64	橙橙2易伤1攻速	14掉矿2平台3爆破对壮57易伤69核8攻速a赏金塔
38	33163 24114	   	271.64	橙橙2易伤1攻速	14掉矿2平台3爆破对壮57易伤69核8攻速a敌人爆炸
39	33163 24115	   	271.64	橙橙2易伤1攻速	14掉矿2平台3爆破对壮57易伤69核8攻速a立即金币
