0	Index      	 *	Score 	Summary	Detail	
1	33422 36623	 * 	274.12	橙橙2易伤1矿等1策反	1策反2挖尘3时间4雷电5矿等6立即金币79核8a易伤
2	45133 81444	 * 	271.99	橙橙3易伤	1低血量敌人2加一35最后敌人457易伤5序列升级6双倍物品8a核9赏金邻近
3	55133 81444	   	271.99	橙橙3易伤	1最后敌人2加一35低血量敌人457易伤5序列升级6双倍物品8a核9赏金邻近
4	63312 35412	 * 	267.61	橙橙1易伤1伤害1矿等1全技能	1掉矿2伤害3雷电4易伤5矿等6低血量敌人7a核8全技能9双倍秒伤
5	56336 31444	   	265.96	橙橙2易伤1矿等	1最后敌人2双倍物品3随机矿4加一57易伤6矿等8a核9赏金邻近
6	11616 42313	   	263.28	橙橙2易伤2平台	1散射对甲25平台3立即金币4随机矿69易伤7爆破对冰8a核
7	45432 81421	   	261.93	橙橙2易伤1攻速1卖塔	1低血量敌人2加一3攻速4赏金邻近5卖塔68核79易伤a基地爆炸
8	45432 81424	   	261.93	橙橙2易伤1攻速1卖塔	1a低血量敌人2加一3攻速4赏金邻近5卖塔68核79易伤
9	45432 81422	   	261.83	橙橙2易伤1攻速1卖塔	1低血量敌人2加一3攻速4赏金邻近5卖塔68核79易伤a散射对甲
10	45432 81423	   	261.83	橙橙2易伤1攻速1卖塔1策反	1低血量敌人2加一3攻速4赏金邻近5卖塔68核79易伤a策反
11	21131 53323	 * 	258.10	橙橙2伤害1易伤	1激光减费2金币生成34伤害5雷电69核7赏金邻近8立即金币a易伤
12	11615 42313	   	258.09	橙橙2易伤1平台	1散射对甲2平台3立即金币45随机矿69易伤7爆破对冰8a核
13	12163 21213	   	257.79	橙橙2易伤1平台	1散射对甲23技能点4机枪对壮5激光减费6a核79易伤8平台
14	12163 26313	   	257.79	橙橙2易伤1平台	1散射对甲23技能点4机枪对壮5激光减费6a核7平台89易伤
15	12263 21213	   	257.79	橙橙2易伤1平台	13散射对甲2技能点4机枪对壮5激光减费6a核79易伤8平台
16	12263 26313	   	257.79	橙橙2易伤1平台	13散射对甲2技能点4机枪对壮5激光减费6a核7平台89易伤
17	12264 21213	   	257.79	橙橙2易伤1平台	13散射对甲25技能点4机枪对壮6a核79易伤8平台
18	12264 26313	   	257.79	橙橙2易伤1平台	13散射对甲25技能点4机枪对壮6a核7平台89易伤
19	33423 36623	   	256.59	橙橙2易伤1策反	1策反2挖尘3时间4雷电5随机矿6立即金币79核8a易伤
20	63313 35412	   	250.07	橙橙1易伤1伤害1全技能	1掉矿2伤害3雷电4易伤5等级6低血量敌人7a核8全技能9双倍秒伤
21	35313 23531	 * 	249.03	橙2易伤3攻速2伤害3策反	159策反2挖青345攻速5a序列升级6a易伤7核8a伤害
22	45433 11461	 * 	247.22	紫橙1易伤1伤害1攻速1暴击	1低血量敌人2加一3攻速4赏金邻近58核6暴击7易伤9时间a伤害
23	45433 11421	 * 	246.92	紫橙2易伤1攻速1暴击	1低血量敌人2加一3攻速4赏金邻近58核6暴击79易伤a基地爆炸
24	45433 11424	   	246.92	紫橙2易伤1攻速1暴击	1a低血量敌人2加一3攻速4赏金邻近58核6暴击79易伤
25	45433 11426	   	246.92	紫橙2易伤1攻速1暴击	1低血量敌人2加一3攻速4赏金邻近58核6暴击79易伤a随机矿
26	45433 11427	   	246.92	紫橙2易伤1攻速1暴击	1低血量敌人2加一3攻速4赏金邻近58核6暴击79易伤a金币生成
27	45433 11422	   	246.82	紫橙2易伤1攻速1暴击	1低血量敌人2加一3攻速4赏金邻近58核6暴击79易伤a散射对甲
28	45433 11423	   	246.82	紫橙2易伤1攻速1暴击1策反	1低血量敌人2加一3攻速4赏金邻近58核6暴击79易伤a策反
29	45433 11425	   	246.82	紫橙2易伤1攻速1暴击	1低血量敌人2加一3攻速4赏金邻近58核6暴击79易伤a挖尘
30	33422 36223	   	246.04	橙橙1易伤1矿等1策反	1策反2挖尘3时间4雷电5矿等6立即金币79核8最后敌人a易伤
31	33423 15623	   	246.04	橙橙1易伤1矿等1策反	1策反2挖尘3时间4雷电5随机矿6等级79核8矿等a易伤
32	35422 36223	   	246.04	橙橙1易伤1矿等1策反	1策反2挖青3时间4雷电5矿等6立即金币79核8最后敌人a易伤
33	33422 36621	   	245.94	橙橙1易伤1矿等1策反1挖怪	1策反2挖尘3时间4雷电5矿等6立即金币79核8易伤a挖怪
34	33422 36622	   	245.94	橙橙1易伤1矿等1策反	1策反2挖尘3时间4雷电5矿等6立即金币79核8易伤a机枪对壮
35	33611 41623	   	244.97	紫橙2易伤1矿等2策反	13策反2挖尘4矿等59核6雷电7时间8a易伤
