0	Index      	 *	Score 	Summary	Detail	
1	53353 62113	 * 	285.34	橙橙2易伤1攻速1暴击1全技能1策反	1低血量敌人2攻速39易伤4基地爆炸5策反67核8全技能a暴击
2	53353 62111	 * 	280.00	橙橙2易伤1攻速1全技能1策反	1低血量敌人2攻速39易伤4基地爆炸5策反67核8全技能a时间
3	44611 11132	 * 	274.37	橙橙2易伤1矿等	1寒冰对冰2矿等39易伤4赏金塔5双倍秒伤6时间7a核8金币生成
4	53353 62112	   	271.69	橙橙2易伤1攻速1全技能1策反	1低血量敌人2攻速39易伤4基地爆炸5策反67核8全技能a最后敌人
5	53353 62122	   	271.69	橙橙2易伤1攻速1全技能1策反	1低血量敌人2攻速3a易伤4基地爆炸5策反67核8全技能9技能
6	53353 62132	   	271.69	橙橙2易伤1攻速1全技能1策反	1低血量敌人2攻速3a易伤4基地爆炸5策反67核8全技能9雷电
7	36363 53321	   	263.38	橙橙2易伤2时间	1敌人爆炸2等级34易伤5随机矿6双倍物品7a时间89核
8	53353 62223	   	261.93	橙橙2易伤1攻速1策反	19低血量敌人2攻速3a易伤4基地爆炸5策反67核8双倍秒伤
9	12311 61453	   	258.19	橙橙2易伤1平台	1雷电2平台37额外掉落45易伤6掉矿8a核9低血量敌人
10	12311 61413	   	258.09	橙橙2易伤1平台	1雷电2平台37额外掉落45易伤6掉矿8a核9挖尘
11	36363 53323	   	256.83	橙橙2易伤	1敌人爆炸2等级34易伤5随机矿6双倍物品7时间89核a技能
12	36363 53322	   	256.73	橙橙2易伤	1敌人爆炸2等级34易伤5随机矿6双倍物品7时间89核a技能点
13	65333 31132	   	256.73	橙橙2易伤	1等级2赏金塔3双倍秒伤49易伤5时间6加农对甲7a核8金币生成
14	65342 11132	   	256.73	橙橙2易伤	1等级2赏金塔3双倍秒伤4狙击对黄59易伤6时间7a核8金币生成
15	25333 31132	   	256.63	橙橙2易伤	1掉矿2赏金塔3双倍秒伤49易伤5时间6加农对甲7a核8金币生成
16	25333 31632	   	256.63	橙橙2易伤	1掉矿2赏金塔3双倍秒伤49易伤5时间6加农对甲7a核8等级
17	25342 11132	   	256.63	橙橙2易伤	1掉矿2赏金塔3双倍秒伤4狙击对黄59易伤6时间7a核8金币生成
18	25342 11632	   	256.63	橙橙2易伤	1掉矿2赏金塔3双倍秒伤4狙击对黄59易伤6时间7a核8等级
19	25355 31132	   	256.63	橙橙2易伤	1掉矿2赏金塔3双倍秒伤4时间59易伤6加农对甲7a核8金币生成
20	26333 31132	   	256.63	橙橙2易伤	1掉矿2赏金邻近3双倍秒伤49易伤5时间6加农对甲7a核8金币生成
21	26333 31632	   	256.63	橙橙2易伤	1掉矿2赏金邻近3双倍秒伤49易伤5时间6加农对甲7a核8等级
22	26342 11132	   	256.63	橙橙2易伤	1掉矿2赏金邻近3双倍秒伤4狙击对黄59易伤6时间7a核8金币生成
23	26342 11632	   	256.63	橙橙2易伤	1掉矿2赏金邻近3双倍秒伤4狙击对黄59易伤6时间7a核8等级
24	26355 31132	   	256.63	橙橙2易伤	1掉矿2赏金邻近3双倍秒伤4时间59易伤6加农对甲7a核8金币生成
25	53353 62322	 * 	256.07	橙橙1易伤2攻速1平台1策反	1低血量敌人29攻速3易伤4基地爆炸5策反67核8双倍矿a平台
