0	Index      	 *	Score 	Summary	Detail	
1	33131 51552	 * 	289.52	橙橙3易伤1矿等	15基地爆炸2双倍秒伤3矿等4赏金塔67a易伤89核
2	32422 21552	   	280.40	橙橙3易伤	1基地爆炸2赏金塔3低血量敌人4时间57a易伤6金币生成89核
3	12332 31552	   	280.30	橙橙3易伤	1低血量敌人2赏金塔37a易伤4技能点5基地爆炸6时间89核
4	12352 31552	   	280.30	橙橙3易伤	1低血量敌人2赏金塔37a易伤4掉矿5基地爆炸6时间89核
5	62332 31552	   	280.30	橙橙3易伤	1敌人爆炸2赏金塔37a易伤4技能点5基地爆炸6时间89核
6	15516 23123	 * 	278.35	橙橙2易伤1伤害1平台	1低血量敌人2雷电34易伤5等级69核7敌人爆炸8伤害a平台
7	35516 23123	   	278.35	橙橙2易伤1伤害1平台	1基地爆炸2雷电34易伤5等级69核7敌人爆炸8伤害a平台
8	15513 23123	   	278.25	橙橙2易伤1伤害1平台	1低血量敌人2雷电34易伤5金币生成69核7挖尘8伤害a平台
9	15513 23124	   	278.25	橙橙2易伤1伤害1全技能	1低血量敌人2雷电34易伤5金币生成69核7挖尘8伤害a全技能
10	15516 23121	   	277.00	橙橙2易伤1伤害	1低血量敌人2雷电34易伤5等级69核7敌人爆炸8伤害a时间
11	35516 23121	   	277.00	橙橙2易伤1伤害	1基地爆炸2雷电34易伤5等级69核7敌人爆炸8伤害a时间
12	15513 23121	   	276.90	橙橙2易伤1伤害	1低血量敌人2雷电34易伤5金币生成69核7挖尘8伤害a时间
13	31234 74727	 * 	276.80	紫橙3易伤1伤害1攻速	1基地爆炸26核3攻速4加一5雷电79a易伤8伤害
14	32126 21552	   	271.99	橙橙3易伤	1基地爆炸2赏金塔3金币生成4挖尘57a易伤6敌人爆炸89核
15	32126 31552	   	271.99	橙橙3易伤	1基地爆炸2赏金塔3金币生成4挖尘57a易伤6低血量敌人89核
16	33231 51552	   	271.99	橙橙3易伤	15基地爆炸2双倍秒伤3等级4赏金塔67a易伤89核
17	12331 21552	   	271.89	橙橙3易伤	1低血量敌人2赏金塔37a易伤4技能点5挖尘6基地爆炸89核
18	12332 41552	   	271.89	橙橙3易伤	1低血量敌人2赏金塔37a易伤4技能点5基地爆炸6挖尘89核
19	12351 21552	   	271.89	橙橙3易伤	1低血量敌人2赏金塔37a易伤4掉矿5挖尘6基地爆炸89核
20	13422 31552	   	271.89	橙橙3易伤	14低血量敌人2双倍秒伤3赏金邻近57a易伤6掉矿89核
21	32331 21552	   	271.89	橙橙3易伤	1基地爆炸2赏金塔37a易伤4技能点5挖尘6敌人爆炸89核
22	32331 31552	   	271.89	橙橙3易伤	1基地爆炸2赏金塔37a易伤4技能点5挖尘6低血量敌人89核
23	32351 21552	   	271.89	橙橙3易伤	1基地爆炸2赏金塔37a易伤4掉矿5挖尘6敌人爆炸89核
24	32351 31552	   	271.89	橙橙3易伤	1基地爆炸2赏金塔37a易伤4掉矿5挖尘6低血量敌人89核
25	62331 21552	   	271.89	橙橙3易伤	1敌人爆炸2赏金塔37a易伤4技能点5挖尘6基地爆炸89核
26	62331 31552	   	271.89	橙橙3易伤	1敌人爆炸2赏金塔37a易伤4技能点5挖尘6低血量敌人89核
27	12336 21552	   	271.79	橙橙3易伤	1低血量敌人2赏金塔37a易伤45技能点6双倍秒伤89核
28	53232 13435	 * 	270.84	橙4易伤2矿等1伤害1暴击	1金币生成26矿等3伤害4暴击568a易伤6序列升级7等级9核
29	53232 11435	   	270.74	橙4易伤2矿等1伤害1暴击	1金币生成26矿等3伤害4暴击568a易伤6序列升级7掉矿9核
30	53232 12433	 * 	270.66	橙3易伤2矿等1伤害2暴击1攻速	1金币生成26矿等3伤害4a暴击568易伤6序列升级7攻速9核
31	31243 24226	 * 	269.39	紫橙3易伤2攻速	17基地爆炸29核37攻速4掉矿5雷电67a易伤7序列升级8敌人爆炸
32	15513 23125	   	268.59	橙橙2易伤1伤害	1低血量敌人2雷电34易伤5金币生成69核7挖尘8伤害a最后敌人
33	15516 23122	   	268.59	橙橙2易伤1伤害1挖怪	1低血量敌人2雷电34易伤5等级69核7敌人爆炸8伤害a挖怪
34	35516 23122	   	268.59	橙橙2易伤1伤害1挖怪	1基地爆炸2雷电34易伤5等级69核7敌人爆炸8伤害a挖怪
35	15513 23122	   	268.49	橙橙2易伤1伤害1挖怪	1低血量敌人2雷电34易伤5金币生成69核7挖尘8伤害a挖怪
36	15513 23126	   	268.49	橙橙2易伤1伤害	1低血量敌人2雷电34易伤5金币生成69核7挖尘8伤害a技能点
37	33131 51553	   	266.06	橙橙2易伤1矿等	15基地爆炸2双倍秒伤3矿等4赏金塔67易伤89核a技能
38	52111 12552	   	266.06	橙橙2易伤1矿等	1金币生成2低血量敌人3掉矿4矿等5敌人爆炸6a易伤7赏金邻近89核
