0	Index      	 *	Score 	Summary	Detail	
1	14123 43431	 * 	217.08	紫3易伤3攻速1伤害1基地爆炸	1策反29a掉矿3时间4核5伤害69a易伤7基地爆炸89a攻速9a序列升级
2	12523 31326	 * 	207.58	紫1基础对甲2易伤2基地爆炸1全技能	19策反2低血量敌人3核4双倍秒伤5挖青69易伤79基地爆炸8全技能9序列升级a基础对甲
3	34135 31633	 * 	205.01	橙2基础对甲3伤害1攻速1全技能	1立即金币249伤害349防空对甲49序列升级5攻速6磁铁减费79基础对甲8全技能a核
4	12533 11346	 * 	204.05	紫1基础对甲2伤害1基地爆炸1暴击1卖塔	1策反2低血量敌人3核4基地爆炸5卖塔6暴击7雷电89伤害a基础对甲
5	14323 42431	   	203.43	紫3易伤3攻速1伤害	1策反29a掉矿3最后敌人4核5伤害69a易伤7时间89a攻速9a序列升级
6	63335 11324	 * 	201.01	紫3易伤2基地爆炸1攻速1全技能1暴击	1全技能29基地爆炸3攻速4额外掉落5核69敌人爆炸789易伤9序列升级a暴击
7	63335 11623	 * 	200.03	紫2易伤2攻速2基地爆炸1全技能1技能	1全技能29基地爆炸38攻速4额外掉落5核69敌人爆炸79易伤9序列升级a技能
8	12531 32231	 * 	199.22	紫3伤害3基地爆炸1易伤	19a策反2低血量敌人3核49a基地爆炸5等级6易伤7随机矿89a伤害9a序列升级
9	12531 32431	 * 	199.22	紫3攻速3基地爆炸1易伤	19a策反2低血量敌人3核49a基地爆炸5等级6易伤7随机矿89a攻速9a序列升级
10	12223 11346	 * 	199.05	紫1基础对甲2伤害1基地爆炸1暴击1卖塔	1策反2低血量敌人3基地爆炸4核5卖塔6暴击7雷电89伤害a基础对甲
11	63335 35311	   	198.37	紫2攻速1易伤1伤害1基地爆炸1暴击1全技能	1全技能2基地爆炸39攻速46额外掉落5核7易伤8伤害a暴击
12	42326 23241	 * 	195.02	紫2攻速2伤害2暴击1全技能	125雷电39暴击4核69攻速79伤害8全技能9序列升级a策反
13	42326 23242	   	195.02	紫2攻速2伤害2暴击1全技能	125雷电39暴击4核69攻速79伤害8全技能9序列升级a随机矿
14	42326 23243	   	195.02	紫2攻速2伤害2暴击1全技能	125雷电39暴击4核69攻速79伤害8全技能9序列升级a金币生成
