0	Index      	 *	Score 	Summary	Detail	
1	22323 51253	 * 	276.50	DCR|DCR|2VULN|1DMG|1DUR|1AART	1ZMB|2RPLT|3DMG|4LWND|5AART|68VULN|79RCR|aDUR
2	51411 11421	 * 	266.59	DCR|DCR|2DMG|1VULN|1TLV	1LIT|2AEBURN|3aDMG|4BEXP|5AEFRZ|6VULN|79RCR|8TLV
3	24163 21421	   	264.81	DCR|DCR|1VULN|1TLV|1DMG|1MLV	16ZMB|2LIT|3RMIN|4VULN|5MLV|79RCR|8TLV|aDMG
4	25363 21421	   	264.81	DCR|DCR|1VULN|1TLV|1DMG|1MLV	16ZMB|2RMIN|3LIT|4VULN|5MLV|79RCR|8TLV|aDMG
5	26362 21121	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	16ZMB|2TLV|3LIT|4VULN|5AME|79RCR|8MLV|aDMG
6	22423 51253	   	263.38	DCR|DCR|2VULN|1DUR|1AART	1ZMB|2RPLT|3ASPD|4LWND|5AART|68VULN|79RCR|aDUR
7	22323 51251	   	262.85	DCR|DCR|2VULN|1DMG|1AART	1ZMB|2RPLT|3DMG|4LWND|5AART|68VULN|79RCR|aBELT
8	22323 51252	   	262.85	DCR|DCR|2VULN|1DMG|1AART	1ZMB|2RPLT|3DMG|4aLWND|5AART|68VULN|79RCR
9	22323 51255	   	262.75	DCR|DCR|2VULN|1DMG|1AART	1ZMB|2RPLT|3DMG|4LWND|5AART|68VULN|79RCR|aERES
10	22323 51652	   	262.75	DCR|DCR|2VULN|1DMG|1AART	1ZMB|2RPLT|3DMG|4LWND|5AART|6aVULN|79RCR|8AME
11	55214 32321	 * 	262.08	DCR|DCR|1VULN|2DUR|1TLV	1LIT|2LEGI|3TLV|4aDUR|5LHND|69RCR|7ASPD|8VULN
12	24163 21423	   	258.39	DCR|DCR|1VULN|1TLV|1MLV|1DUR	16ZMB|2LIT|3RMIN|4VULN|5MLV|79RCR|8TLV|aDUR
13	25363 21423	   	258.39	DCR|DCR|1VULN|1TLV|1MLV|1DUR	16ZMB|2RMIN|3LIT|4VULN|5MLV|79RCR|8TLV|aDUR
14	26362 21123	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	16ZMB|2TLV|3LIT|4VULN|5AME|79RCR|8MLV|aDUR
15	32153 33155	   	258.19	DCR|DCR|1VULN|2DUR|1MLV|1AART|1NUKE	16DUR|2NUKE|3AART|4VULN|5RPLT|7ZMB|89RCR|aMLV
