0	Index      	 *	Score 	Summary	Detail	
1	21246 23125	 * 	273.09	DCR|DCR|2TLV|1VULN|1DMG|2ASPD	13TLV|23ASPD|3BPWR|4BELT|5DMG|6LHND|7VULN|8MDPS|9aRCR
2	25421 34223	 * 	268.65	ACR|DCR|2VULN|3MLV|2TLV	18TLV|2ERES|39RCR|4AETHUN|58VULN|68aMLV|7MDPS|8BPWR
3	25421 34221	   	259.55	ACR|DCR|2VULN|2TLV|2MLV	18TLV|2ERES|39RCR|4AETHUN|58VULN|68MLV|7MDPS|8BPWR|aRMIN
4	25421 34222	   	259.45	ACR|DCR|2VULN|2TLV|2MLV	18TLV|2ERES|39RCR|4AETHUN|58VULN|68MLV|7MDPS|8BPWR|aCANSTR
5	23433 64323	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1TLV|2DUR|3RPLT|4MLV|5BELT|6RAT|78RCR|9MBVNT|aVULN
6	23665 23323	   	252.92	DCR|DCR|2TLV|1VULN|1DUR	16TLV|2DUR|3FEWX|4LHND|5BBNT|7aRCR|8CANSTR|9VULN
7	23315 23323	   	252.82	DCR|DCR|2TLV|1VULN|1DUR	16TLV|2DUR|3AETHUN|4FEWX|5TBNT|7aRCR|8VENICY|9VULN
8	23515 23323	   	252.82	DCR|DCR|2TLV|1VULN|1DUR	16TLV|2DUR|3DUST|4FEWX|5BBNT|7aRCR|8CANSTR|9VULN
9	23525 23333	   	252.82	DCR|DCR|2TLV|1VULN|1DUR	16TLV|2DUR|3DUST|4VULN|5TBNT|7aRCR|8VENICY|9FEWX
10	24345 23323	   	252.82	DCR|DCR|2TLV|1VULN|1DUR	16TLV|2FEWX|3AETHUN|4DUR|5TBNT|7aRCR|8VENICY|9VULN
11	62265 32213	 * 	250.58	ACR|DCR|2VULN|1FLTARM|1MLV|1AART	1RCVC|2MDPS|39RCR|4RMIN|5AART|6MLV|7FLTARM|8aVULN
12	23323 45133	 * 	249.95	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|256DUR|3AETHUN|46aVULN|6BPWR|7LIT|8DMG|9RCR
13	23341 45133	   	249.95	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|246DUR|3AETHUN|56aVULN|6BPWR|7LIT|8DMG|9RCR
14	23323 42332	   	249.85	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|256DUR|3AETHUN|468VULN|6BPWR|7SPLREG|9RCR|aDMG
15	23323 46132	   	249.85	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|256DUR|3AETHUN|467VULN|6BPWR|8SPLJET|9RCR|aDMG
16	23323 46324	   	249.85	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|256DUR|3AETHUN|467VULN|6BPWR|8DMG|9ERES|aRCR
17	23323 46341	   	249.85	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|256DUR|3AETHUN|467VULN|6BPWR|8DMG|9MDPS|aRCR
18	23341 42332	   	249.85	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|246DUR|3AETHUN|568VULN|6BPWR|7SPLREG|9RCR|aDMG
19	23341 46132	   	249.85	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|246DUR|3AETHUN|567VULN|6BPWR|8SPLJET|9RCR|aDMG
20	23433 64311	   	246.89	DCR|DCR|1TLV|1MLV|1DUR|1AART	1TLV|2DUR|3RPLT|4MLV|5BELT|6RAT|78RCR|9ASPD|aAART
21	23435 42233	   	246.17	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1TLV|2DUR|3RPLT|4MLV|5AME|67RCR|8LHND|9CANARM|aDMG
22	23435 42333	   	246.17	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1TLV|2DUR|3RPLT|4MLV|5AME|67RCR|8BEXP|9CANARM|aDMG
23	23323 46242	   	245.49	DCR|3VULN|3DUR|1TLV|1MLV	1TLV|256DUR|3AETHUN|467VULN|6BPWR|8MLV|9RCR|aBEXP
24	23323 46243	   	245.49	DCR|3VULN|3DUR|1TLV|1MLV	1TLV|256DUR|3AETHUN|467VULN|6BPWR|8MLV|9RCR|aLWND
25	23323 46241	   	245.39	DCR|3VULN|3DUR|1TLV|1MLV	1TLV|256DUR|3AETHUN|467VULN|6BPWR|8MLV|9RCR|aVENICY
26	13233 85623	 * 	245.09	DCR|DCR|2FLTARM|2DUR	19RAT|2DLOT|3MBVNT|4DUST|5BBNT|69DUR|79FLTARM|8aRCR|9BPWR
