0	Index      	 *	Score 	Summary	Detail	
1	16112 25232	 * 	272.05	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1AART	1FEWX|2DUR|3VULN|4MLV|5LIT|6AART|7RPLT|8aRCR|9TLV
2	16142 25232	   	256.44	DCR|DCR|1VULN|1TLV|1DUR|1AART	1FEWX|2DUR|3VULN|4CGEN|5LIT|6AART|7RPLT|8aRCR|9TLV
3	16153 25232	   	256.44	DCR|DCR|1VULN|1TLV|1DUR|1AART	1FEWX|2DUR|3VULN|4LIT|5CGEN|6AART|7RPLT|8aRCR|9TLV
4	16162 25232	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1FEWX|2DUR|3VULN|4ERES|5LIT|6AART|7RPLT|8aRCR|9TLV
5	11226 28231	 * 	255.24	DCR|DCR|2VULN|1TLV|1AAC	1FEWX|2AAC|3MBVNT|4LIT|5BOSS|6TLV|7aRCR|89VULN
6	16345 32332	 * 	255.24	DCR|DCR|1VULN|2DUR|1TLV	1FEWX|2aDUR|3DMSP|4RAT|5LHND|6VULN|78RCR|9TLV
7	21335 32332	   	255.24	DCR|DCR|1VULN|2DUR|1TLV	1RCVC|2BEXP|3RAT|4aDUR|5LHND|6VULN|78RCR|9TLV
8	22145 32332	   	255.24	DCR|DCR|1VULN|2DUR|1TLV	1RCVC|2aDUR|3BEXP|4RAT|5LHND|6VULN|78RCR|9TLV
9	22245 32332	   	255.24	DCR|DCR|1VULN|2DUR|1TLV	1RCVC|2aDUR|3FEWX|4RAT|5LHND|6VULN|78RCR|9TLV
10	21335 32352	   	243.89	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1RCVC|2BEXP|3RAT|4DUR|5LHND|6VULN|78RCR|9CDMG|aAART
11	22145 32352	   	243.89	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1RCVC|2DUR|3BEXP|4RAT|5LHND|6VULN|78RCR|9CDMG|aAART
12	22245 32352	   	243.89	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1RCVC|2DUR|3FEWX|4RAT|5LHND|6VULN|78RCR|9CDMG|aAART
13	36123 22325	 * 	243.31	DCR|DCR|1TLV|1FLTARM|1DMG	12CGEN|3RPLT|4FLTARM|5DMG|6BOSS|7LWND|89RCR|aTLV
14	36123 24325	   	243.31	DCR|DCR|1TLV|1FLTARM|1DMG	12CGEN|3RPLT|4FLTARM|5DMG|6BOSS|7FEWX|89RCR|aTLV
15	36123 15325	   	243.21	DCR|DCR|1TLV|1FLTARM|1DMG	12CGEN|3RPLT|4FLTARM|5DMG|6LEGI|7BOSS|89RCR|aTLV
16	36123 25325	   	243.21	DCR|DCR|1TLV|1FLTARM|1DMG	12CGEN|3RPLT|4FLTARM|5DMG|6BOSS|7DUST|89RCR|aTLV
17	16345 32333	   	242.79	DCR|DCR|1VULN|1TLV|1DUR	1FEWX|2DUR|3DMSP|4RAT|5LHND|6VULN|78RCR|9TLV|aRPLT
18	21335 32333	   	242.79	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2BEXP|3RAT|4DUR|5LHND|6VULN|78RCR|9TLV|aRPLT
19	21335 32335	   	242.79	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2BEXP|3RAT|4DUR|5LHND|6VULN|78RCR|9TLV|aLIT
20	21335 32365	   	242.79	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2BEXP|3RAT|4DUR|5LHND|6VULN|78RCR|9LIT|aTLV
21	22145 32333	   	242.79	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2DUR|3BEXP|4RAT|5LHND|6VULN|78RCR|9TLV|aRPLT
22	22145 32335	   	242.79	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2DUR|3BEXP|4RAT|5LHND|6VULN|78RCR|9TLV|aLIT
23	22245 32333	   	242.79	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2DUR|3FEWX|4RAT|5LHND|6VULN|78RCR|9TLV|aRPLT
24	22245 32335	   	242.79	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2DUR|3FEWX|4RAT|5LHND|6VULN|78RCR|9TLV|aLIT
25	16345 32331	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1FEWX|2DUR|3DMSP|4RAT|5LHND|6VULN|78RCR|9TLV|aERES
26	21335 32331	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2BEXP|3RAT|4DUR|5LHND|6VULN|78RCR|9TLV|aERES
27	21335 32336	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2BEXP|3RAT|4DUR|5LHND|6VULN|78RCR|9TLV|aAME
28	22145 32331	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2DUR|3BEXP|4RAT|5LHND|6VULN|78RCR|9TLV|aERES
29	22145 32336	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2DUR|3BEXP|4RAT|5LHND|6VULN|78RCR|9TLV|aAME
30	22245 32331	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2DUR|3FEWX|4RAT|5LHND|6VULN|78RCR|9TLV|aERES
31	22245 32336	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2DUR|3FEWX|4RAT|5LHND|6VULN|78RCR|9TLV|aAME
32	12522 41523	   	242.59	DCR|DCR|1VULN|2DUR|1AART	1FEWX|2SNIFST|3VULN|4AART|5LHND|68RCR|7CGEN|9aDUR
33	12522 41533	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1FEWX|2SNIFST|3VULN|4AART|5LHND|68RCR|7CGEN|9BBNT|aTLV
