0	Index      	 *	Score 	Summary	Detail	
1	54313 43223	 * 	287.28	DCR|DCR|2DMG|1VULN|1TLV|1DUR	17DMG|2RMIN|3ASPD|4AME|5TLV|6VULN|8DUR|9aRCR
2	52323 34323	 * 	282.15	DCR|DCR|1VULN|2DUR|1TLV|1DMG	1DMG|24DUR|3AEWIND|5ASPD|6TLV|7aRCR|8VULN|9LWND
3	52343 43323	   	280.34	DCR|DCR|2DMG|1VULN|1TLV|1DUR|1AAC	17DMG|2DUR|3AEWIND|4AAC|5TLV|6VULN|8LWND|9aRCR
4	54213 43223	   	280.34	DCR|DCR|2DMG|1VULN|1TLV|1DUR|1AAC	17DMG|2RMIN|3AAC|4AME|5TLV|6VULN|8DUR|9aRCR
5	51343 43223	   	280.24	DCR|DCR|2DMG|1VULN|1TLV|1DUR|1AAC	17DMG|2DUST|3AEWIND|4AAC|5TLV|6VULN|8DUR|9aRCR
6	52322 33323	   	275.21	DCR|DCR|1VULN|2DUR|1TLV|1DMG	1DMG|24DUR|3AEWIND|5LWND|6TLV|7VULN|8ZMB|9aRCR
7	52322 33523	   	275.21	DCR|DCR|1VULN|2DUR|1TLV|1DMG|1AAC	1DMG|24DUR|3AEWIND|5LWND|6TLV|7VULN|8AAC|9aRCR
8	52343 34323	 * 	273.09	DCR|DCR|2TLV|1VULN|1DMG|1DUR|1AAC	1DMG|2DUR|3AEWIND|4AAC|56TLV|7aRCR|8VULN|9LWND
9	54313 41223	   	269.69	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2RMIN|3ASPD|4AME|5TLV|6VULN|7DMSP|8DUR|9aRCR
10	52343 41323	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1AAC	1DMG|2DUR|3AEWIND|4AAC|5TLV|6VULN|7DMSP|8LWND|9aRCR
11	54213 41223	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1AAC	1DMG|2RMIN|3AAC|4AME|5TLV|6VULN|7DMSP|8DUR|9aRCR
12	52553 33323	 * 	262.65	DCR|DCR|2VULN|1DMG|1DUR	1DMG|2DUR|35VULN|4LWND|67AME|8ZMB|9aRCR
13	51343 41223	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1AAC	1DMG|2DUST|3AEWIND|4AAC|5TLV|6VULN|7DMSP|8DUR|9aRCR
14	52313 42323	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2DUR|3AEWIND|4AME|5TLV|6VULN|7CGEN|8ZMB|9aRCR
15	56622 33323	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2AEBURN|3AEWIND|4DUR|5LWND|6TLV|7VULN|8ZMB|9aRCR
16	52511 23126	   	260.93	DCR|DCR|2DMG|1VULN|1DUR|1SELL	15DMG|2DUR|3VULN|4BOSS|6ASPD|7aRCR|8FEWX|9SELL
17	52511 23226	   	260.93	DCR|DCR|2DMG|1VULN|1DUR|1SELL	15DMG|2DUR|3VULN|4BOSS|6ASPD|7aRCR|8LHND|9SELL
18	56221 15323	 * 	258.78	DCR|DCR|2DMG|2TLV|1DUR	17DMG|2AEBURN|37FEWX|4DUR|5BEXP|67TLV|7BPWR|8ZMB|9aRCR
19	53113 31223	   	258.68	DCR|DCR|2DMG|2TLV|1DUR	14DMG|2ZMB|3LWND|56TLV|7FEWX|8DUR|9aRCR
20	56121 15323	   	258.58	DCR|DCR|2DMG|2TLV|1DUR	17DMG|2AEBURN|37DUST|4DUR|5BEXP|67TLV|7BPWR|8ZMB|9aRCR
