0	Index      	 *	Score 	Summary	Detail	
1	66432 12221	 * 	263.43	ACR|DCR|3VULN|1TLV|1DMG	16ERES|2TLV|38RCR|47aVULN|5DMG|9LWND
2	66431 22221	 * 	262.63	ACR|DCR|4VULN|1TLV	1ERES|2TLV|38RCR|457aVULN|6ZMB|9LWND
3	21636 53232	 * 	254.94	DCR|DCR|2VULN|1TLV	1CANSTR|2aVULN|3MDPS|4TLV|5RMIN|69RCR|7TBNT|8AEBURN
4	31636 53232	   	254.94	DCR|DCR|2VULN|1TLV	1BASHEA|2aVULN|3MDPS|4TLV|5RMIN|69RCR|7TBNT|8AEBURN
5	23533 62135	   	249.43	DCR|DCR|2VULN|1AART	1CANSTR|2ASPD|3BELT|4aVULN|5FLTFST|6AART|79RCR|8MSLREG
6	33533 62135	   	249.43	DCR|DCR|2VULN|1AART	1BASHEA|2ASPD|3BELT|4aVULN|5FLTFST|6AART|79RCR|8MSLREG
7	55134 13323	 * 	245.59	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1MDPS|2CDMG|39VULN|4FEWX|5DUR|69DMG|7LHND|89TLV|9BPWR|aRCR
8	66431 22223	   	243.46	ACR|DCR|3VULN|1TLV	1ERES|2TLV|38RCR|457VULN|6ZMB|9LWND|aRMIN
9	66431 22231	   	243.46	ACR|DCR|3VULN|1TLV	1ERES|2TLV|38RCR|457VULN|6ZMB|9FRZARM|aFEWX
10	66431 22232	   	243.46	ACR|DCR|3VULN|1TLV	1ERES|2TLV|38RCR|457VULN|6ZMB|9FRZARM|aLWND
11	66431 22233	   	243.46	ACR|DCR|3VULN|1TLV	1ERES|2TLV|38RCR|457VULN|6ZMB|9FRZARM|aRPLT
12	66431 22222	   	243.36	ACR|DCR|3VULN|1TLV	1ERES|2TLV|38RCR|457VULN|6ZMB|9LWND|aMDPS
13	66431 22211	   	243.26	ACR|DCR|4VULN|1TLV|1MSE	1ERES|2TLV|38RCR|457aVULN|6ZMB|9MSE
14	66431 22212	   	243.26	ACR|DCR|3VULN|1TLV|1MSE	1ERES|2TLV|38RCR|457VULN|6ZMB|9MSE|aMDPS
15	66431 22213	   	243.26	ACR|DCR|3VULN|1TLV|1MSE	1ERES|2TLV|38RCR|457VULN|6ZMB|9MSE|aRMIN
16	21114 21146	   	242.59	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1CANSTR|2VULN|3RPLT|4CDMG|5ZMB|6TLV|7MBVNT|8AAC|9aRCR
17	21414 21146	   	242.59	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1CANSTR|2VULN|3CDMG|4RPLT|5ZMB|6TLV|7MBVNT|8AAC|9aRCR
18	31114 21146	   	242.59	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1BASHEA|2VULN|3RPLT|4CDMG|5ZMB|6TLV|7MBVNT|8AAC|9aRCR
19	31414 21146	   	242.59	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1BASHEA|2VULN|3CDMG|4RPLT|5ZMB|6TLV|7MBVNT|8AAC|9aRCR
20	21216 33543	   	241.29	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1CANSTR|2aVULN|3AAC|4DMG|59RCR|6MDPS|7TLV|8DMSP
21	31216 33543	   	241.29	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1BASHEA|2aVULN|3AAC|4DMG|59RCR|6MDPS|7TLV|8DMSP
22	66432 12223	   	241.29	ACR|DCR|2VULN|1TLV|1DMG	16ERES|2TLV|38RCR|47VULN|5DMG|9LWND|aRMIN
23	66432 12231	   	241.29	ACR|DCR|2VULN|1TLV|1DMG	16ERES|2TLV|38RCR|47VULN|5DMG|9FRZARM|aFEWX
24	66432 12232	   	241.29	ACR|DCR|2VULN|1TLV|1DMG	16ERES|2TLV|38RCR|47VULN|5DMG|9FRZARM|aLWND
25	66432 12233	   	241.29	ACR|DCR|2VULN|1TLV|1DMG	16ERES|2TLV|38RCR|47VULN|5DMG|9FRZARM|aRPLT
26	66432 12222	   	241.19	ACR|DCR|2VULN|1TLV|1DMG	16ERES|2TLV|38RCR|47VULN|5DMG|9LWND|aMDPS
27	66432 12211	   	241.09	ACR|DCR|3VULN|1TLV|1DMG|1MSE	16ERES|2TLV|38RCR|47aVULN|5DMG|9MSE
28	66432 12212	   	241.09	ACR|DCR|2VULN|1TLV|1DMG|1MSE	16ERES|2TLV|38RCR|47VULN|5DMG|9MSE|aMDPS
29	66432 12213	   	241.09	ACR|DCR|2VULN|1TLV|1DMG|1MSE	16ERES|2TLV|38RCR|47VULN|5DMG|9MSE|aRMIN
30	55132 13323	 * 	240.45	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1MDPS|2CDMG|39VULN|4FEWX|5DMG|69DUR|7LHND|89TLV|9BPWR|aRCR
31	64432 12221	   	237.22	ACR|DCR|3VULN|1DMG	16ERES|2CGEN|38RCR|47aVULN|5DMG|9LWND
32	64431 22221	   	236.42	ACR|DCR|4VULN	1ERES|2CGEN|38RCR|457aVULN|6ZMB|9LWND
