0	Index      	 *	Score 	Summary	Detail	
1	22443 23126	 * 	285.15	DCR|DCR|2VULN|1DMG|1MLV|1DUR|1SELL	1BEXP|2MLV|3DUR|46VULN|5DMG|7aRCR|8SELL|9ASPD
2	22243 23126	 * 	271.50	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1BEXP|2MLV|3LHND|46VULN|5DMG|7aRCR|8SELL|9ASPD
3	24342 23342	 * 	270.85	DCR|DCR|2VULN|2DUR|1MLV	15BEXP|2DUST|36VULN|45DUR|5BPWR|79RCR|8RAT|aMLV
4	12245 23316	 * 	268.89	DCR|DCR|2VULN|1TLV|1AAC|1DUR	1AAC|2TLV|3DUR|46VULN|5BEXP|7aRCR|8ERES|9LIT
5	24314 23342	 * 	266.78	DCR|DCR|3VULN|1MLV	1BEXP|2DUST|356VULN|4LHND|79RCR|8RAT|aMLV
6	24332 23342	   	266.68	DCR|DCR|3VULN|1MLV	1BEXP|25DUST|356VULN|4LEGI|5BPWR|79RCR|8RAT|aMLV
7	24334 23342	   	266.68	DCR|DCR|3VULN|1MLV	1BEXP|2DUST|356VULN|4LEGI|79RCR|8RAT|aMLV
8	24332 23344	   	258.02	DCR|DCR|3VULN	1BEXP|25DUST|356VULN|4LEGI|5BPWR|79RCR|8RAT|aASPD
9	33331 31356	 * 	257.04	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1TBNT|2ASPD|3CDMG|4LWND|5DMG|6aRCR|7ERES|8DUR|9VULN
10	33521 31356	   	257.04	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1TBNT|2ASPD|3LHND|4CDMG|5DMG|6aRCR|7ERES|8DUR|9VULN
11	11214 36141	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1AAC|2CDMG|3aVULN|4DUST|5BBNT|6DUR|78RCR|9BEXP
12	11214 36161	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1AAC|2CDMG|3aVULN|4DUST|5BBNT|6DUR|78RCR|9LWND
13	11224 36141	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1AAC|2CDMG|3aVULN|4AETHUN|5BBNT|6DUR|78RCR|9BEXP
14	11224 36161	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1AAC|2CDMG|3aVULN|4AETHUN|5BBNT|6DUR|78RCR|9LWND
15	23142 24347	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1BEXP|2TLV|3CGEN|4VULN|5MBVNT|6DUR|7CDMG|8aRCR|9MDPS
16	11224 36111	   	256.14	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1AAC|2CDMG|3aVULN|4AETHUN|5BBNT|6DUR|78RCR|9DUST
17	23245 23316	   	255.24	DCR|DCR|2VULN|1TLV|1AAC	1BEXP|2TLV|3LHND|46VULN|5AAC|7aRCR|8ERES|9LIT
18	24342 23341	   	255.24	DCR|DCR|2VULN|2DUR	15BEXP|2DUST|36VULN|45DUR|5BPWR|79RCR|8RAT|aCGEN
19	24342 23343	   	255.24	DCR|DCR|2VULN|2DUR	15BEXP|2DUST|36VULN|45DUR|5BPWR|79RCR|8RAT|aLHND
