0	Index      	 *	Score 	Summary	Detail	
1	13161 48184	 * 	256.24	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1FEWX|2LWND|3AART|4MBVNT|5DUST|6TLV|7VULN|8CDMG|9aRCR
2	62225 52112	 * 	255.70	DCR|DCR|1VULN|1TLV|1DMG|1SELL	1ERES|2VULN|3DMG|4CGEN|5ASPD|6TLV|7aRCR|8SELL|9AIRBOS
3	51212 15431	 * 	255.34	DCR|DCR|2VULN|1TLV	1RAT|2BEXP|3CGEN|4TLV|5FEWX|69RCR|7aVULN|8RPLT
4	51312 15431	   	255.24	DCR|DCR|2VULN|1TLV	1RAT|2BEXP|3AME|4TLV|5FEWX|69RCR|7aVULN|8RPLT
5	22321 44352	 * 	254.75	DCR|DCR|1VULN|1DMG|1MSLTOX|1MLV	1LIT|2LWND|3SPLJET|4MSLTOX|5VULN|6MLV|7DMG|8LHND|9aRCR
6	12312 61642	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1CDMG|1AAC	1FEWX|2LHND|3DMG|4VULN|5AAC|6DUR|7MULHEA|8aRCR|9CDMG
7	13312 61642	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1CDMG|1AAC	1FEWX|2LWND|3DMG|4VULN|5AAC|6DUR|7MULHEA|8aRCR|9CDMG
8	33312 61642	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1CDMG|1AAC	1LHND|2FEWX|3DMG|4VULN|5AAC|6DUR|7MULHEA|8aRCR|9CDMG
9	21316 43211	 * 	248.86	DCR|DCR|1VULN|1TLV|1DMG|1SELL	1LIT|2VULN|38BELT|4TLV|5DMG|6SELL|7aRCR|9MSLFST
10	13163 45184	   	245.74	DCR|DCR|1VULN|1MLV|1AART|1CDMG	1FEWX|2LWND|3AART|4MBVNT|5VULN|6MLV|7BEXP|8CDMG|9aRCR
11	51212 13431	   	242.79	DCR|DCR|1VULN|1TLV|1DUR	1RAT|2BEXP|3CGEN|4TLV|5FEWX|69RCR|7DUR|8RPLT|aVULN
12	55112 13431	   	242.79	DCR|DCR|1VULN|1TLV|1DUR	1RAT|2CGEN|3FEWX|4TLV|5BEXP|69RCR|7DUR|8RPLT|aVULN
13	55322 13431	   	242.79	DCR|DCR|1VULN|1TLV|1DUR	1RAT|2CGEN|3TLV|4FEWX|5BEXP|69RCR|7DUR|8RPLT|aVULN
14	51511 13431	   	242.69	DCR|DCR|2VULN|1DUR	1RAT|25BEXP|3aVULN|4DUST|69RCR|7DUR|8RPLT
15	51312 13431	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1RAT|2BEXP|3AME|4TLV|5FEWX|69RCR|7DUR|8RPLT|aVULN
16	22321 43122	   	241.63	DCR|DCR|1VULN|1MSLTOX|1MLV	1LIT|2LWND|3SPLJET|4MSLTOX|5VULN|6MLV|7aRCR|8LHND|9ASPD
