0	Index      	 *	Score 	Summary	Detail	
1	13511 23211	 * 	285.53	ACR|DCR|2VULN|2TLV|1DMG|2CDMG|1DUR	1LHND|24VULN|34TLV|4BPWR|59RCR|6DUR|7aCDMG|8DMG
2	13511 12215	   	279.22	ACR|DCR|2VULN|2TLV|1DMG|1DUR|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6CDMG|7FEWX|8DMG|aDUR
3	13511 23214	   	279.22	ACR|DCR|2VULN|2TLV|1DMG|1DUR|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6DUR|7CDMG|8DMG|aLWND
4	13511 23215	   	279.22	ACR|DCR|2VULN|2TLV|1DMG|1DUR|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6DUR|7CDMG|8DMG|aRCVC
5	13511 23216	   	279.22	ACR|DCR|2VULN|2TLV|1DMG|1DUR|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6DUR|7CDMG|8DMG|aZMB
6	13611 25433	 * 	279.22	ACR|DCR|2VULN|2MLV|1TLV|1MSLTOX|1DUR	1LHND|24VULN|34MLV|4BPWR|59RCR|6DUR|7MSLTOX|8TBNT|aTLV
7	13511 23212	   	279.12	ACR|DCR|2VULN|2TLV|1DMG|1DUR|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6DUR|7CDMG|8DMG|aBBNT
8	13511 23213	   	279.12	ACR|DCR|2VULN|2TLV|1DMG|1DUR|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6DUR|7CDMG|8DMG|aAME
9	13611 23211	 * 	276.89	ACR|DCR|2VULN|2MLV|1DMG|2CDMG|1DUR	1LHND|24VULN|34MLV|4BPWR|59RCR|6DUR|7aCDMG|8DMG
10	13611 25331	 * 	275.16	ACR|DCR|3VULN|2MLV|1MSLTOX|1DUR	1LHND|24aVULN|34MLV|4BPWR|59RCR|6DUR|7MSLTOX|8DUST
11	61532 61331	 * 	274.63	ACR|DCR|2VULN|1FLTARM|1TLV|1DMG	1TLV|2BEXP|3aRCR|4ASPD|57VULN|6FLTARM|8DMG|9BOSS
12	13634 31222	 * 	272.05	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1AART	1LHND|2VULN|3MLV|4LWND|5AART|69RCR|7RAT|8DUR|aTLV
13	13511 12211	   	271.88	ACR|DCR|2VULN|2TLV|1DMG|2CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6aCDMG|7FEWX|8DMG
14	13511 14211	   	271.78	ACR|DCR|2VULN|2TLV|1DMG|2CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6aCDMG|7LEGI|8DMG
15	13611 12215	   	270.58	ACR|DCR|2VULN|2MLV|1DMG|1DUR|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6CDMG|7FEWX|8DMG|aDUR
16	13611 23214	   	270.58	ACR|DCR|2VULN|2MLV|1DMG|1DUR|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6DUR|7CDMG|8DMG|aLWND
