0	Index      	 *	Score 	Summary	Detail	
1	54126 14231	 * 	258.19	DCR|DCR|2VULN|1MLV|1DUR	1BELT|26VULN|3LHND|4MLV|5MBVNT|79RCR|8TBNT|aDUR
2	32131 21626	 * 	257.96	ACR|DCR|2VULN|2TLV|2DUR	1aRCR|2RMIN|39VULN|4LIT|59TLV|6RPLT|79DUR|8MDPS|9BPWR
3	12563 32412	 * 	256.44	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1CGEN|2TLV|3CDMG|4VULN|5AART|6aRCR|79RAT|8BEXP
4	12563 32422	   	256.44	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1CGEN|2TLV|3CDMG|4VULN|5AART|6aRCR|7RAT|8BEXP|9RCVC
5	11132 51562	   	256.14	DCR|DCR|2VULN|1DUR|1AART	1CGEN|2BLASTR|3MDPS|4AART|5DUR|69RCR|7aVULN|8TBNT
6	11132 52362	   	256.14	DCR|DCR|2VULN|1DUR|1AART	1CGEN|2BLASTR|3MDPS|4AART|5DUR|69RCR|7BBNT|8aVULN
7	15132 52362	   	256.14	DCR|DCR|2VULN|1DUR|1AART	1CGEN|2CANSTR|3MDPS|4AART|5DUR|69RCR|7BBNT|8aVULN
8	21132 51562	   	256.04	DCR|DCR|2VULN|1DUR|1AART	1AIRARM|2ERES|3MDPS|4AART|5DUR|69RCR|7aVULN|8TBNT
9	21132 52362	   	256.04	DCR|DCR|2VULN|1DUR|1AART	1AIRARM|2ERES|3MDPS|4AART|5DUR|69RCR|7BBNT|8aVULN
10	11111 56143	 * 	255.04	DCR|DCR|2VULN|1TLV	1CGEN|2BLASTR|3MDPS|4LHND|5ERES|69RCR|7aVULN|8TLV
11	33122 15463	 * 	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9AEFBLL|aTLV
12	54126 14234	   	251.48	DCR|DCR|2VULN|1MLV	1BELT|26VULN|3LHND|4MLV|5MBVNT|79RCR|8TBNT|aASPD
13	31311 35143	   	251.02	ACR|DCR|2VULN|1TLV|1MSLTOX|1DUR	19RCR|2TLV|37VULN|4LEGI|5MSLTOX|6TBNT|8AEFBLL|aDUR
14	33122 15415	 * 	250.97	ACR|DCR|3VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46aVULN|5DMG|7DUR|9RAT
15	33122 15443	   	250.97	ACR|DCR|3VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46aVULN|5DMG|7DUR|9CGEN
16	33122 15451	   	250.97	ACR|DCR|3VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46aVULN|5DMG|7DUR|9RPLT
17	42132 12134	 * 	247.28	DCR|2DMG|2TLV|1VULN|2MLV|1DUR|1CDMG	1DUR|2RPLT|3aMLV|4VULN|5DUST|6aTLV|7CDMG|8aDMG|9RCR|aBPWR
18	33256 12611	   	247.16	ACR|DCR|2VULN|2TLV|1MLV	1aRCR|2BELT|3ERES|47VULN|56TLV|8MLV|9AEPOI
19	33122 15423	   	244.98	ACR|DCR|2VULN|1DMG|1MSLTOX|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9ERES|aMSLTOX
20	51122 15423	   	244.98	ACR|DCR|2VULN|1DMG|1MSLTOX|1DUR	1BELT|28RCR|3TBNT|46VULN|5DMG|7DUR|9ERES|aMSLTOX
21	54126 14233	   	244.54	DCR|DCR|2VULN|1MLV	1BELT|26VULN|3LHND|4MLV|5MBVNT|79RCR|8TBNT|aFEWX
22	54126 14232	   	244.44	DCR|DCR|2VULN|1MLV	1BELT|26VULN|3LHND|4MLV|5MBVNT|79RCR|8TBNT|aAETHUN
23	33122 15434	   	244.44	ACR|DCR|2VULN|1DMG|1MLV|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9ZMB|aMLV
24	23612 36613	 * 	244.21	DCR|DCR|1TLV|1DMG|1DUR|1CDMG	1AIRARM|2FEWX|3TLV|4DUR|5AME|6LIT|7CDMG|8aRCR|9DMG
25	11132 52366	   	243.59	DCR|DCR|1VULN|1DUR|1AART|1AAC	1CGEN|2BLASTR|3MDPS|4AART|5DUR|69RCR|7BBNT|8VULN|aAAC
26	21132 52366	   	243.49	DCR|DCR|1VULN|1DUR|1AART|1AAC	1AIRARM|2ERES|3MDPS|4AART|5DUR|69RCR|7BBNT|8VULN|aAAC
27	32153 13451	 * 	243.46	ACR|DCR|3VULN|1TLV	1aRCR|2RMIN|346VULN|5AEFBLL|7TLV|8CGEN|9BELT
28	31353 13351	   	243.36	ACR|DCR|3VULN|1TLV	1aRCR|2TLV|346VULN|5AEFBLL|7AME|8RMIN|9BELT
29	31353 13631	   	243.26	ACR|DCR|3VULN|1TLV	1aRCR|2TLV|346VULN|5AEFBLL|7AME|8BELT|9ERES
30	33122 15453	   	242.48	ACR|DCR|2VULN|1DMG|1DUR|1AAC	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9RPLT|aAAC
31	33122 14463	   	241.29	ACR|DCR|2VULN|1TLV|1DMG	18RCR|2BELT|3TBNT|46VULN|5DMG|7BEXP|9AEFBLL|aTLV
32	31311 35141	   	237.37	ACR|DCR|2VULN|1TLV|1MSLTOX	19RCR|2TLV|37VULN|4LEGI|5MSLTOX|6TBNT|8AEFBLL|aRPLT
33	31311 35145	   	237.37	ACR|DCR|2VULN|1TLV|1MSLTOX	19RCR|2TLV|37VULN|4LEGI|5MSLTOX|6TBNT|8AEFBLL|aLWND
34	33122 14415	   	237.32	ACR|DCR|3VULN|1DMG	18RCR|2BELT|3TBNT|46aVULN|5DMG|7BEXP|9RAT
35	33122 14451	   	237.32	ACR|DCR|3VULN|1DMG	18RCR|2BELT|3TBNT|46aVULN|5DMG|7BEXP|9RPLT
