0	Index      	 *	Score 	Summary	Detail	
1	35222 31222	 * 	288.96	DCR|DCR|2VULN|1TLV|1DMG|1AART	1TLV|29VULN|3AART|4DMG|5LHND|6aRCR|7MDPS|8RAT
2	35212 33312	   	284.50	DCR|DCR|2VULN|1TLV|1MLV|1AART	1TLV|29VULN|3AART|4AME|5LHND|68RCR|7CGEN|aMLV
3	65212 33312	   	284.50	DCR|DCR|2VULN|1TLV|1MLV|1AART	1AME|29VULN|3AART|4TLV|5LHND|68RCR|7CGEN|aMLV
4	43134 51132	   	282.64	DCR|DCR|2VULN|1TLV|1DUR|1CDMG	1LIT|29VULN|3CGEN|4BOSS|5CDMG|68RCR|7DUR|aTLV
5	35212 33314	   	282.54	DCR|DCR|2VULN|1TLV|1DUR|1AART	1TLV|29VULN|3AART|4AME|5LHND|68RCR|7CGEN|aDUR
6	35232 33314	   	282.54	DCR|DCR|2VULN|1TLV|1DUR|1AART	1TLV|29VULN|3AART|4ERES|5LHND|68RCR|7CGEN|aDUR
7	65212 33314	   	282.54	DCR|DCR|2VULN|1TLV|1DUR|1AART	1AME|29VULN|3AART|4TLV|5LHND|68RCR|7CGEN|aDUR
8	35212 33316	   	279.90	DCR|DCR|2VULN|1TLV|1AART|1NUKE	1TLV|29VULN|3AART|4AME|5LHND|68RCR|7CGEN|aNUKE
9	35232 33316	   	279.90	DCR|DCR|2VULN|1TLV|1AART|1NUKE	1TLV|29VULN|3AART|4ERES|5LHND|68RCR|7CGEN|aNUKE
10	65212 33316	   	279.90	DCR|DCR|2VULN|1TLV|1AART|1NUKE	1AME|29VULN|3AART|4TLV|5LHND|68RCR|7CGEN|aNUKE
11	35212 33352	 * 	279.33	DCR|DCR|2VULN|2TLV|1AART	1aTLV|2aVULN|3AART|4AME|5LHND|68RCR|7aCGEN|9MDPS|aBPWR
12	35232 33352	   	279.33	DCR|DCR|2VULN|2TLV|1AART	1aTLV|2aVULN|3AART|4ERES|5LHND|68RCR|7aCGEN|9MDPS|aBPWR
13	35212 33321	   	268.89	DCR|DCR|2VULN|1TLV|1AART	1TLV|2aVULN|3AART|4AME|5LHND|68RCR|7CGEN|9LIT
14	35232 33321	   	268.89	DCR|DCR|2VULN|1TLV|1AART	1TLV|2aVULN|3AART|4ERES|5LHND|68RCR|7CGEN|9LIT
15	65212 33321	   	268.89	DCR|DCR|2VULN|1TLV|1AART	1AME|2aVULN|3AART|4TLV|5LHND|68RCR|7CGEN|9LIT
16	35212 33315	   	268.89	DCR|DCR|2VULN|1TLV|1AART	1TLV|29VULN|3AART|4AME|5LHND|68RCR|7CGEN|aLIT
17	35232 33315	   	268.89	DCR|DCR|2VULN|1TLV|1AART	1TLV|29VULN|3AART|4ERES|5LHND|68RCR|7CGEN|aLIT
18	65212 33315	   	268.89	DCR|DCR|2VULN|1TLV|1AART	1AME|29VULN|3AART|4TLV|5LHND|68RCR|7CGEN|aLIT
19	65212 33352	   	268.89	DCR|DCR|2VULN|1TLV|1AART	1aAME|2aVULN|3AART|4TLV|5LHND|68RCR|7aCGEN|9MDPS|aBPWR
20	35212 33311	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1TLV|29VULN|3AART|4AME|5LHND|68RCR|7CGEN|aERES
21	35212 33313	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1TLV|29VULN|3AART|4AME|5LHND|68RCR|7CGEN|aLEGI
22	35212 33332	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1TLV|2aVULN|3AART|4AME|5LHND|68RCR|7CGEN|9BLAICY
23	35232 33311	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1TLV|29VULN|3AART|4aERES|5LHND|68RCR|7CGEN
24	35232 33312	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1TLV|29VULN|3AART|4ERES|5LHND|68RCR|7CGEN|aTBNT
25	35232 33313	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1TLV|29VULN|3AART|4ERES|5LHND|68RCR|7CGEN|aLEGI
26	65212 33311	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1AME|29VULN|3AART|4TLV|5LHND|68RCR|7CGEN|aERES
27	65212 33313	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1AME|29VULN|3AART|4TLV|5LHND|68RCR|7CGEN|aLEGI
28	65212 33332	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1AME|2aVULN|3AART|4TLV|5LHND|68RCR|7CGEN|9BLAICY
29	34311 61234	 * 	264.23	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1CDMG	1TLV|2MLV|3RAT|46RCR|59VULN|7ERES|8CDMG|aDUR
30	34311 63234	   	264.23	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1CDMG|1NUKE	1TLV|2MLV|3RAT|46RCR|59VULN|7NUKE|8CDMG|aDUR
31	35222 36151	   	262.85	DCR|DCR|1VULN|1TLV|1DMG|1AART	1TLV|2VULN|3AART|4DMG|5LHND|69RCR|7BELT|8FEWX|aBEXP
32	35222 36152	   	262.85	DCR|DCR|1VULN|1TLV|1DMG|1AART	1TLV|2VULN|3AART|4DMG|5LHND|69RCR|7BELT|8FEWX|aCGEN
33	35222 36153	   	262.85	DCR|DCR|1VULN|1TLV|1DMG|1AART	1TLV|2VULN|3AART|4DMG|5LHND|69RCR|7BELT|8FEWX|aRAT
34	65222 31222	   	262.65	DCR|DCR|2VULN|1DMG|1AART	1AME|29VULN|3AART|4DMG|5LHND|6aRCR|7MDPS|8RAT
35	35221 31212	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1AART	1TLV|2VULN|3AART|4DMG|59DUST|6aRCR|7MDPS|8RAT
36	21433 51522	 * 	262.15	DCR|2VULN|2DMG|2MLV|1FLTARM|1TLV	139LHND|23DMG|39BPWR|49MLV|5DUST|6FLTARM|79VULN|8RCR|aTLV
37	43245 32331	 * 	262.08	ACR|DCR|3DMG|1VULN|1TLV|1AAC	1LIT|2VULN|379DMG|4TLV|58RCR|6BBNT|aAAC
38	34311 64333	 * 	261.01	ACR|DCR|2VULN|2TLV|1MLV|1DUR	18TLV|2MLV|3RAT|46RCR|5aVULN|7DUR|9CGEN
39	34311 61232	   	260.91	ACR|DCR|2VULN|2TLV|1MLV|1CDMG	1aTLV|2MLV|3RAT|46RCR|59VULN|7ERES|8CDMG
40	34311 64313	   	260.91	ACR|DCR|2VULN|2TLV|1MLV|1DUR	18TLV|2MLV|3RAT|46RCR|5aVULN|7DUR|9BBNT
41	34311 64323	   	260.91	ACR|DCR|2VULN|2TLV|1MLV|1DUR	18TLV|2MLV|3RAT|46RCR|5aVULN|7DUR|9LEGI
42	34311 62533	 * 	259.17	ACR|DCR|3VULN|1TLV|1MLV	1TLV|2MLV|3RAT|46RCR|58aVULN|7BEXP|9CGEN
43	34311 61423	   	259.07	ACR|DCR|3VULN|1TLV|1MLV	1TLV|2MLV|3RAT|46RCR|58aVULN|7ERES|9LHND
44	34311 62513	   	259.07	ACR|DCR|3VULN|1TLV|1MLV	1TLV|2MLV|3RAT|46RCR|58aVULN|7BEXP|9BBNT
45	34311 62523	   	259.07	ACR|DCR|3VULN|1TLV|1MLV	1TLV|2MLV|3RAT|46RCR|58aVULN|7BEXP|9LEGI
46	34311 63423	   	259.07	ACR|DCR|3VULN|1TLV|1MLV|1NUKE	1TLV|2MLV|3RAT|46RCR|58aVULN|7NUKE|9LHND
