0	Index      	 *	Score 	Summary	Detail	
1	21313 23551	 * 	394.99	DCR|3VULN|1MDPS|1DMG|1DUR	1DMG|289VULN|3DUR|4FRZARM|5MBVNT|6RCR|7RPLT|aMDPS
2	21216 55213	 * 	391.94	ACR|DCR|2VULN|1MDPS|1DMG|1DUR	1DMG|25VULN|3RMIN|47RCR|6LIT|8DUR|9RCVC|aMDPS
3	24112 61613	 * 	382.40	DCR|2MDPS|1CDMG|1TLV|1DMG|1DUR|1AART	1DMG|2ZMB|3RCVC|4AART|5CDMG|6TLV|7RCR|8DUR|9aMDPS
4	24312 61613	   	382.40	DCR|2MDPS|1CDMG|1TLV|1DMG|1DUR|1AART	1DMG|23ZMB|4AART|5CDMG|6TLV|7RCR|8DUR|9aMDPS
5	21313 22416	 * 	378.18	DCR|2MDPS|1VULN|1DMG|1DUR	1DMG|2VULN|3DUR|4FRZARM|5MBVNT|6RCR|7CGEN|8RPLT|9aMDPS
6	21313 23216	   	378.18	DCR|2MDPS|1VULN|1DMG|1DUR	1DMG|2VULN|3DUR|4FRZARM|5MBVNT|6RCR|7RPLT|8RMIN|9aMDPS
7	21313 23316	   	378.18	DCR|2MDPS|1VULN|1DMG|1DUR	1DMG|2VULN|3DUR|4FRZARM|5MBVNT|6RCR|7RPLT|8CGEN|9aMDPS
8	21313 23416	   	378.08	DCR|2MDPS|1VULN|1DMG|1DUR	1DMG|2VULN|3DUR|4FRZARM|5MBVNT|6RCR|7RPLT|8ERES|9aMDPS
9	21313 23716	   	378.08	DCR|2MDPS|1VULN|1DMG|1DUR	1DMG|2VULN|3DUR|4FRZARM|5MBVNT|6RCR|7RPLT|8AME|9aMDPS
10	21313 24416	   	378.08	DCR|2MDPS|1VULN|1DMG|1DUR	1DMG|2VULN|3DUR|4FRZARM|5MBVNT|6RCR|7ERES|8RPLT|9aMDPS
11	35322 33231	 * 	371.78	ACR|2MDPS|2VULN|1DUR	1RAT|2CGEN|39LIT|46VULN|5RCR|7DUR|8aMDPS
12	21113 63643	 * 	368.89	DCR|2VULN|1MDPS|2DMG|1DUR	13DMG|23VULN|3BPWR|4RPLT|5DUST|6DUR|7LHND|8RCR|9AAC|aMDPS
13	21113 63653	   	368.79	DCR|2VULN|1MDPS|2DMG|1DUR	13DMG|23VULN|3BPWR|4RPLT|5DUST|6DUR|7LHND|8RCR|9ERES|aMDPS
14	21313 21387	   	368.79	DCR|2VULN|1MDPS|2DMG|1DUR	19DMG|29VULN|3DUR|4FRZARM|5MBVNT|6RCR|7BELT|89AME|9BPWR|aMDPS
15	21313 26162	   	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	19DMG|27VULN|3DUR|4FRZARM|5MBVNT|6RCR|8SNITOX|aMDPS
16	21313 26362	   	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	19DMG|27VULN|3DUR|4FRZARM|5MBVNT|6RCR|8MSLFST|aMDPS
17	21163 41135	 * 	367.46	DCR|4VULN|1MDPS|3DMG|1DUR	136DMG|2379VULN|3BPWR|4MDPS|5BELT|8DUR|aRCR
18	21216 32434	 * 	365.97	ACR|DCR|3VULN|2DMG|2DUR	1aDMG|25aVULN|3RMIN|48RCR|6ASPD|7CGEN|9aDUR|aBPWR
19	21216 33434	   	365.87	ACR|DCR|3VULN|2DMG|2DUR	1aDMG|25aVULN|3RMIN|48RCR|6ASPD|7AME|9aDUR|aBPWR
