0	Index      	 *	Score 	Summary	Detail	
1	43324 33622	 * 	428.54	DCR|3VULN|1MDPS|1CDMG|1TLV	1TLV|234VULN|5FEWX|6CDMG|7DUST|8RCR|9DUR|aMDPS
2	43233 12113	 * 	425.28	ACR|2MDPS|2VULN|1CDMG|1TLV	1TLV|26VULN|3DUR|4CDMG|5RCR|7AIRARM|8LSRICY|9aMDPS
3	43232 24422	 * 	411.72	DCR|2MDPS|1VULN|1CDMG|1TLV	1TLV|2VULN|3DUR|4CDMG|5FEWX|6BBNT|7RCR|8ZMB|9aMDPS
4	43232 34422	   	411.72	DCR|2MDPS|1VULN|1CDMG|1TLV	1TLV|2VULN|3DUR|4CDMG|5FEWX|6TBNT|7RCR|8ZMB|9aMDPS
5	43232 24522	   	411.62	DCR|2MDPS|1VULN|1CDMG|1TLV	1TLV|2VULN|3DUR|4CDMG|5FEWX|6BBNT|7RCR|8ASPD|9aMDPS
6	43232 34522	   	411.62	DCR|2MDPS|1VULN|1CDMG|1TLV	1TLV|2VULN|3DUR|4CDMG|5FEWX|6TBNT|7RCR|8ASPD|9aMDPS
7	36332 35422	   	405.58	DCR|2MDPS|1VULN|1CDMG|1DMG	1BEXP|2TBNT|3VULN|4RMIN|5DMG|6CDMG|7RCR|8DUR|9aMDPS
8	43241 16131	 * 	404.19	ACR|3VULN|1MDPS|2TLV|2DUR|1SELL	19TLV|269VULN|39DUR|4RCR|5SELL|7BOSS|8AART|9BPWR|aMDPS
9	53324 33621	   	402.33	DCR|3VULN|1MDPS|1CDMG	1CGEN|234VULN|5FEWX|6CDMG|7DUR|8RCR|9MDPS|aDUST
10	53324 33622	   	402.33	DCR|3VULN|1MDPS|1CDMG	1CGEN|234VULN|5FEWX|6CDMG|7DUR|8RCR|9MDPS|aAEFRZ
11	53324 33623	   	402.33	DCR|3VULN|1MDPS|1CDMG	1CGEN|234VULN|5FEWX|6CDMG|7DUR|8RCR|9MDPS|aLHND
12	53324 33632	   	402.33	DCR|3VULN|1MDPS|1CDMG	1CGEN|234VULN|5FEWX|6CDMG|7DUR|8RCR|9TBNT|aMDPS
13	43231 24112	 * 	401.84	DCR|2VULN|1MDPS|2TLV|1CDMG	19TLV|29VULN|3DUR|4CDMG|59LHND|6BBNT|7RCR|8RCVC|9BPWR|aMDPS
14	43231 34112	   	401.84	DCR|2VULN|1MDPS|2TLV|1CDMG	19TLV|29VULN|3DUR|4CDMG|59LHND|6TBNT|7RCR|8RCVC|9BPWR|aMDPS
15	43232 24112	   	401.84	DCR|2VULN|1MDPS|2TLV|1CDMG	19TLV|29VULN|3DUR|4CDMG|59FEWX|6BBNT|7RCR|8RCVC|9BPWR|aMDPS
16	43232 24312	   	401.84	DCR|2VULN|1MDPS|2TLV|1CDMG	19TLV|29VULN|3DUR|4CDMG|59FEWX|6BBNT|7RCR|8DMSP|9BPWR|aMDPS
17	43232 34112	   	401.84	DCR|2VULN|1MDPS|2TLV|1CDMG	19TLV|29VULN|3DUR|4CDMG|59FEWX|6TBNT|7RCR|8RCVC|9BPWR|aMDPS
18	43232 34312	   	401.84	DCR|2VULN|1MDPS|2TLV|1CDMG	19TLV|29VULN|3DUR|4CDMG|59FEWX|6TBNT|7RCR|8DMSP|9BPWR|aMDPS
19	43236 24112	   	401.84	DCR|2VULN|1MDPS|2TLV|1CDMG	19TLV|29VULN|3DUR|4CDMG|59LWND|6BBNT|7RCR|8RCVC|9BPWR|aMDPS
20	43236 34112	   	401.84	DCR|2VULN|1MDPS|2TLV|1CDMG	19TLV|29VULN|3DUR|4CDMG|59LWND|6TBNT|7RCR|8RCVC|9BPWR|aMDPS
21	43323 33641	   	400.93	DCR|3VULN|1MDPS|1TLV	1TLV|234VULN|5AME|6DUR|7ERES|8RCR|9MDPS|aFEWX
22	43323 33642	   	400.93	DCR|3VULN|1MDPS|1TLV	1TLV|234VULN|5AME|6DUR|7ERES|8RCR|9MDPS|aDUST
23	43323 33643	   	400.93	DCR|3VULN|1MDPS|1TLV	1TLV|234VULN|5AME|6DUR|7ERES|8RCR|9MDPS|aDMSP
24	43323 41241	   	400.93	DCR|3VULN|1MDPS|1TLV	1TLV|234VULN|5AME|6LSRREG|7DUR|8TBNT|9RCR|aMDPS
25	43321 53622	   	400.89	DCR|3VULN|1MDPS|1TLV|1SELL	1TLV|234VULN|5LWND|6SELL|7DUST|8RCR|9DUR|aMDPS
26	43233 16131	 * 	400.50	ACR|2VULN|1MDPS|2TLV|2CDMG|2DUR	19TLV|26VULN|39DUR|49CDMG|5RCR|7BOSS|8AART|9BPWR|aMDPS
