0	Index      	 *	Score 	Summary	Detail	
1	56132 22125	 * 	397.20	DCR|2VULN|1MDPS|1CDMG|2DUR|1TLV	1CDMG|26DUST|3CGEN|4TLV|56DUR|6BPWR|78VULN|9RCR|aMDPS
2	23311 35346	 * 	386.60	ACR|4VULN|1MDPS|2DUR	1TBNT|28DUR|3RCR|4CGEN|58FEWX|6789VULN|8BPWR|aMDPS
3	23321 35346	   	386.50	ACR|4VULN|1MDPS|2DUR	1TBNT|28DUR|3RCR|4AME|58FEWX|6789VULN|8BPWR|aMDPS
4	15321 32245	 * 	383.65	DCR|2VULN|1MDPS|2CDMG|2DUR	1AAC|2AETHUN|38DUR|4DMSP|5CGEN|68CDMG|78VULN|8BPWR|9RCR|aMDPS
5	23134 15234	 * 	381.20	DCR|2VULN|1MDPS|2DMG|2DUR|1SELL	1TBNT|28DUR|3RAT|48VULN|5SELL|68DMG|7RCR|8BPWR|9LIT|aMDPS
6	23134 15242	 * 	381.20	DCR|2VULN|1MDPS|2DMG|2DUR|1SELL	1TBNT|28DUR|39RAT|48VULN|5SELL|68DMG|7RCR|8BPWR|aMDPS
7	16526 33312	 * 	375.03	DCR|3VULN|1MDPS|1DUR	1AAC|2LWND|367VULN|4LIT|5DUR|8RCR|9MSLTOX|aMDPS
8	12526 33312	   	374.93	DCR|3VULN|1MDPS|1DUR	1AAC|2DUST|367VULN|4LIT|5DUR|8RCR|9MSLTOX|aMDPS
9	15226 21112	   	374.93	DCR|3VULN|1MDPS|1DUR	1AAC|2AETHUN|378VULN|4LIT|5DUR|6FRZICY|9RCR|aMDPS
10	16526 21112	   	374.93	DCR|3VULN|1MDPS|1DUR	1AAC|2LWND|378VULN|4LIT|5DUR|6BASARM|9RCR|aMDPS
11	16526 33332	   	374.93	DCR|3VULN|1MDPS|1DUR	1AAC|2LWND|367VULN|4LIT|5DUR|8RCR|9MGNBOS|aMDPS
12	52636 23132	 * 	374.89	ACR|3VULN|1MDPS|2CDMG|1DUR	12CDMG|2BPWR|3RAT|4RCVC|5RCR|678VULN|9DUR|aMDPS
13	12526 21112	   	374.83	DCR|3VULN|1MDPS|1DUR	1AAC|2DUST|378VULN|4LIT|5DUR|6BASARM|9RCR|aMDPS
14	12526 33332	   	374.83	DCR|3VULN|1MDPS|1DUR	1AAC|2DUST|367VULN|4LIT|5DUR|8RCR|9MGNBOS|aMDPS
15	45113 61313	 * 	370.98	DCR|1MDPS|1VULN|2TLV|2DMG|2DUR	1RPLT|27DMG|37DUR|4VULN|5LIT|67TLV|7BPWR|8LWND|9RCR|aMDPS
