0	Index      	 *	Score 	Summary	Detail	
1	61235 36211	 * 	358.11	4VULN|1MDPS|3DUR|1DMG	1TBNT|2DMG|3RPLT|467DUR|5689VULN|6BPWR|aMDPS
2	33335 42131	 * 	350.91	DCR|2VULN|1MDPS|1DMG|1DUR	1AEWIND|2DMG|3DUR|4DUST|57VULN|6AEBURN|8RCR|9MDPS|aLHND
3	33335 42132	   	350.91	DCR|2VULN|1MDPS|1DMG|1DUR	1AEWIND|2DMG|3DUR|4DUST|57VULN|6AEBURN|8RCR|9MDPS|aRCVC
4	33335 42133	   	350.91	DCR|2VULN|1MDPS|1DMG|1DUR	1AEWIND|2DMG|3DUR|4DUST|57VULN|6AEBURN|8RCR|9MDPS|aRMIN
5	33335 42135	   	350.91	DCR|2VULN|1MDPS|1DMG|1DUR	1AEWIND|2DMG|3DUR|4DUST|57VULN|6AEBURN|8RCR|9MDPS|aBEXP
6	33335 42136	   	350.91	DCR|2VULN|1MDPS|1DMG|1DUR	1AEWIND|2DMG|3DUR|4DUST|57VULN|6AEBURN|8RCR|9MDPS|aLWND
7	14164 33134	 * 	350.43	DCR|2MDPS|2TLV|2DUR	13ERES|23DUR|3BPWR|47TLV|5MBVNT|6CGEN|8RCR|9aMDPS
8	11364 33134	   	337.98	DCR|2MDPS|2TLV|1DUR	1ERES|2RCVC|3DUR|47TLV|5MBVNT|6CGEN|8RCR|9aMDPS
9	62235 36211	   	337.95	4VULN|1MDPS|3DUR	1TBNT|2ASPD|3RPLT|467DUR|5689VULN|6BPWR|aMDPS
10	24153 22633	   	331.04	DCR|2VULN|1MDPS|1DUR	1DUST|2BEXP|3CGEN|4ERES|58VULN|6RCR|7DUR|9RMIN|aMDPS
11	25153 22633	   	331.04	DCR|2VULN|1MDPS|1DUR	1DUST|2FEWX|3CGEN|4ERES|58VULN|6RCR|7DUR|9RMIN|aMDPS
12	24153 22613	   	330.94	DCR|2VULN|1MDPS|1DUR	1DUST|2BEXP|3CGEN|4ERES|58VULN|6RCR|7DUR|9TBNT|aMDPS
13	25153 22613	   	330.94	DCR|2VULN|1MDPS|1DUR	1DUST|2FEWX|3CGEN|4ERES|58VULN|6RCR|7DUR|9TBNT|aMDPS
14	11613 42331	 * 	329.70	ACR|2VULN|1MDPS|2DUR|1TLV	148ERES|2RCVC|3AEFBLL|5RCR|68DUR|78VULN|8BPWR|9TLV|aMDPS
15	61265 31321	 * 	328.54	3VULN|1MDPS|3DMG|1DUR	1TBNT|268DMG|3RPLT|4LEGI|568VULN|68BPWR|78LWND|9DUR|aMDPS
16	61265 33321	   	328.34	3VULN|1MDPS|3DMG|1DUR	1TBNT|268DMG|3RPLT|4LEGI|568VULN|68BPWR|78DUST|9DUR|aMDPS
