0	Index      	 *	Score 	Summary	Detail	
1	21216 34361	 * 	386.79	DCR|2VULN|1MDPS|2TLV|2DUR	19TLV|29VULN|3RAT|4TBNT|5FRZICY|6LEGI|7RCR|89DUR|9BPWR|aMDPS
2	21314 23515	 * 	373.49	ACR|3VULN|1MDPS|2DUR|1TLV	1TLV|259VULN|3ERES|4RCR|68DUR|7DUST|aMDPS
3	31133 11514	 * 	370.80	DCR|2VULN|1MDPS|2CDMG|1DUR	1AEFRZ|2MBVNT|3BBNT|49VULN|58CDMG|6DUR|7RCR|aMDPS
4	31133 12744	 * 	370.80	DCR|2VULN|1MDPS|1CDMG|2DUR	1AEFRZ|2MBVNT|3BBNT|47VULN|5CDMG|68DUR|9RCR|aMDPS
5	31433 11514	   	370.80	DCR|2VULN|1MDPS|2CDMG|1DUR	1AEFRZ|2MBVNT|3TBNT|49VULN|58CDMG|6DUR|7RCR|aMDPS
6	31433 12744	   	370.80	DCR|2VULN|1MDPS|1CDMG|2DUR	1AEFRZ|2MBVNT|3TBNT|47VULN|5CDMG|68DUR|9RCR|aMDPS
7	51133 11514	   	370.80	DCR|2VULN|1MDPS|2CDMG|1DUR	1AEWIND|2MBVNT|3BBNT|49VULN|58CDMG|6DUR|7RCR|aMDPS
8	51133 12744	   	370.80	DCR|2VULN|1MDPS|1CDMG|2DUR	1AEWIND|2MBVNT|3BBNT|47VULN|5CDMG|68DUR|9RCR|aMDPS
9	51433 11514	   	370.80	DCR|2VULN|1MDPS|2CDMG|1DUR	1AEWIND|2MBVNT|3TBNT|49VULN|58CDMG|6DUR|7RCR|aMDPS
10	51433 12744	   	370.80	DCR|2VULN|1MDPS|1CDMG|2DUR	1AEWIND|2MBVNT|3TBNT|47VULN|5CDMG|68DUR|9RCR|aMDPS
11	21556 11223	 * 	365.28	2MDPS|2VULN|3DUR|1CDMG|1TLV	1TLV|25VULN|3CDMG|4SNIFST|689DUR|7aMDPS
12	21556 11232	   	365.28	2MDPS|2VULN|1CDMG|2DUR|1TLV	1TLV|25VULN|3CDMG|4SNIFST|68DUR|7aMDPS|9BBNT
13	21314 25315	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	1TLV|259VULN|3ERES|4RCR|6DUR|7AME|8RMIN|aMDPS
14	21314 23615	   	360.93	ACR|3VULN|1MDPS|1TLV|1DUR	1TLV|259VULN|3ERES|4RCR|6DUR|78DUST|aMDPS
15	31133 11714	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEFRZ|2MBVNT|3BBNT|49VULN|5CDMG|6DUR|7RCR|8RCVC|aMDPS
16	31133 12344	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEFRZ|2MBVNT|3BBNT|47VULN|5CDMG|6DUR|8DMSP|9RCR|aMDPS
17	31433 11714	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEFRZ|2MBVNT|3TBNT|49VULN|5CDMG|6DUR|7RCR|8RCVC|aMDPS
18	31433 12344	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEFRZ|2MBVNT|3TBNT|47VULN|5CDMG|6DUR|8DMSP|9RCR|aMDPS
19	51133 11714	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEWIND|2MBVNT|3BBNT|49VULN|5CDMG|6DUR|7RCR|8RCVC|aMDPS
20	51133 12344	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEWIND|2MBVNT|3BBNT|47VULN|5CDMG|6DUR|8DMSP|9RCR|aMDPS
21	51433 11714	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEWIND|2MBVNT|3TBNT|49VULN|5CDMG|6DUR|7RCR|8RCVC|aMDPS
22	51433 12344	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEWIND|2MBVNT|3TBNT|47VULN|5CDMG|6DUR|8DMSP|9RCR|aMDPS
23	31236 77141	   	358.24	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL	1AEFRZ|2MBVNT|3ASPD|46VULN|5CDMG|7RCR|8DUR|9MDPS|aSELL
24	31236 77142	   	358.24	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEFRZ|2MBVNT|3ASPD|46VULN|5CDMG|7RCR|8DUR|9MDPS|aLHND
25	31236 77143	   	358.24	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEFRZ|2MBVNT|3ASPD|46VULN|5CDMG|7RCR|8DUR|9MDPS|aAME
26	31236 77144	   	358.24	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEFRZ|2MBVNT|3ASPD|46VULN|5CDMG|7RCR|8DUR|9MDPS|aRMIN
27	24132 11533	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2AME|3BBNT|46VULN|5RPLT|7RCR|8DUR|9FEWX|aMDPS
28	24132 11523	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2AME|3BBNT|46VULN|5RPLT|7RCR|8DUR|9MBVNT|aMDPS
29	24132 11543	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2AME|3BBNT|46VULN|5RPLT|7RCR|8DUR|9DUST|aMDPS
