0	Index      	 *	Score 	Summary	Detail	
1	11343 31331	 * 	352.93	2MDPS|2VULN|1CDMG|1DUR|1AART	1RCVC|2FRZFST|3AART|45VULN|6CDMG|7FEWX|8DUR|9aMDPS
2	34132 23353	 * 	351.14	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1RAT|2AEFBLL|3DMG|4CGEN|5VULN|6TLV|7RCR|8CDMG|9DUR|aMDPS
3	34162 23323	   	351.04	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1RAT|2AEFBLL|3DMG|4ERES|5VULN|6TLV|7RCR|8CDMG|9DUR|aMDPS
4	53322 46323	 * 	345.73	3VULN|1MDPS|2TLV|1CDMG|1DUR	1RPLT|247VULN|3DUST|57LIT|67TLV|7BPWR|8CDMG|9DUR|aMDPS
5	35326 31214	 * 	331.34	DCR|2VULN|1MDPS|1DUR	134RAT|249BEXP|4BPWR|58VULN|6DUR|7RCR|aMDPS
6	23242 34324	   	331.24	DCR|2VULN|1MDPS|1DUR	1FEWX|24CGEN|3DUR|59VULN|6BOSS|7RCR|8ZMB|aMDPS
7	23252 34324	   	331.24	DCR|2VULN|1MDPS|1DUR	14FEWX|2CGEN|3DUR|59VULN|6BOSS|7RCR|8ZMB|aMDPS
8	12242 34324	   	331.14	DCR|2VULN|1MDPS|1DUR	1RCVC|2ERES|3BEXP|4DUR|59VULN|6BOSS|7RCR|8ZMB|aMDPS
9	23212 34324	   	331.14	DCR|2VULN|1MDPS|1DUR	1FEWX|2CGEN|3DUR|4AEFBLL|59VULN|6BOSS|7RCR|8ZMB|aMDPS
10	23222 34324	   	331.14	DCR|2VULN|1MDPS|1DUR	1FEWX|2CGEN|3DUR|4AEFRZ|59VULN|6BOSS|7RCR|8ZMB|aMDPS
11	12132 21443	   	331.04	DCR|2VULN|1MDPS|1DUR	1RCVC|26ERES|3BOSS|4TBNT|56VULN|6BPWR|7DUR|8FEWX|9RCR|aMDPS
12	41212 22443	   	331.04	DCR|2VULN|1MDPS|1DUR	1RMIN|25VULN|3DUR|4AEFBLL|6FEWX|7BBNT|8LIT|9RCR|aMDPS
13	41212 22643	   	331.04	DCR|2VULN|1MDPS|1DUR	1RMIN|25VULN|3DUR|4AEFBLL|6FEWX|7BBNT|8BOSS|9RCR|aMDPS
14	41222 22443	   	331.04	DCR|2VULN|1MDPS|1DUR	1RMIN|25VULN|3DUR|4AEWIND|6FEWX|7BBNT|8LIT|9RCR|aMDPS
15	41222 22643	   	331.04	DCR|2VULN|1MDPS|1DUR	1RMIN|25VULN|3DUR|4AEWIND|6FEWX|7BBNT|8BOSS|9RCR|aMDPS
16	62132 21443	   	331.04	DCR|2VULN|1MDPS|1DUR	16AME|2RCVC|3BOSS|4TBNT|56VULN|6BPWR|7DUR|8FEWX|9RCR|aMDPS
17	63132 21443	   	331.04	DCR|2VULN|1MDPS|1DUR	16AME|2DMSP|3BOSS|4TBNT|56VULN|6BPWR|7DUR|8FEWX|9RCR|aMDPS
18	41231 12522	   	331.04	DCR|2VULN|1MDPS|1DUR	1RMIN|29VULN|3DUR|4AIRBOS|5BEXP|6FEWX|7TBNT|8RCR|aMDPS
19	12632 23323	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1RCVC|2ERES|3ASPD|4RAT|5VULN|6TLV|7RCR|8CDMG|9DUR|aMDPS
20	36612 23323	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1RAT|24ERES|3ZMB|5VULN|6TLV|7RCR|8CDMG|9DUR|aMDPS
21	53215 11533	 * 	329.78	DCR|1MDPS|1VULN|2DUR|1TLV|1AART	1RPLT|2VULN|3LWND|4AART|5TLV|69DUR|7RCR|8TBNT|aMDPS
22	53315 11533	   	329.68	DCR|1MDPS|1VULN|2DUR|1TLV|1AART	1RPLT|2VULN|3DUST|4AART|5TLV|69DUR|7RCR|8TBNT|aMDPS
23	41262 11533	   	328.74	3VULN|1MDPS|1CDMG|1TLV|1DUR	1RMIN|256VULN|3DUR|4AAC|7TLV|8LWND|9CDMG|aMDPS
24	11343 22355	   	325.53	2MDPS|2VULN|1DUR|1AART	1RCVC|2FRZFST|3AART|45VULN|6DUR|7BOSS|8BEXP|9aMDPS
25	11341 55331	   	325.18	2MDPS|2VULN|1DUR|1AART|1SELL	1RCVC|2FRZFST|3AART|46VULN|56DUST|6BPWR|7SELL|8DUR|9aMDPS
26	61213 34222	   	324.94	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2LHND|3DUR|4VULN|5CGEN|6LWND|7CDMG|8DMG|9RCR|aMDPS
27	41523 11431	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1RMIN|2VULN|3DMG|4BBNT|5DUR|6MULARM|7RCR|8RAT|9CDMG|aMDPS
