0	Index      	 *	Score 	Summary	Detail	
1	63631 51313	 * 	311.46	橙3雷电3矿等2等级1易伤	157矿等2基地爆炸37a雷电47等级6平台7序列升级8易伤9核
2	62331 61322	 * 	304.92	橙3矿等2等级2易伤1雷电1攻速	12a矿等2a序列升级3敌人爆炸4a易伤5雷电6攻速7a等级8随机矿9核
3	23226 14121	 * 	301.09	橙橙2等级1易伤1雷电	1时间2易伤3金币生成4低血量敌人58等级6策反79核a雷电
4	23326 24121	   	301.09	橙橙2等级1易伤1雷电	1时间2易伤3技能4低血量敌人58等级6金币生成79核a雷电
5	23315 54121	   	300.99	橙橙2等级1易伤1雷电	1时间2易伤3技能4掉矿5敌人爆炸68等级79核a雷电
6	23326 64121	   	300.99	橙橙2等级1易伤1雷电	1时间2易伤3技能4低血量敌人58等级6掉矿79核a雷电
7	23335 54121	   	300.99	橙橙2等级1易伤1雷电	1时间2易伤3技能4技能点5敌人爆炸68等级79核a雷电
8	63631 51312	   	293.68	橙3矿等2等级2雷电1易伤	157矿等2基地爆炸37雷电47等级6平台7序列升级8易伤9核a低血量敌人
9	13315 54121	   	291.33	橙橙2等级1易伤1雷电	1最后敌人2易伤3技能4掉矿5敌人爆炸68等级79核a雷电
10	13335 54121	   	291.33	橙橙2等级1易伤1雷电	1最后敌人2易伤3技能4技能点5敌人爆炸68等级79核a雷电
11	41231 21254	 * 	289.36	橙3等级2雷电2矿等1易伤	1核弹2随机矿3a矿等4易伤5a雷电67a等级8核9双倍物品a序列升级
12	23226 14621	   	288.32	橙橙1等级1易伤1雷电2时间	18时间2易伤3金币生成4低血量敌人5等级6策反79核a雷电
13	23326 24621	   	288.32	橙橙1等级1易伤1雷电2时间	18时间2易伤3技能4低血量敌人5等级6金币生成79核a雷电
14	32361 16114	   	287.40	橙橙1等级1易伤1雷电	1敌人爆炸2雷电3双倍秒伤4技能5全技能6等级7a核8平台9易伤
15	32621 16114	   	287.40	橙橙1等级1易伤1雷电	1敌人爆炸2雷电3策反4双倍秒伤5全技能6等级7a核8平台9易伤
16	45631 21322	 * 	286.18	橙2等级2易伤2雷电1矿等	1核弹2a易伤3a雷电46等级5矿等7a挖尘8随机矿9核a序列升级
