0	Index      	 *	Score 	Summary	Detail	
1	51343 22116	 * 	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MLV|2BOSS|3VULN|4BBNT|5RAT|6DUR|7aRCR|8DMG|9BEXP
2	51324 51331	 * 	245.53	DCR|3VULN|2DMG|2MLV|1CDMG	19MLV|2BOSS|39aVULN|4CGEN|5CDMG|69DMG|7RCR|8RPLT|9BPWR
3	11323 62315	   	245.44	DCR|DCR|1VULN|1DMG|1MLV	1ASPD|2BOSS|3VULN|4CGEN|5MLV|6DMG|7LSRREG|8aRCR|9RAT
4	51314 51331	   	245.43	DCR|3VULN|2DMG|2MLV|1CDMG	19MLV|2BOSS|39aVULN|4ERES|5CDMG|69DMG|7RCR|8RPLT|9BPWR
5	51152 12315	 * 	244.64	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1MLV|2BOSS|3AAC|4ZMB|5VULN|6TLV|7LSRREG|8aRCR|9RAT
6	51623 42113	 * 	244.48	DCR|DCR|1VULN|2MLV|1CDMG	15MLV|2BOSS|3LWND|4CGEN|6CDMG|7aRCR|8LIT|9VULN
7	51223 42113	   	244.38	DCR|DCR|1VULN|2MLV|1CDMG	15MLV|2BOSS|3DUST|4CGEN|6CDMG|7aRCR|8LIT|9VULN
8	51613 42113	   	244.38	DCR|DCR|1VULN|2MLV|1CDMG	15MLV|2BOSS|3LWND|4ERES|6CDMG|7aRCR|8LIT|9VULN
9	51213 42113	   	244.28	DCR|DCR|1VULN|2MLV|1CDMG	15MLV|2BOSS|3DUST|4ERES|6CDMG|7aRCR|8LIT|9VULN
10	23222 35335	 * 	242.59	DCR|DCR|1VULN|1FLTARM|1DUR	1DUR|2FEWX|3LIT|4CANSTR|5VULN|6MDPS|7aRCR|8RPLT|9FLTARM
11	51343 12116	   	238.50	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2BOSS|3VULN|4BBNT|5RAT|6FEWX|7aRCR|8DMG|9BEXP
12	61323 62315	   	238.50	DCR|DCR|1VULN|1DMG|1MLV	1ZMB|2BOSS|3VULN|4CGEN|5MLV|6DMG|7LSRREG|8aRCR|9RAT
13	51333 42116	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2BOSS|3VULN|4LEGI|5RAT|6BBNT|7aRCR|8DMG|9BEXP
14	15411 16231	   	236.74	DCR|2VULN|2DMG|2MLV|1DUR|2ASPD	12ASPD|2aBPWR|3aMLV|4TSLARM|5DUR|6aDMG|7ERES|8aVULN|9RCR
15	52253 34222	 * 	235.60	DCR|2VULN|3DUR|2MLV|1TLV|1SELL	17MLV|24LHND|3SELL|57VULN|679DUR|7BPWR|8RCR|aTLV
16	53623 11252	 * 	233.78	DCR|3VULN|2MLV|1TLV|1CDMG	12MLV|2BPWR|3AME|4CDMG|5TLV|69aVULN|7LHND|8RCR
17	24115 31114	 * 	232.95	DCR|3DUR|2DMG|1VULN|1TLV|1AART	126DUR|26BPWR|3AART|46DMG|5BELT|7TLV|8VULN|9RPLT|aRCR
18	32124 26162	 * 	232.25	DCR|DCR|2MLV|1DMG|1AART	1RAT|2LWND|39MLV|4DMG|5AART|6CANARM|7aRCR|8CANTOX
19	51521 42113	   	232.19	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2BOSS|35FEWX|4CGEN|6CDMG|7aRCR|8LIT|9VULN
20	51524 22113	   	232.19	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2BOSS|3FEWX|46CGEN|5CDMG|7aRCR|8LIT|9VULN
21	51622 42113	   	232.19	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2BOSS|3LWND|4CGEN|5RCVC|6CDMG|7aRCR|8LIT|9VULN
