0	Index      	 *	Score 	Summary	Detail	
1	62513 23612	 * 	264.52	ACR|DCR|3VULN|2CDMG|1DUR|1AART	139VULN|2aRCR|4DUR|5AART|69CDMG|7LEGI|89AEFRZ|9BPWR
2	62313 22642	   	260.16	ACR|DCR|3VULN|1MLV|1AART|1CDMG	189VULN|2aRCR|3MLV|4RMIN|5AART|6CDMG|7MDPS
3	62513 34222	   	258.31	ACR|DCR|3VULN|1DUR|1AART|1CDMG	136VULN|2aRCR|4DUR|5AART|7CDMG|8LHND|9LWND
4	52132 22542	   	258.31	ACR|DCR|3VULN|1DUR|1AART|1CDMG	1LHND|2aRCR|3FEWX|4CDMG|5DUR|679VULN|8AART
5	62123 34612	   	250.87	ACR|DCR|3VULN|2CDMG|1AART	169VULN|2aRCR|3FEWX|49AEWIND|5AART|79CDMG|8LEGI|9BPWR
6	25643 23315	 * 	250.14	DCR|3VULN|2TLV|1DMG|1DUR|1AART	19LIT|269VULN|3MBVNT|4DMG|5DUR|7AART|89TLV|9BPWR|aRCR
7	42412 31611	 * 	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1RAT|2VULN|3DMG|4LHND|5MDPS|68RCR|7DUR|9AAC|aTBNT
8	42412 31612	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1RAT|2VULN|3DMG|4LHND|5MDPS|68RCR|7DUR|9AAC|aZMB
9	42412 31613	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1RAT|2VULN|3DMG|4LHND|5MDPS|68RCR|7DUR|9AAC|aBBNT
10	42432 31611	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1RAT|2VULN|3DMG|4FEWX|5MDPS|68RCR|7DUR|9AAC|aTBNT
11	42432 31612	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1RAT|2VULN|3DMG|4FEWX|5MDPS|68RCR|7DUR|9AAC|aZMB
12	42432 31613	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1RAT|2VULN|3DMG|4FEWX|5MDPS|68RCR|7DUR|9AAC|aBBNT
13	62513 23322	 * 	248.52	ACR|DCR|2VULN|2AART|1DUR|1CDMG	13VULN|2aRCR|4DUR|58AART|6CDMG|7LEGI|9LWND
14	62513 23342	   	248.52	ACR|DCR|2VULN|2AART|1DUR|1CDMG	13VULN|2aRCR|4DUR|58AART|6CDMG|7LEGI|9LHND
15	62513 23352	   	248.52	ACR|DCR|2VULN|2AART|1DUR|1CDMG	13VULN|2aRCR|4DUR|58AART|6CDMG|7LEGI|9BEXP
16	52325 41212	 * 	246.62	ACR|DCR|2VULN|2DMG|1DUR	178LHND|29RCR|37DMG|4AEBURN|5LIT|67VULN|7BPWR|aDUR
17	62522 31612	   	246.61	ACR|DCR|3VULN|1MLV|1DUR	138VULN|29RCR|48ERES|5ZMB|6MLV|78LIT|8BPWR|aDUR
18	62363 21423	 * 	245.67	ACR|DCR|2VULN|3MLV|1AART	18VULN|2aRCR|378MLV|4AART|5LEGI|68AEFRZ|8BPWR|9SNIFST
19	62513 12215	   	244.66	ACR|DCR|3VULN|1DUR|1AART	13aVULN|28RCR|4DUR|5AART|6VENTOX|7FEWX|9LWND
20	62513 12235	   	244.66	ACR|DCR|3VULN|1DUR|1AART	13aVULN|28RCR|4DUR|5AART|6VENTOX|7FEWX|9BEXP
21	52135 12622	   	244.66	ACR|DCR|3VULN|1AART|1CDMG	1LHND|2aRCR|3FEWX|4CDMG|578VULN|6BEXP|9AART
22	52533 12622	   	244.66	ACR|DCR|3VULN|1AART|1CDMG	1LHND|2aRCR|378VULN|4CDMG|5FEWX|6BEXP|9AART
23	62133 12542	   	244.66	ACR|DCR|3VULN|1AART|1CDMG	179VULN|2aRCR|3FEWX|4CDMG|5LHND|6BEXP|8AART
24	62133 12622	   	244.66	ACR|DCR|3VULN|1AART|1CDMG	178VULN|2aRCR|3FEWX|4CDMG|5LHND|6BEXP|9AART
25	62233 12542	   	244.66	ACR|DCR|3VULN|1AART|1CDMG	179VULN|2aRCR|3LHND|4CDMG|5FEWX|6BEXP|8AART
26	62233 12622	   	244.66	ACR|DCR|3VULN|1AART|1CDMG	178VULN|2aRCR|3LHND|4CDMG|5FEWX|6BEXP|9AART
27	62513 12222	   	244.56	ACR|DCR|3VULN|1DUR|1AART	13aVULN|28RCR|4DUR|5AART|6VENTOX|7FEWX|9TBNT
28	52135 23622	   	244.56	ACR|DCR|3VULN|1AART|1CDMG	1LHND|2aRCR|3FEWX|4CDMG|568VULN|7DUST|9AART
29	52162 22622	   	244.56	ACR|DCR|3VULN|1AART|1CDMG	1LHND|2aRCR|3FEWX|4DUST|5CDMG|678VULN|9AART
30	52263 22622	   	244.56	ACR|DCR|3VULN|1AART|1CDMG	13LHND|2aRCR|4CDMG|5MDPS|678VULN|9AART
31	52533 23622	   	244.56	ACR|DCR|3VULN|1AART|1CDMG	1LHND|2aRCR|368VULN|4CDMG|5FEWX|7DUST|9AART
32	62133 23542	   	244.56	ACR|DCR|3VULN|1AART|1CDMG	169VULN|2aRCR|3FEWX|4CDMG|5LHND|7DUST|8AART
33	62133 23622	   	244.56	ACR|DCR|3VULN|1AART|1CDMG	168VULN|2aRCR|3FEWX|4CDMG|5LHND|7DUST|9AART
34	62233 23542	   	244.56	ACR|DCR|3VULN|1AART|1CDMG	169VULN|2aRCR|3LHND|4CDMG|5FEWX|7DUST|8AART
35	62233 23622	   	244.56	ACR|DCR|3VULN|1AART|1CDMG	168VULN|2aRCR|3LHND|4CDMG|5FEWX|7DUST|9AART
36	62235 12622	   	244.56	ACR|DCR|3VULN|1AART|1CDMG	178VULN|2aRCR|3LHND|4CDMG|5DUST|6BEXP|9AART
37	62561 31221	   	244.46	ACR|DCR|3VULN|1DUR|1AART	136VULN|29RCR|4AART|5CANSTR|7RMIN|8DUR|aAETHUN
38	62561 31222	   	244.46	ACR|DCR|3VULN|1DUR|1AART	136VULN|29RCR|4AART|5CANSTR|7RMIN|8DUR|aDUST
39	62561 31223	   	244.46	ACR|DCR|3VULN|1DUR|1AART|1MSE	136VULN|29RCR|4AART|5CANSTR|7RMIN|8DUR|aMSE
40	62231 42622	   	244.46	ACR|DCR|3VULN|1AART|1CDMG	178VULN|2aRCR|3LHND|4CDMG|5MDPS|6AEFBLL|9AART
41	64152 33113	 * 	242.80	DCR|3VULN|2TLV|1DMG|2CDMG	148VULN|2BBNT|37LHND|58TLV|68CDMG|8BPWR|9RCR|aDMG
42	64113 21423	 * 	242.49	DCR|DCR|2VULN|1AART	17VULN|2BBNT|35LHND|4AART|6aRCR|8AME|9SNIFST
43	62123 23312	 * 	241.19	ACR|DCR|2VULN|2AART|2CDMG	19VULN|2aRCR|3FEWX|49AEWIND|58AART|69CDMG|7LEGI|9BPWR
44	62513 12251	   	238.13	ACR|DCR|2VULN|1MLV|1DUR|1AART	13VULN|28RCR|4DUR|5AART|6VENTOX|7FEWX|9RMIN|aMLV
45	62313 34212	   	238.13	ACR|DCR|2VULN|1MLV|1AART|1CDMG	16VULN|2aRCR|3MLV|4RMIN|5AART|7CDMG|8LHND|9LWND
46	62313 34262	   	238.13	ACR|DCR|2VULN|1MLV|1AART|1CDMG	16VULN|2aRCR|3MLV|4RMIN|5AART|7CDMG|8LHND|9FEWX
47	62323 15243	   	238.03	ACR|DCR|2VULN|1MLV|1DUR|1CDMG	19VULN|2aRCR|3MLV|4BBNT|5DUR|6RPLT|7ZMB|8CDMG
48	62123 24612	 * 	238.03	ACR|DCR|1VULN|1TLV|1MLV|1AART|1CDMG	1VULN|2aRCR|3FEWX|4AEWIND|5AART|6CDMG|7TLV|8MLV|9LWND
49	13213 44611	   	237.95	ACR|DCR|3VULN|1AART	1CGEN|2ASPD|3BELT|4AART|56RCR|7RCVC|89aVULN
50	13213 45611	   	237.95	ACR|DCR|3VULN|1AART	17CGEN|2ASPD|3BELT|4AART|56RCR|89aVULN
51	13213 46521	   	237.95	ACR|DCR|3VULN|1AART	1CGEN|2ASPD|3BELT|4AART|56RCR|7RPLT|89aVULN
52	62513 13333	   	237.93	ACR|DCR|2VULN|1MLV|1DUR|1AART	13VULN|2aRCR|4DUR|5AART|6VENTOX|7BBNT|8MLV|9AEPOI
53	62313 16222	   	237.93	ACR|DCR|2VULN|1MLV|1DUR|1AART	1aVULN|28RCR|3MLV|4RMIN|5AART|6SPLARM|7DUR|9TBNT
54	62313 22662	   	237.93	ACR|DCR|2VULN|1MLV|1AART|1CDMG	18VULN|2aRCR|3MLV|4RMIN|5AART|6CDMG|7MDPS|9AEBURN
55	62361 22533	   	237.83	ACR|DCR|2VULN|1MLV|1DUR|1AART	17VULN|2aRCR|3MLV|4AART|5DUR|6AEFRZ|8BBNT|9VENFST
56	42412 31632	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2VULN|3DMG|4LHND|5MDPS|68RCR|7DUR|9RMIN|aZMB
57	42432 31632	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2VULN|3DMG|4FEWX|5MDPS|68RCR|7DUR|9RMIN|aZMB
58	42412 31621	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1aRAT|2VULN|3DMG|4LHND|5MDPS|68RCR|7DUR|9DUST
59	42412 31623	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2VULN|3DMG|4aLHND|5MDPS|68RCR|7DUR|9DUST
60	42412 31631	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2VULN|3DMG|4LHND|5MDPS|68RCR|7DUR|9RMIN|aTBNT
61	42412 31633	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2VULN|3DMG|4LHND|5MDPS|68RCR|7DUR|9RMIN|aBBNT
62	42412 33611	   	236.45	DCR|DCR|1VULN|1DMG|1AAC	1RAT|2VULN|3DMG|4LHND|5MDPS|68RCR|7LWND|9AAC|aTBNT
63	42412 33612	   	236.45	DCR|DCR|1VULN|1DMG|1AAC	1RAT|2VULN|3DMG|4LHND|5MDPS|68RCR|7LWND|9AAC|aZMB
64	42412 33613	   	236.45	DCR|DCR|1VULN|1DMG|1AAC	1RAT|2VULN|3DMG|4LHND|5MDPS|68RCR|7LWND|9AAC|aBBNT
65	42432 31621	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1aRAT|2VULN|3DMG|4FEWX|5MDPS|68RCR|7DUR|9DUST
66	42432 31623	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2VULN|3DMG|4FEWX|5MDPS|68RCR|7DUR|9DUST|aLHND
67	42432 31631	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2VULN|3DMG|4FEWX|5MDPS|68RCR|7DUR|9RMIN|aTBNT
68	42432 31633	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2VULN|3DMG|4FEWX|5MDPS|68RCR|7DUR|9RMIN|aBBNT
69	42432 33611	   	236.45	DCR|DCR|1VULN|1DMG|1AAC	1RAT|2VULN|3DMG|4FEWX|5MDPS|68RCR|7LWND|9AAC|aTBNT
70	42432 33612	   	236.45	DCR|DCR|1VULN|1DMG|1AAC	1RAT|2VULN|3DMG|4FEWX|5MDPS|68RCR|7LWND|9AAC|aZMB
71	42432 33613	   	236.45	DCR|DCR|1VULN|1DMG|1AAC	1RAT|2VULN|3DMG|4FEWX|5MDPS|68RCR|7LWND|9AAC|aBBNT
72	42412 31622	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2VULN|3DMG|4LHND|5MDPS|68RCR|7DUR|9DUST|aBLAICY
