0	Index      	 *	Score 	Summary	Detail	
1	22253 42233	 * 	258.29	DCR|DCR|2VULN|1MLV|1DUR	12RAT|3DUR|4VENFST|59VULN|6CGEN|78RCR|aMLV
2	26231 42231	 * 	255.14	DCR|DCR|2VULN|2DUR	1RAT|2LHND|35DUR|4SNIFST|6CGEN|78RCR|9aVULN
3	36541 41343	 * 	254.94	DCR|DCR|1VULN|2DUR|1TLV	1RMIN|2MDPS|3MBVNT|4VULN|5TLV|6aRCR|79DUR|8TBNT
4	36541 41413	 * 	252.82	DCR|DCR|2TLV|1VULN|1DUR	1RMIN|2MDPS|3MBVNT|4VULN|58TLV|6aRCR|7DUR|9TBNT
5	61531 53133	 * 	249.00	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1CGEN|2AAC|3DMG|4TLV|5VULN|6BBNT|7LWND|8aRCR|9MDPS
6	31243 11444	 * 	245.83	DCR|DCR|3TLV|1VULN	1RMIN|25CGEN|345TLV|5BPWR|6MBVNT|7VULN|8FLTHEA|9aRCR
7	64253 11444	   	245.83	DCR|DCR|3TLV|1VULN	15CGEN|235TLV|4RMIN|5BPWR|6MBVNT|7VULN|8FLTHEA|9aRCR
8	64343 11444	   	245.83	DCR|DCR|3TLV|1VULN	15CGEN|245TLV|3RMIN|5BPWR|6MBVNT|7VULN|8FLTHEA|9aRCR
9	22653 42233	   	244.54	DCR|DCR|2VULN|1MLV	12RAT|3DUST|4VENFST|59VULN|6CGEN|78RCR|aMLV
10	41217 33341	   	243.29	DCR|DCR|1VULN|1DMG|1DUR	1BEXP|2MBVNT|3SPLARM|4ASPD|5BASARM|6DMG|7VULN|89RCR|aDUR
11	41217 33348	   	243.29	DCR|DCR|1VULN|1DMG|1AART	1BEXP|2MBVNT|3SPLARM|4ASPD|5BASARM|6DMG|7VULN|89RCR|aAART
12	22153 42221	   	242.69	DCR|DCR|2VULN|1DUR	12RAT|3LHND|4VENFST|5aVULN|6CGEN|78RCR|9DUR
13	22253 42221	   	242.69	DCR|DCR|2VULN|1DUR	12RAT|3DUR|4VENFST|5aVULN|6CGEN|78RCR|9FEWX
14	22253 42231	   	242.69	DCR|DCR|2VULN|1DUR	12RAT|3DUR|4VENFST|59VULN|6CGEN|78RCR|aLWND
15	22253 42236	   	242.69	DCR|DCR|2VULN|1DUR	12RAT|3DUR|4VENFST|59VULN|6CGEN|78RCR|aFEWX
16	22533 22221	   	242.69	DCR|DCR|2VULN|1DUR	12RAT|3CGEN|4CANARM|5aVULN|6LHND|78RCR|9DUR
17	22543 22221	   	242.69	DCR|DCR|2VULN|1DUR	12RAT|3CGEN|4VENICY|5aVULN|6LHND|78RCR|9DUR
18	31253 15362	   	242.69	DCR|DCR|1VULN|1TLV|1AART	1RMIN|2CGEN|3TLV|4FRZICY|5LIT|6VULN|7aRCR|8MDPS|9AART
19	31256 32244	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1RMIN|2CGEN|3TLV|4FRZICY|5LWND|6MBVNT|7VULN|8DUR|9aRCR
20	22252 42231	   	242.59	DCR|DCR|2VULN|1DUR	12RAT|3DUR|4VENFST|5DUST|6CGEN|78RCR|9aVULN
21	22253 42232	   	242.59	DCR|DCR|2VULN|1DUR	12RAT|3DUR|4VENFST|59VULN|6CGEN|78RCR|aAEFRZ
22	22253 42234	   	242.59	DCR|DCR|2VULN|1DUR|1MSE	12RAT|3DUR|4VENFST|59VULN|6CGEN|78RCR|aMSE
23	26235 42231	   	242.59	DCR|DCR|2VULN|1DUR	1RAT|2LHND|3DUR|4SNIFST|5AEBURN|6CGEN|78RCR|9aVULN
24	36541 41323	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1RMIN|2MDPS|3MBVNT|4VULN|5TLV|6aRCR|7DUR|8TBNT|9RCVC
25	36541 41383	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	19RMIN|2MDPS|3MBVNT|4VULN|5TLV|6aRCR|7DUR|8TBNT
26	41641 33122	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1BEXP|2MBVNT|3TLV|4TBNT|5FLTFST|6ZMB|7AART|8aRCR|9VULN
27	41641 53122	   	242.49	DCR|DCR|1VULN|1TLV|1AART|1AAC	1BEXP|2MBVNT|3TLV|4TBNT|5FLTFST|6AAC|7AART|8aRCR|9VULN
28	42633 32224	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1BEXP|2FEWX|3TBNT|4DUST|5TLV|6aRCR|7SPLARM|8DUR|9VULN
29	36541 41313	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1RMIN|29MDPS|3MBVNT|4VULN|5TLV|6aRCR|7DUR|8TBNT
30	36541 42613	   	239.17	DCR|DCR|2TLV|1VULN	1RMIN|2MDPS|3MBVNT|4VULN|57TLV|6aRCR|8LHND|9TBNT
31	36552 34421	   	236.98	DCR|DCR|1VULN|1DUR|1CDMG	1RMIN|2MDPS|3MBVNT|4RPLT|5ASPD|6VULN|7DUR|8aRCR|9CDMG
32	14244 33133	   	235.88	DCR|DCR|1VULN|1TLV	1ZMB|2TLV|3TBNT|4CGEN|5VULN|6LWND|7ASPD|8aRCR|9MDPS
33	61631 53133	   	235.88	DCR|DCR|1VULN|1TLV|1AAC	1CGEN|2AAC|3ASPD|4TLV|5VULN|6BBNT|7LWND|8aRCR|9MDPS
34	43215 61213	 * 	233.14	DCR|2VULN|2DUR|1TLV|1MSLTOX|1AART	1BEXP|26VULN|3AIRARM|4ASPD|56DUR|6BPWR|7RCR|8MSLTOX|9TLV|aAART
35	42514 32212	   	233.04	DCR|DCR|1TLV|1MLV|1DUR	1BEXP|2FEWX|3DUR|4ASPD|5BBNT|6MDPS|7MLV|89RCR|aTLV
36	22253 42213	   	232.09	DCR|DCR|1VULN|1MLV|1DUR	12RAT|3DUR|4VENFST|5VULN|6CGEN|78RCR|9DMSP|aMLV
37	43144 33231	   	232.09	DCR|DCR|1VULN|1MLV|1AART	1BEXP|2VULN|3CGEN|47LWND|5BBNT|69RCR|8AART|aMLV
38	46126 33231	   	232.09	DCR|DCR|1VULN|1MLV|1AART	1BEXP|2TBNT|3CGEN|4VULN|57LWND|69RCR|8AART|aMLV
