0	Index      	 *	Score 	Summary	Detail	
1	32212 23541	 * 	256.14	DCR|DCR|2VULN|1DUR|2ASPD	1FLTHEA|2MDPS|37VULN|49ASPD|5ZMB|6DUR|8aRCR
2	32655 31132	   	256.14	DCR|DCR|2VULN|1DUR|1AART	1FLTHEA|2MDPS|3LWND|4aVULN|5AART|6TBNT|7DUR|89RCR
3	31361 11334	 * 	255.99	DCR|DCR|2DMG|1VULN|1MLV	1FLTHEA|2BEXP|3MLV|4BELT|59DMG|6SPLJET|7aRCR|8VULN
4	31361 61334	   	255.99	DCR|DCR|2DMG|1VULN|1MLV	1FLTHEA|2BEXP|3MLV|4BELT|59DMG|6LSRREG|7aRCR|8VULN
5	33161 11334	   	255.99	DCR|DCR|2DMG|1VULN|1MLV	1FLTHEA|2MLV|3LHND|4BELT|59DMG|6SPLJET|7aRCR|8VULN
6	33161 61334	   	255.99	DCR|DCR|2DMG|1VULN|1MLV	1FLTHEA|2MLV|3LHND|4BELT|59DMG|6LSRREG|7aRCR|8VULN
7	36361 11334	   	255.99	DCR|DCR|2DMG|1VULN|1MLV	1FLTHEA|2FEWX|3MLV|4BELT|59DMG|6SPLJET|7aRCR|8VULN
8	31343 13511	 * 	244.54	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1FLTHEA|2BEXP|3MLV|4AAC|5TLV|6VULN|7LEGI|8aRCR|9ZMB
9	36343 13511	   	244.54	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1FLTHEA|2FEWX|3MLV|4AAC|5TLV|6VULN|7LEGI|8aRCR|9ZMB
10	33543 13511	   	244.44	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1FLTHEA|2MLV|3DUST|4AAC|5TLV|6VULN|7LEGI|8aRCR|9ZMB
11	32655 23133	   	242.49	DCR|DCR|2VULN|1AART	1FLTHEA|2MDPS|3LWND|4aVULN|5AART|6BEXP|7TBNT|89RCR
12	32655 32133	   	242.49	DCR|DCR|2VULN|1AART	1FLTHEA|2MDPS|3LWND|4aVULN|5AART|6TBNT|7BEXP|89RCR
13	32212 13541	   	242.39	DCR|DCR|2VULN|2ASPD	1FLTHEA|2MDPS|37VULN|49ASPD|5ZMB|6LEGI|8aRCR
14	34132 36531	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1FLTHEA|2AEBURN|3TLV|4ERES|5DUR|6VULN|7MBVNT|8aRCR|9BEXP
15	32655 31131	 * 	242.39	DCR|DCR|1VULN|2DUR|1AART	1FLTHEA|2MDPS|3LWND|4VULN|5AART|6TBNT|7aDUR|89RCR
16	31361 11364	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1FLTHEA|29BEXP|3MLV|4BELT|5DMG|6SPLJET|7aRCR|8VULN
17	51623 35131	 * 	237.26	DCR|3DMG|1VULN|2DUR|1TLV|1CDMG	19RAT|2TLV|359DMG|4CDMG|6VULN|79DUR|8RCR|9BPWR|aLWND
18	51623 35133	   	237.26	DCR|3DMG|1VULN|2DUR|1TLV|1CDMG	19RAT|2TLV|359DMG|4CDMG|6VULN|79DUR|8RCR|9BPWR|aDMSP
19	51623 35132	   	237.16	DCR|3DMG|1VULN|2DUR|1TLV|1CDMG	19RAT|2TLV|359DMG|4CDMG|6VULN|79DUR|8RCR|9BPWR|aTBNT
20	36232 13461	   	236.31	DCR|DCR|1VULN|1DMG|1CDMG|1SELL	1FLTHEA|2FEWX|3DMG|4VULN|5CDMG|6SELL|7LWND|8aRCR|9BEXP
21	12353 14431	   	235.88	DCR|DCR|1VULN|1TLV	1ZMB|2LWND|3ASPD|4LSRICY|5TLV|6VULN|7ERES|8aRCR|9BEXP
22	26215 23231	   	232.74	DCR|DCR|1VULN|1MSLTOX|1DUR	1BOSS|2BBNT|3RAT|4DUR|5MSLTOX|69RCR|7FEWX|8RMIN|aVULN
23	26215 24231	   	232.74	DCR|DCR|1VULN|1MSLTOX|1DUR	1BOSS|2BBNT|3RAT|4DUR|5MSLTOX|69RCR|7BEXP|8RMIN|aVULN
24	31225 53251	 * 	232.62	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1FLTHEA|2BEXP|3DMG|4FEWX|5MLV|6AAC|7LHND|8aRCR|9TLV
25	16623 23161	 * 	232.57	ACR|DCR|2DMG|1VULN|1FLTARM	1ZMB|2MDPS|3aRCR|49DUST|57DMG|6VULN|8FLTARM
26	31213 15441	   	232.52	DCR|DCR|1TLV|1DMG|1MLV	1FLTHEA|2BEXP|3DMG|4AETHUN|5TLV|6MLV|7ZMB|8aRCR|9LWND
27	31235 53251	   	232.52	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1FLTHEA|2BEXP|3DMG|4DUST|5MLV|6AAC|7LHND|8aRCR|9TLV
28	41222 23213	 * 	230.79	ACR|DCR|1VULN|1TLV|1DMG|1MLV	1LWND|2DMSP|3BEXP|48RCR|5TBNT|6MLV|7VULN|9TLV|aDMG
29	45222 23213	   	230.79	ACR|DCR|1VULN|1TLV|1DMG|1MLV	12LWND|3BEXP|48RCR|5TBNT|6MLV|7VULN|9TLV|aDMG
30	43222 23213	   	230.69	ACR|DCR|1VULN|1TLV|1DMG|1MLV	1LWND|2AEPOI|3BEXP|48RCR|5TBNT|6MLV|7VULN|9TLV|aDMG
31	51223 12225	 * 	230.09	DCR|DCR|1FLTARM|1TLV	1RAT|2TLV|3MDPS|4ASPD|5FLTARM|6LHND|7CGEN|8BEXP|9aRCR
32	51223 13225	   	229.99	DCR|DCR|1FLTARM|1TLV	1RAT|2TLV|3MDPS|4ASPD|5FLTARM|6LHND|7ERES|8BEXP|9aRCR
33	51223 42225	   	229.99	DCR|DCR|1FLTARM|1TLV	1RAT|2TLV|3MDPS|4ASPD|5FLTARM|6DUST|7CGEN|8BEXP|9aRCR
34	32655 13131	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1FLTHEA|2MDPS|3LWND|4VULN|5AART|6LHND|7TBNT|89RCR|aDUR
35	32655 23131	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1FLTHEA|2MDPS|3LWND|4VULN|5AART|6BEXP|7TBNT|89RCR|aDUR
36	32655 31133	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1FLTHEA|2MDPS|3LWND|4VULN|5AART|6TBNT|7DUR|89RCR|aLHND
37	32655 32131	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1FLTHEA|2MDPS|3LWND|4VULN|5AART|6TBNT|7BEXP|89RCR|aDUR
38	51223 43225	   	229.89	DCR|DCR|1FLTARM|1TLV	1RAT|2TLV|3MDPS|4ASPD|5FLTARM|6DUST|7ERES|8BEXP|9aRCR
39	32241 31355	   	229.84	DCR|DCR|1VULN|1DUR|2ASPD	1FLTHEA|2MDPS|3VULN|4DUR|5AETHUN|6RAT|7aRCR|89ASPD
40	26323 13422	   	228.94	DCR|DCR|2VULN	1BOSS|2BBNT|3CGEN|4LIT|5LHND|6DUST|79VULN|8aRCR
41	22312 65124	   	228.94	DCR|DCR|1VULN|1TLV	1BOSS|28CGEN|3RCVC|4DUST|5ERES|6aRCR|7TLV|9VULN
42	26123 12412	   	228.84	DCR|DCR|2VULN	1BOSS|2BBNT|3AME|4LIT|5LHND|6DUST|79VULN|8aRCR
43	26124 32412	   	228.84	DCR|DCR|2VULN	1BOSS|2BBNT|3AME|4LIT|5DUST|6BEXP|79VULN|8aRCR
44	22312 65224	   	228.84	DCR|DCR|1VULN|1TLV	1BOSS|2CGEN|3RCVC|4DUST|58ERES|6aRCR|7TLV|9VULN
45	32426 33531	 * 	227.24	DCR|DCR|2TLV|1DMG	1FLTHEA|2MDPS|3DMG|4LWND|59TLV|6ZMB|7CGEN|8aRCR
46	46133 11152	 * 	226.76	DCR|2VULN|3DMG|1MLV|1AART|1AAC	18LWND|2CGEN|38VULN|4AART|5AAC|6RCR|789DMG|8BPWR|aMLV
47	42133 11152	   	226.66	DCR|2VULN|3DMG|1MLV|1AART|1AAC	18LWND|2ERES|38VULN|4AART|5AAC|6RCR|789DMG|8BPWR|aMLV
48	31343 23511	   	226.20	DCR|DCR|1TLV|1MLV|1DUR|1AAC	1FLTHEA|2BEXP|3MLV|4AAC|5TLV|6DUR|7LHND|8aRCR|9ZMB
49	36343 23511	   	226.20	DCR|DCR|1TLV|1MLV|1DUR|1AAC	1FLTHEA|2FEWX|3MLV|4AAC|5TLV|6DUR|7LHND|8aRCR|9ZMB
