0	Index      	 *	Score 	Summary	Detail	
1	45113 21513	 * 	269.49	DCR|DCR|1VULN|2AART|1DMG|1DUR	19AART|2ASPD|3AME|4DMG|5ERES|6DUR|78RCR|aVULN
2	16425 13273	 * 	264.46	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1SELL	1LWND|2MBVNT|3MLV|4SELL|5DMG|6VULN|7aRCR|8LHND|9TLV
3	16425 12473	 * 	264.46	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1SELL	17LWND|2MBVNT|3MLV|4SELL|5DMG|6VULN|8TLV|9aRCR
4	16425 13363	 * 	264.36	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1LWND|2MBVNT|3MLV|4SELL|5DMG|69VULN|7aRCR|8ERES
5	22136 63162	 * 	263.28	DCR|DCR|2VULN|1DUR|1AART	1BELT|2AEFBLL|3AART|4aVULN|5DUR|6ASPD|7CGEN|89RCR
6	23336 63162	   	263.28	DCR|DCR|2VULN|1DUR|1AART	1BELT|2AART|3AEWIND|4aVULN|5DUR|6ASPD|7CGEN|89RCR
7	23252 63162	 * 	262.18	DCR|DCR|2VULN|2AART	1BELT|25AART|3LWND|4aVULN|6ASPD|7CGEN|89RCR
8	52362 13623	 * 	258.19	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1AIRBOS|2CGEN|3DLOT|4RAT|5TLV|6VULN|7MLV|8aRCR|9CDMG
9	45113 21523	   	257.04	DCR|DCR|1VULN|1DMG|1DUR|1AART	1AART|2ASPD|3AME|4DMG|5ERES|6DUR|78RCR|9DMSP|aVULN
10	45113 21532	   	257.04	DCR|DCR|1VULN|1DMG|1DUR|1AART	1AART|2ASPD|3AME|4DMG|5ERES|6DUR|78RCR|9BELT|aVULN
11	22136 14162	   	256.34	DCR|DCR|2VULN|1DUR|1AART	1BELT|2AEFBLL|3AART|4aVULN|5DUR|6CGEN|7ZMB|89RCR
12	23336 14162	   	256.34	DCR|DCR|2VULN|1DUR|1AART	1BELT|2AART|3AEWIND|4aVULN|5DUR|6CGEN|7ZMB|89RCR
13	36411 31528	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUST|2MBVNT|3DUR|4TLV|5ZMB|68RCR|7AART|9LHND|aVULN
14	36411 31548	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUST|2MBVNT|3DUR|4TLV|5ZMB|68RCR|7AART|9BEXP|aVULN
15	61413 22326	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AART	1BEXP|2DUR|3LWND|4TLV|5AART|6MDPS|7AETHUN|8VULN|9aRCR
16	11313 22326	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1LWND|2DUR|3DUST|4TLV|5AART|6MDPS|7AETHUN|8VULN|9aRCR
17	31413 22326	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUST|2DUR|3LWND|4TLV|5AART|6MDPS|7AETHUN|8VULN|9aRCR
18	36411 31554	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUST|2MBVNT|3DUR|4TLV|5ZMB|68RCR|7AART|9AME|aVULN
19	36411 31564	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUST|2MBVNT|3DUR|4TLV|5ZMB|68RCR|7AART|9AEBURN|aVULN
20	45212 11512	   	255.94	DCR|DCR|1VULN|2AART|1DMG	19AART|2ASPD|3CGEN|4DMG|5LWND|6ERES|78RCR|aVULN
21	45112 11513	   	255.84	DCR|DCR|1VULN|2AART|1DMG	19AART|2ASPD|3AME|4DMG|5LWND|6ERES|78RCR|aVULN
22	23252 14162	   	255.24	DCR|DCR|2VULN|2AART	1BELT|25AART|3LWND|4aVULN|6CGEN|7ZMB|89RCR
23	62124 11343	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1BEXP|2CDMG|3DUST|4MLV|5DMG|6VULN|7MBVNT|8FEWX|9aRCR
24	36448 31521	 * 	251.15	DCR|DCR|1TLV|1DMG|1DUR|1AART	1DUST|2MBVNT|3DUR|4ASPD|5TLV|68RCR|7AART|9LHND|aDMG
25	36448 31541	   	251.15	DCR|DCR|1TLV|1DMG|1DUR|1AART	1DUST|2MBVNT|3DUR|4ASPD|5TLV|68RCR|7AART|9BEXP|aDMG
26	22114 16162	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART	1BELT|27AEFBLL|3AART|4DUR|5DMG|6CGEN|89RCR|aVULN
27	22114 36162	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AART	1BELT|27AEFBLL|3AART|4DUR|5DMG|6ERES|89RCR|aVULN
28	23253 63162	   	249.63	DCR|DCR|2VULN|1AART	1BELT|2AART|3LWND|4aVULN|5AEFBLL|6ASPD|7CGEN|89RCR
29	42523 32326	 * 	248.15	DCR|DCR|3DUR|1TLV|1AART	1AART|28CGEN|348DUR|5ERES|6TLV|78AEFRZ|8BPWR|9aRCR
30	21424 12783	 * 	247.70	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1BELT|2MBVNT|39VULN|4TLV|59DMG|6AART|7BOSS|89DUR|9BPWR|aRCR
31	36448 31523	   	246.69	DCR|DCR|1TLV|1MLV|1DUR|1AART	1DUST|2MBVNT|3DUR|4ASPD|5TLV|68RCR|7AART|9LHND|aMLV
32	36448 31543	   	246.69	DCR|DCR|1TLV|1MLV|1DUR|1AART	1DUST|2MBVNT|3DUR|4ASPD|5TLV|68RCR|7AART|9BEXP|aMLV
33	16465 13313	   	245.54	DCR|DCR|1VULN|1MLV|2ASPD|1CDMG	1LWND|2MBVNT|3MLV|49ASPD|5CDMG|6VULN|7aRCR|8ERES
34	21426 24165	 * 	245.40	DCR|2VULN|3DUR|2DMG|1TLV	1BELT|2MBVNT|39VULN|4TLV|59aDUR|69DMG|7TBNT|8RCR|9BPWR
35	21424 24165	   	245.40	DCR|2VULN|3DUR|2DMG|1TLV	1BELT|2MBVNT|39VULN|4TLV|59DMG|69aDUR|7TBNT|8RCR|9BPWR
36	36448 31511	   	244.74	DCR|DCR|1TLV|1DUR|1AART|1CDMG	1DUST|2MBVNT|3DUR|4ASPD|5TLV|68RCR|7AART|9CDMG|aCGEN
37	36448 31512	   	244.74	DCR|DCR|1TLV|1DUR|1AART|1CDMG	1DUST|2MBVNT|3DUR|4ASPD|5TLV|68RCR|7AART|9CDMG|aZMB
38	36448 31514	   	244.74	DCR|DCR|1TLV|1DUR|1AART|1CDMG	1DUST|2MBVNT|3DUR|4ASPD|5TLV|68RCR|7AART|9CDMG|aRAT
39	36448 31513	   	244.64	DCR|DCR|1TLV|1DUR|1AART|1CDMG	1DUST|2MBVNT|3DUR|4ASPD|5TLV|68RCR|7AART|9CDMG|aAEFBLL
40	22322 62241	 * 	244.44	ACR|DCR|1VULN|1FLTARM|1DMG|1MLV|1AART	1BELT|2AEFBLL|3DMSP|4FLTARM|57RCR|6VULN|8MLV|9DMG|aAART
41	22322 62243	   	244.44	ACR|DCR|1VULN|1FLTARM|1DMG|1MLV|1DUR	1BELT|2AEFBLL|3DMSP|4FLTARM|57RCR|6VULN|8MLV|9DMG|aDUR
42	36411 31521	   	244.21	DCR|DCR|1TLV|1DMG|1DUR|1AART	1DUST|2MBVNT|3DUR|4TLV|5ZMB|68RCR|7AART|9LHND|aDMG
43	36411 31541	   	244.21	DCR|DCR|1TLV|1DMG|1DUR|1AART	1DUST|2MBVNT|3DUR|4TLV|5ZMB|68RCR|7AART|9BEXP|aDMG
