0	Index      	 *	Score 	Summary	Detail	
1	21252 24226	 * 	284.39	ACR|DCR|2VULN|1TLV|1DMG|1MLV|1AART|1CDMG	1CDMG|29RCR|3AART|4RPLT|5DMG|6MLV|7aVULN|8TLV
2	21252 15326	 * 	264.72	ACR|DCR|3VULN|1DMG|1AART|1CDMG	1CDMG|29RCR|3AART|4RPLT|5DMG|6LWND|78aVULN
3	23245 22333	 * 	258.94	DCR|DCR|2VULN|1MSLTOX|1CDMG	1CDMG|2BEXP|3RCVC|4BBNT|5LIT|67RCR|8MSLTOX|9aVULN
4	23345 22333	   	258.94	DCR|DCR|2VULN|1MSLTOX|1CDMG	1CDMG|23BEXP|4BBNT|5LIT|67RCR|8MSLTOX|9aVULN
5	61636 22322	 * 	258.84	DCR|DCR|1VULN|1TLV|1MSLTOX|1CDMG	1DUST|24BOSS|3TBNT|5CDMG|67RCR|8MSLTOX|9TLV|aVULN
6	61156 22322	   	258.74	DCR|DCR|1VULN|1TLV|1MSLTOX|1CDMG	1DUST|2BOSS|3AEFBLL|4BBNT|5CDMG|67RCR|8MSLTOX|9TLV|aVULN
7	61256 22322	   	258.74	DCR|DCR|1VULN|1TLV|1MSLTOX|1CDMG	13DUST|2BOSS|4BBNT|5CDMG|67RCR|8MSLTOX|9TLV|aVULN
8	61616 22322	   	258.74	DCR|DCR|1VULN|1TLV|1MSLTOX|1CDMG	14DUST|2BOSS|3TBNT|4BPWR|5CDMG|67RCR|8MSLTOX|9TLV|aVULN
9	21252 24221	   	258.19	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1AART|1CDMG	1CDMG|29RCR|3AART|4RPLT|5DMG|6MLV|7VULN|8TLV|aDMSP
10	21252 24223	   	258.19	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1CDMG|1AART	1CDMG|29RCR|3AART|4RPLT|5DMG|6MLV|7VULN|8TLV|aBOSS
11	21252 24225	   	258.19	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1AART|1CDMG	1CDMG|29RCR|3AART|4RPLT|5DMG|6MLV|7VULN|8TLV|aBELT
12	21252 24222	   	258.09	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1AART|1CDMG|1MSE	1CDMG|29RCR|3AART|4RPLT|5DMG|6MLV|7VULN|8TLV|aMSE
13	21252 24224	   	258.09	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1AART|1CDMG	1CDMG|29RCR|3AART|4RPLT|5DMG|6MLV|7VULN|8TLV|aAEWIND
14	22341 12242	 * 	256.34	DCR|DCR|1VULN|1FLTARM|1DUR|1CDMG	1CDMG|2VULN|3BEXP|4DUR|5LHND|6FLTARM|7LWND|8TBNT|9aRCR
15	22341 12442	   	256.34	DCR|DCR|1VULN|1FLTARM|1DUR|1CDMG	1CDMG|2VULN|3BEXP|4DUR|5LHND|6FLTARM|7LWND|8BBNT|9aRCR
16	43562 21323	   	256.24	DCR|DCR|1VULN|1TLV|1CDMG|1DUR	12LIT|3CDMG|45ERES|68RCR|7TLV|9VULN|aDUR
17	55311 31522	   	256.04	DCR|DCR|2VULN|1DUR|1CDMG	1TBNT|26VULN|3MSLFST|4DUR|5MDPS|7aRCR|8LEGI|9CDMG
18	21245 52233	 * 	254.94	ACR|DCR|1VULN|2AART|1TLV|1DMG|1CDMG	1CDMG|29RCR|38AART|4TSLFST|5DMG|6TLV|7RMIN|aVULN
19	21232 31233	   	254.94	ACR|DCR|1VULN|2AART|1TLV|1DMG|1CDMG	1CDMG|29RCR|37AART|4CGEN|5DMG|6TSLFST|8TLV|aVULN
20	21232 61233	   	254.94	ACR|DCR|1VULN|2AART|1TLV|1DMG|1CDMG	1CDMG|29RCR|37AART|4CGEN|5DMG|6MSLFST|8TLV|aVULN
21	21245 16233	   	254.84	ACR|DCR|1VULN|2AART|1TLV|1DMG|1CDMG	1CDMG|29RCR|36AART|4TSLFST|5DMG|7AME|8TLV|aVULN
