0	Index      	 *	Score 	Summary	Detail	
1	63136 33632	 * 	231.20	ACR|3ASPD|1BASARM|2BEXP|1DMG	1LHND|2RMIN|369ASPD|46BEXP|5RCR|6BPWR|7DUST|8DMG|aBASARM
2	32234 25313	 * 	213.69	ACR|1BASARM|2DMG|2BEXP|1AAC	19AME|2RMIN|3RCR|49BEXP|5CGEN|6BASARM|7MDPS|89DMG|9BPWR|aAAC
3	33215 25241	 * 	207.60	ACR|2BASARM|2VULN|1DMG|1AART	1AME|29ZMB|3RCR|4TLV|5FEWX|69BASARM|7DMG|89VULN|9BPWR|aAART
4	12244 21422	   	206.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1TLV|2RMIN|3RCR|4BEXP|5CGEN|6BASARM|7CDMG|8VENTOX|9ASPD|aDMG
5	13244 21422	   	206.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1TLV|2ZMB|3RCR|4BEXP|5CGEN|6BASARM|7CDMG|8VENTOX|9ASPD|aDMG
6	32234 21422	   	206.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AME|2RMIN|3RCR|4BEXP|5CGEN|6BASARM|7CDMG|8VENTOX|9ASPD|aDMG
7	33234 21422	   	206.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AME|2ZMB|3RCR|4BEXP|5CGEN|6BASARM|7CDMG|8VENTOX|9ASPD|aDMG
8	12244 25311	   	205.38	ACR|1BASARM|2DMG|2BEXP	19TLV|2RMIN|3RCR|49BEXP|5CGEN|6BASARM|7MDPS|89DMG|9BPWR|aDUR
9	12244 25313	   	205.38	ACR|1BASARM|2DMG|2BEXP	19TLV|2RMIN|3RCR|49BEXP|5CGEN|6BASARM|7MDPS|89DMG|9BPWR|aZMB
10	32234 25311	   	205.38	ACR|1BASARM|2DMG|2BEXP	19AME|2RMIN|3RCR|49BEXP|5CGEN|6BASARM|7MDPS|89DMG|9BPWR|aDUR
11	32234 25314	   	205.38	ACR|1BASARM|2DMG|2BEXP	19AME|2RMIN|3RCR|49BEXP|5CGEN|6BASARM|7MDPS|89DMG|9BPWR|aLWND
12	32234 25315	   	205.38	ACR|1BASARM|2DMG|2BEXP	19AME|2RMIN|3RCR|49BEXP|5CGEN|6BASARM|7MDPS|89DMG|9BPWR|aMLV
13	32234 25316	   	205.38	ACR|1BASARM|2DMG|2BEXP	19AME|2RMIN|3RCR|49BEXP|5CGEN|6BASARM|7MDPS|89DMG|9BPWR|aFEWX
14	12244 25312	   	205.28	ACR|1BASARM|2DMG|2BEXP	19aTLV|2RMIN|3RCR|49BEXP|5CGEN|6BASARM|7MDPS|89DMG|9BPWR
15	32234 25312	   	205.28	ACR|1BASARM|2DMG|2BEXP	19AME|2RMIN|3RCR|49BEXP|5CGEN|6BASARM|7MDPS|89DMG|9BPWR|aTLV
16	41353 31613	 * 	202.71	ACR|3DMG|1BASARM|2VULN	18VULN|2RPLT|368DMG|48CGEN|5RCR|7RMIN|8BPWR|9AIRHEL|aBASARM
17	33215 25325	 * 	202.48	ACR|2BASARM|2BEXP|1DMG	1AME|2aZMB|3RCR|4TLV|5FEWX|6aBASARM|7DMG|8RCVC|9aBEXP|aBPWR
18	26234 52323	   	201.54	ACR|1BASARM|2BEXP|1ASPD|1CDMG	12DUR|2BPWR|3RCR|46BEXP|57CGEN|8BASARM|9CDMG|aASPD
19	26234 63323	   	201.54	ACR|1BASARM|2BEXP|1ASPD|1CDMG	12DUR|2BPWR|3RCR|47BEXP|56CGEN|8BASARM|9CDMG|aASPD
20	66234 13323	   	201.54	ACR|1BASARM|2BEXP|1ASPD|1CDMG	126LHND|2BPWR|3RCR|47BEXP|5CGEN|8BASARM|9CDMG|aASPD
21	12244 22223	   	201.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1TLV|2RMIN|3RCR|47BEXP|58CGEN|6BASARM|9CDMG|aASPD
22	13244 22223	   	201.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1TLV|2ZMB|3RCR|47BEXP|58CGEN|6BASARM|9CDMG|aASPD
23	32234 22223	   	201.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1AME|2RMIN|3RCR|47BEXP|58CGEN|6BASARM|9CDMG|aASPD
24	33234 22223	   	201.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1AME|2ZMB|3RCR|47BEXP|58CGEN|6BASARM|9CDMG|aASPD
25	12244 21134	   	201.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1TLV|2RMIN|3RCR|4aBEXP|5CGEN|6BASARM|7CDMG|8AME|9DMG
26	13244 21134	   	201.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1TLV|2ZMB|3RCR|4aBEXP|5CGEN|6BASARM|7CDMG|8AME|9DMG
27	32234 21134	   	201.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1AME|2RMIN|3RCR|4aBEXP|5CGEN|6BASARM|7CDMG|8TLV|9DMG
28	32234 21164	   	201.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1AME|2RMIN|3RCR|4aBEXP|5CGEN|6BASARM|7CDMG|8TLV|9ASPD
29	33234 21134	   	201.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1AME|2ZMB|3RCR|4aBEXP|5CGEN|6BASARM|7CDMG|8TLV|9DMG
30	33234 21164	   	201.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1AME|2ZMB|3RCR|4aBEXP|5CGEN|6BASARM|7CDMG|8TLV|9ASPD
