0	Index      	 *	Score 	Summary	Detail	
1	21522 31636	 * 	211.82	ACR|1BASARM|2BEXP|1DMG|1VULN|1AAC|1SELL	1SELL|26LHND|3RCR|4RPLT|56BEXP|6BPWR|7AAC|8BASARM|9VULN|aDMG
2	21512 31636	 * 	211.53	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4BEXP|5FEWX|6CDMG|7AAC|8BASARM|9VULN|aDMG
3	21533 31636	 * 	211.43	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4DUST|5BEXP|6CDMG|7AAC|8BASARM|9VULN|aDMG
4	21513 61622	 * 	207.74	ACR|1BASARM|2ASPD|2BEXP|1SELL	1SELL|29LHND|3RCR|45BEXP|6RCVC|79AEMAG|89ASPD|9BPWR|aBASARM
5	21513 26163	 * 	207.61	ACR|1BASARM|2BEXP|1ASPD|1DMG|1SELL	1SELL|2LHND|3RCR|45BEXP|6DUST|7BASARM|8BELT|9ASPD|aDMG
6	34252 31143	 * 	207.48	ACR|2BEXP|1ASPD|1DMG|1AART|1VULN|1CDMG	12BEXP|3AEMAG|4RCR|5AART|6CDMG|7DMG|8FEWX|9ASPD|aVULN
7	12134 31636	 * 	206.68	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG|1AAC	1AEMAG|2LHND|3RPLT|4RCR|5CDMG|6BEXP|7AAC|8BASARM|9VULN|aDMG
8	21513 62122	 * 	205.92	ACR|1BASARM|2BEXP|1VULN|1ASPD|1SELL	1SELL|27LHND|3RCR|45BEXP|6RCVC|8VULN|9ASPD|aBASARM
9	21513 61122	 * 	205.82	ACR|1BASARM|2BEXP|1VULN|1ASPD|1SELL	1SELL|2LHND|3RCR|45BEXP|6RCVC|7AEMAG|8VULN|9ASPD|aBASARM
10	21512 31635	 * 	205.31	ACR|1BASARM|2BEXP|1VULN|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4aBEXP|5FEWX|6CDMG|7AAC|8BASARM|9VULN
11	21533 31635	 * 	205.21	ACR|1BASARM|2BEXP|1VULN|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4DUST|5aBEXP|6CDMG|7AAC|8BASARM|9VULN
12	12131 66124	 * 	205.13	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG|1SELL	1AEMAG|2LHND|3RPLT|4RCR|5SELL|6AART|7VULN|8CDMG|9DMG|aBASARM
13	13284 28314	 * 	203.99	ACR|1BASARM|2VULN|2BEXP|1DMG	13AEMAG|2MBVNT|46BEXP|5RCR|6BPWR|7DMG|89VULN|aBASARM
14	14234 28314	   	203.99	ACR|1BASARM|2VULN|2BEXP|1DMG	13AEMAG|26BEXP|4MBVNT|5RCR|6BPWR|7DMG|89VULN|aBASARM
15	45234 28314	   	203.99	ACR|1BASARM|2VULN|2BEXP|1DMG	1TLV|26BEXP|36ERES|4MBVNT|5RCR|6BPWR|7DMG|89VULN|aBASARM
16	46334 28314	   	203.99	ACR|1BASARM|2VULN|2BEXP|1DMG	1TLV|26ERES|36BEXP|4MBVNT|5RCR|6BPWR|7DMG|89VULN|aBASARM
17	34252 34212	 * 	203.87	ACR|2AART|2BEXP|1ASPD|1VULN|1CDMG	12BEXP|3AEMAG|4RCR|58AART|6CDMG|7ASPD|9LHND|aVULN
18	32234 34125	 * 	203.46	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG|1AAC	1BEXP|2CGEN|3ERES|4MBVNT|5RCR|6AART|7AAC|8CDMG|9ASPD|aBASARM
19	32324 43342	 * 	203.27	ACR|2ASPD|2BEXP|1DMG|1VULN|1AART|1SELL	17BEXP|2CGEN|39ASPD|4SELL|5RCR|6DMG|8AART|aVULN
20	21513 26242	 * 	203.20	ACR|1BASARM|2BEXP|1DMG|1AART|1SELL	1SELL|2LHND|3RCR|45BEXP|6DUST|7BASARM|8FEWX|9AART|aDMG
21	43133 36141	 * 	203.17	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1TLV|2AME|3RPLT|4RCR|5MSLFST|6CDMG|7VULN|8AART|9BASARM|aASPD
22	34252 31211	 * 	203.17	ACR|2AART|2BEXP|1ASPD|1DMG|1CDMG	12BEXP|3AEMAG|4RCR|58AART|6CDMG|7DMG|9LHND|aASPD
23	21523 42124	 * 	202.78	ACR|1BASARM|1VULN|2CDMG|1AART|1AAC|1SELL	1SELL|2LHND|3RCR|4RPLT|5VULN|6AAC|79CDMG|8AART|aBASARM
24	21513 26162	 * 	202.20	ACR|1BASARM|2BEXP|1ASPD|1AART|1SELL	1SELL|2LHND|3RCR|45BEXP|6DUST|7BASARM|8BELT|9ASPD|aAART
25	21522 31635	 * 	202.02	ACR|1BASARM|3BEXP|1VULN|1AAC|1SELL	1SELL|26LHND|3RCR|4RPLT|56aBEXP|6BPWR|7AAC|8BASARM|9VULN
26	34252 34211	 * 	200.69	ACR|2ASPD|2AART|2BEXP|1CDMG	12BEXP|3AEMAG|4RCR|58AART|6CDMG|7aASPD|9LHND
27	34253 16211	   	200.45	ACR|1BASARM|2BEXP|1VULN|1CDMG|1AAC	12BEXP|3AEMAG|4RCR|5VULN|6LWND|7CDMG|8AAC|9RMIN|aBASARM
28	12134 31635	   	200.45	ACR|1BASARM|2BEXP|1VULN|1CDMG|1AAC	1AEMAG|2LHND|3RPLT|4RCR|5CDMG|6aBEXP|7AAC|8BASARM|9VULN
29	34252 32412	 * 	200.05	ACR|2VULN|2BEXP|1DMG|1AART|1CDMG	12BEXP|3AEMAG|4RCR|5AART|6CDMG|7LIT|8DMG|9aVULN
30	43131 61124	   	199.91	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG|1SELL	1TLV|2AME|3RPLT|4RCR|5SELL|6AART|7BEXP|8CDMG|9ASPD|aBASARM
31	32324 43341	 * 	199.16	ACR|3ASPD|2BEXP|1DMG|1AART|1SELL	17BEXP|2CGEN|39aASPD|4SELL|5RCR|6DMG|8AART
32	21514 33243	   	198.99	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|46BEXP|5CDMG|7VULN|8ASPD|9AAC|aDMG
33	32324 22486	 * 	197.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1SELL	1aBEXP|2CGEN|3ASPD|4SELL|5RCR|6DUST|7MBVNT|8DMG|9BASARM
34	21533 31611	 * 	197.29	ACR|1BASARM|2BEXP|2AAC|1CDMG|1SELL	1SELL|2LHND|3RCR|4DUST|5aBEXP|6CDMG|79AAC|8BASARM
