0	Index      	 *	Score 	Summary	Detail	
1	62111 32265	 * 	231.80	ACR|1BASARM|3BEXP|2DMG|1AART|1AAC	129BEXP|3AAC|4ERES|5RCR|69DMG|79LWND|8AART|9BPWR|aBASARM
2	62111 53335	   	216.02	ACR|1BASARM|3BEXP|1DMG|1AART|1AAC	129BEXP|3AAC|4ERES|5RCR|6AART|7LWND|8DMG|aBASARM
3	62111 43335	   	215.02	ACR|1BASARM|3BEXP|1DMG|1AART|1AAC	129BEXP|3AAC|4ERES|5RCR|6LHND|7AART|8DMG|aBASARM
4	62111 32235	   	214.02	ACR|1BASARM|3BEXP|1DMG|1AART|1AAC	129BEXP|3AAC|4ERES|5RCR|6DMG|7LWND|8AART|aBASARM
5	62111 33515	   	214.02	ACR|1BASARM|3BEXP|1DMG|1AART|1AAC	127BEXP|3AAC|4ERES|5RCR|6DMG|8AART|9FEWX|aBASARM
6	62111 36235	   	214.02	ACR|1BASARM|3BEXP|1DMG|1AART|1AAC	129BEXP|3AAC|4ERES|5RCR|6DMG|7LHND|8AART|aBASARM
7	62111 33535	   	213.92	ACR|1BASARM|3BEXP|1DMG|1AART|1AAC	127BEXP|3AAC|4ERES|5RCR|6DMG|8AART|9DUST|aBASARM
8	62111 54321	 * 	207.31	ACR|2DMG|2BEXP|1VULN|1AART|1CDMG|1AAC	12BEXP|3AAC|4ERES|5RCR|6AART|78DMG|9VULN|aCDMG
9	62111 23652	 * 	206.06	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AAC	12BEXP|3AAC|46ERES|5RCR|7DMSP|8ASPD|9DMG|aBASARM
10	62111 54331	 * 	205.23	ACR|3BEXP|2DMG|1ASPD|1AART|1AAC	129BEXP|3AAC|4ERES|5RCR|6AART|78DMG|aASPD
11	62111 53363	 * 	204.13	ACR|3BEXP|2DMG|1AART|1VULN|1AAC	129BEXP|3AAC|4ERES|5RCR|6AART|79LWND|89DMG|9BPWR|aVULN
12	62111 43363	   	203.13	ACR|3BEXP|2DMG|1VULN|1AART|1AAC	129BEXP|3AAC|4ERES|5RCR|69LHND|7AART|89DMG|9BPWR|aVULN
13	62111 32263	   	202.13	ACR|3BEXP|2DMG|1VULN|1AART|1AAC	129BEXP|3AAC|4ERES|5RCR|69DMG|79LWND|8AART|9BPWR|aVULN
14	62111 36263	   	202.13	ACR|3BEXP|2DMG|1VULN|1AART|1AAC	129BEXP|3AAC|4ERES|5RCR|69DMG|79LHND|8AART|9BPWR|aVULN
