0	Index      	 *	Score 	Summary	Detail	
1	14432 25231	 * 	245.13	ACR|3DMG|1BASARM|1VULN|1ASPD|1BEXP	157DMG|28LIT|3RCR|4ASPD|6VULN|9BEXP|aBASARM
2	14432 25121	   	231.48	ACR|3DMG|1BASARM|1VULN|1ASPD	157DMG|2LIT|3RCR|4ASPD|6VULN|89LHND|aBASARM
3	14432 25221	   	231.48	ACR|3DMG|1BASARM|1VULN|1ASPD	157DMG|28LIT|3RCR|4ASPD|6VULN|9LWND|aBASARM
4	14432 23361	   	228.47	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	15DMG|2LIT|3RCR|4ASPD|6VULN|7LWND|8BEXP|9DUR|aBASARM
5	14432 26231	   	228.47	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	15DMG|2LIT|3RCR|4ASPD|6VULN|7DUR|8LHND|9BEXP|aBASARM
6	14435 22221	 * 	228.47	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	1DMG|25LIT|3RCR|45ASPD|5BPWR|6VULN|7DUST|8BEXP|9LWND|aBASARM
7	14432 22221	   	228.37	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	15DMG|2LIT|3RCR|4ASPD|6VULN|7DUST|8BEXP|9LWND|aBASARM
8	14432 22261	   	228.37	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	15DMG|2LIT|3RCR|4ASPD|6VULN|7DUST|8BEXP|9LHND|aBASARM
9	14432 22631	   	228.37	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	15DMG|2LIT|3RCR|4ASPD|6VULN|7DUST|8FEWX|9BEXP|aBASARM
10	14432 23341	   	228.37	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	15DMG|2LIT|3RCR|4ASPD|6VULN|7LWND|8BEXP|9MBVNT|aBASARM
11	14432 23351	   	228.37	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	15DMG|2LIT|3RCR|4ASPD|6VULN|7LWND|8BEXP|9DUST|aBASARM
12	14432 26131	   	228.37	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	15DMG|2LIT|3RCR|4ASPD|6VULN|7DUR|8DUST|9BEXP|aBASARM
13	14432 22241	   	228.27	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	15DMG|2LIT|3RCR|4ASPD|6VULN|7DUST|8BEXP|9MBVNT|aBASARM
14	14432 11214	 * 	221.15	ACR|2VULN|2ASPD|2DMG|1AART	15DMG|2LIT|3RCR|4aASPD|6AART|78VULN|9MDPS
15	14432 11633	 * 	220.74	ACR|3DMG|2AART|1VULN|1ASPD	158DMG|2LIT|3RCR|4ASPD|6aAART|7VULN|9RCVC
16	14435 11213	 * 	219.11	ACR|2VULN|2ASPD|2AART|1DMG	1DMG|25LIT|3RCR|45ASPD|5BPWR|6aAART|78VULN|9MDPS
17	14432 11213	 * 	219.01	ACR|2VULN|2DMG|2AART|1ASPD	15DMG|2LIT|3RCR|4ASPD|6aAART|78VULN|9MDPS
