0	Index      	 *	Score 	Summary	Detail	
1	34345 31231	 * 	260.17	ACR|2VULN|1BASARM|2ASPD|2BEXP|1AART	1RCR|27ASPD|38VULN|4AART|57DUR|67BEXP|7BPWR|9MLV|aBASARM
2	34346 31231	 * 	246.74	ACR|3VULN|1BASARM|2ASPD|1AART	1RCR|27ASPD|378VULN|4AART|5MDPS|6RCVC|7BPWR|9MLV|aBASARM
3	34143 63231	   	245.13	ACR|2VULN|1BASARM|2ASPD|1AART|1BEXP	1RCR|25ASPD|3LHND|4AART|6BEXP|78VULN|9MLV|aBASARM
4	32343 63131	   	245.03	ACR|2VULN|1BASARM|2ASPD|1AART|1BEXP	1RCR|2ERES|37VULN|4AART|56ASPD|8FEWX|9BEXP|aBASARM
5	34342 63131	   	245.03	ACR|2VULN|1BASARM|2ASPD|1AART|1BEXP	1RCR|26ASPD|37VULN|4AART|5AME|8FEWX|9BEXP|aBASARM
6	34343 21361	 * 	243.26	ACR|3ASPD|2VULN|2DMG|1AART	1RCR|257ASPD|3aVULN|4AART|6aLIT|8MDPS|9aDMG|aBPWR
7	33643 43213	   	241.35	ACR|2VULN|2ASPD|2DMG|1AART|1CDMG	1RCR|28LHND|36DMG|4AART|58ASPD|78VULN|8BPWR|9DMSP|aCDMG
8	33643 43212	 * 	240.34	ACR|3VULN|2ASPD|2DMG|1AART	1RCR|28LHND|36DMG|4AART|58ASPD|78aVULN|8BPWR|9DMSP
9	33643 43232	   	240.24	ACR|3VULN|2ASPD|2DMG|1AART	1RCR|28LHND|36DMG|4AART|58ASPD|78aVULN|8BPWR|9ERES
10	32343 63312	   	240.04	ACR|3VULN|2DMG|2ASPD|1AART	1RCR|2ERES|379VULN|4AART|56ASPD|8aDMG
11	34342 63312	   	240.04	ACR|3VULN|2ASPD|2DMG|1AART	1RCR|26ASPD|379VULN|4AART|5AME|8aDMG
12	34345 32231	   	240.03	ACR|2VULN|1BASARM|2BEXP|1ASPD|1AART	1RCR|2ASPD|38VULN|4AART|5DUR|67BEXP|9MLV|aBASARM
13	35322 53352	 * 	239.16	ACR|3BASARM|3BEXP|1AART	1RCR|27aBEXP|3LWND|47aLHND|5NUKE|67aBASARM|7aBPWR|8AART|9AAC
14	34451 32112	 * 	238.55	ACR|2VULN|3DMG|2ASPD|1BEXP	1RCR|28ASPD|3BEXP|48VULN|5DUST|69aDMG|78AME|8BPWR
15	33643 13252	 * 	238.51	ACR|3VULN|3ASPD|1DMG|1AART	1RCR|29aLHND|3DMG|4AART|59aASPD|6DUST|7LWND|89aVULN|9aBPWR
16	33643 31351	 * 	238.24	ACR|1BASARM|2ASPD|1VULN|1DMG|1AART	1RCR|2LHND|3DMG|4AART|59ASPD|6VULN|7RMIN|8CGEN|aBASARM
17	33143 43351	   	238.14	ACR|1BASARM|2ASPD|1VULN|1DMG|1AART	1RCR|2LHND|3NUKE|4AART|59ASPD|6DMG|7VULN|8CGEN|aBASARM
18	35322 53422	 * 	237.49	ACR|2BASARM|3BEXP|1BASICY|1CDMG	1RCR|27aBEXP|3LWND|47LHND|5NUKE|67BASARM|7BPWR|8CDMG|9BASICY
19	35332 53423	   	237.49	ACR|2BASARM|3BEXP|1BASICY|1CDMG	1RCR|27aBEXP|3LWND|47DUR|5NUKE|67BASARM|7BPWR|8CDMG|9BASICY
20	36312 24632	   	236.86	ACR|1BASARM|2ASPD|1VULN|1DMG|1CDMG	1RCR|2ZMB|3VULN|4CGEN|5NUKE|69ASPD|7DMG|8BASARM|aCDMG
21	36332 24632	   	236.76	ACR|1BASARM|2ASPD|1VULN|1DMG|1CDMG	1RCR|2ZMB|3VULN|4ERES|5NUKE|69ASPD|7DMG|8BASARM|aCDMG
22	32331 24635	   	235.46	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	1RCR|24ERES|3VULN|5DUR|69ASPD|7DMG|8BASARM|aBEXP
23	32333 24635	   	235.36	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	1RCR|24ERES|3VULN|5DUST|69ASPD|7DMG|8BASARM|aBEXP
24	32332 34562	 * 	234.94	ACR|4VULN|1BASARM|2DMG	1RCR|245ERES|378aVULN|67DMG|7BPWR|9BASARM
25	31422 12332	 * 	234.36	ACR|1BASARM|2ASPD|2CDMG|1AART|1BEXP	1RCR|267DUR|37CDMG|47ASPD|5AART|7BPWR|8ERES|9BEXP|aBASARM
