0	Index      	 *	Score 	Summary	Detail	
1	54113 21352	 * 	203.59	DCR|2VULN|1BASARM|2ASPD|1AART|1BEXP	18ASPD|26VULN|3LIT|4AART|5BASARM|7DUST|9BEXP|aRCR
2	33151 45313	 * 	203.09	ACR|2ASPD|1VULN|1AART|1DMG|2CDMG	1LEGI|2AART|3aLWND|4RPLT|5RCR|6aASPD|7VULN|8DMG|9aCDMG|aBPWR
3	33525 23532	 * 	197.86	ACR|2DMG|2BEXP|1AART|1ASPD|1AAC	1LEGI|2AART|348ERES|48BPWR|5RCR|68BEXP|78DMG|9AAC|aASPD
4	33535 23532	   	197.86	ACR|2DMG|2BEXP|1AART|1ASPD|1AAC	1LEGI|2AART|348ERES|5RCR|68BEXP|78DMG|8BPWR|9AAC|aASPD
5	54113 62312	 * 	194.79	3ASPD|2VULN|1BASARM|2BEXP|1AART|1AAC	178ASPD|27VULN|3LIT|4AART|5BASARM|67BEXP|7BPWR|9AAC|aCGEN
6	54113 62313	   	194.79	3ASPD|2VULN|1BASARM|2BEXP|1AART|1AAC	178ASPD|27VULN|3LIT|4AART|5BASARM|67BEXP|7BPWR|9AAC|aDUR
7	33625 23622	 * 	190.64	ACR|1AART|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1LEGI|2AART|34MLV|4BPWR|5RCR|6BEXP|7DMG|8ASPD|9CDMG|aVULN
8	54112 31412	 * 	190.08	2VULN|1BASARM|2AART|2ASPD|2BEXP	19ASPD|29VULN|3LIT|46AART|5DUST|7MDPS|89BEXP|9BPWR|aBASARM
9	54113 31352	   	189.96	DCR|1BASARM|2ASPD|1VULN|1AART|1BEXP	18ASPD|2VULN|36LIT|4AART|5BASARM|7DUST|9BEXP|aRCR
10	54113 53222	   	189.96	DCR|1BASARM|2ASPD|1VULN|1AART|1BEXP	16ASPD|2VULN|3LIT|4AART|5BASARM|7RMIN|8ERES|9BEXP|aRCR
11	54113 21342	   	189.94	DCR|2VULN|1BASARM|2ASPD|1AART	18ASPD|26VULN|3LIT|4AART|5BASARM|7DUST|9FEWX|aRCR
12	33151 43245	 * 	189.62	ACR|1BASARM|1AART|1ASPD|1VULN	1LEGI|2AART|3LWND|4RPLT|5RCR|6ASPD|7MBVNT|8DUR|9BASARM|aVULN
13	33151 43345	   	189.62	ACR|1BASARM|1AART|1ASPD|1VULN	1LEGI|2AART|3LWND|4RPLT|5RCR|6ASPD|7MBVNT|8FEWX|9BASARM|aVULN
14	33625 23522	 * 	188.56	ACR|2DMG|2BEXP|1AART|1VULN	1LEGI|2AART|348MLV|48BPWR|5RCR|68BEXP|78DMG|9VULN|aBELT
15	33625 23521	   	188.46	ACR|2DMG|2BEXP|1AART|1VULN	1LEGI|2AART|348MLV|48BPWR|5RCR|68BEXP|78DMG|9VULN|aERES
16	33625 23523	   	188.46	ACR|2DMG|2BEXP|1AART|1VULN	1LEGI|2AART|348MLV|48BPWR|5RCR|68BEXP|78DMG|9VULN|aDUST
17	33625 23352	   	188.36	ACR|2DMG|2BEXP|1VULN|1AART	1LEGI|2AART|34MLV|4BPWR|5RCR|69BEXP|7aDMG|8VULN
18	54113 11522	 * 	187.83	DCR|1BASARM|2AART|1VULN|1ASPD|1BEXP	1ASPD|2VULN|3LIT|49AART|5BASARM|6VENFST|7CGEN|8BEXP|aRCR
19	33645 33222	 * 	186.81	ACR|3VULN|2DMG|1AART	1LEGI|2AART|36aMLV|4RCVC|5RCR|7aDMG|89aVULN|aBPWR
20	54113 62322	   	186.48	3ASPD|2VULN|1BASARM|2BEXP|1AART	178ASPD|27VULN|3LIT|4AART|5BASARM|67BEXP|7BPWR|9aLHND
21	54113 62331	   	186.48	3ASPD|2VULN|1BASARM|2BEXP|1AART	178ASPD|27VULN|3LIT|4AART|5BASARM|67BEXP|7BPWR|9FEWX|aLHND
22	54113 62333	   	186.48	3ASPD|2VULN|1BASARM|2BEXP|1AART	178ASPD|27VULN|3LIT|4AART|5BASARM|67BEXP|7BPWR|9FEWX|aMLV
23	54113 62321	   	186.38	3ASPD|2VULN|1BASARM|2BEXP|1AART	178ASPD|27VULN|3LIT|4AART|5BASARM|67BEXP|7BPWR|9LHND|aLEGI
