0	Index      	 *	Score 	Summary	Detail	
1	32224 53511	 * 	210.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1RMIN	1RMIN|2AART|3LIT|4AME|5CDMG|6RCR|7aVULN|8ASPD|9DMG
2	32412 23431	 * 	208.49	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5DUR|69DMG|7RCR|8VULN|aASPD
3	32413 63531	   	208.49	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5VULN|69DMG|7RCR|8DUR|aASPD
4	12213 61145	 * 	207.95	DCR|2AART|2ASPD|1VULN|1DMG|1ZMB	1FEWX|2aASPD|3LHND|45AART|6RCR|7ZMB|8DMG|9VULN
5	32412 23451	   	207.47	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5DUR|6DMG|7RCR|8aVULN|9CDMG
6	36142 53232	 * 	205.11	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG|1DUR|1RMIN	1RMIN|28MLV|38VULN|4ASPD|5CDMG|6MDPS|78DMG|8BPWR|9DUR|aRCR
7	12615 13253	 * 	205.10	DCR|3VULN|3ASPD|1DMG	19FEWX|269ASPD|3LIT|4AME|579VULN|8RCR|9BPWR|aDMG
8	31213 65125	   	204.45	DCR|2AART|2ASPD|1VULN|1DMG|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|79ASPD|8DMG|aVULN
9	12213 62431	 * 	203.78	DCR|2VULN|2AART|1ASPD|1DMG	1FEWX|2ASPD|3LHND|45AART|6RCR|7aVULN|8LWND|9DMG
10	12213 65231	   	203.68	DCR|2VULN|2AART|1ASPD|1DMG	1FEWX|2ASPD|3LHND|45AART|6RCR|7DMG|8DUST|9aVULN
11	32413 63411	   	202.97	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1RMIN	1RMIN|2AART|3ZMB|4RPLT|58VULN|6DMG|7RCR|9BEXP|aASPD
12	32413 63431	   	202.97	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1RMIN	1RMIN|2AART|3ZMB|4RPLT|58VULN|6DMG|7RCR|9LHND|aASPD
13	52121 36623	   	201.97	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1ERES|2AELBLL|3DUR|47VULN|59DMG|6CDMG|8RCR|aASPD
14	12213 61123	 * 	201.76	DCR|2AART|2DMG|2ASPD|1ZMB	1FEWX|29ASPD|3LHND|45AART|6RCR|7ZMB|8aDMG
