0	Index      	 *	Score 	Summary	Detail	
1	52124 15331	 * 	218.99	DCR|1SPLARM|2VULN|1MDPS|1ASPD|1DMG|1CDMG	13VULN|23MLV|3BPWR|4TLV|5DMG|6ASPD|7CDMG|8RCR|9SPLARM|aMDPS
2	52112 34124	 * 	215.39	DCR|4VULN|2DMG|1ASPD	138aVULN|23aMLV|3aBPWR|4LWND|5ASPD|6RCR|7MBVNT|9aDMG
3	53612 34124	   	215.09	DCR|4VULN|2DMG|1ASPD	128aVULN|3aERES|4LWND|5ASPD|6RCR|7MBVNT|9aDMG|aBPWR
4	52112 34724	 * 	213.76	DCR|3VULN|2DMG|2ASPD	13aVULN|23aMLV|3aBPWR|4LWND|58ASPD|6RCR|7MBVNT|9aDMG
5	52153 15333	 * 	211.69	DCR|3VULN|2DMG|1ASPD|1CDMG	139VULN|23MLV|3BPWR|4ASPD|5CGEN|6aDMG|7CDMG|8RCR
6	53231 31354	 * 	210.08	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	12VULN|3LHND|4LIT|5DUR|68AART|7RCR|9DMG|aASPD
7	52112 31313	 * 	209.72	DCR|4VULN|1AART|1ASPD|1DUR	139aVULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7DUR|8AART
8	52155 31313	   	209.72	DCR|4VULN|1AART|1ASPD|1DUR	139aVULN|23MLV|3BPWR|4ASPD|5LWND|6RCR|7DUR|8AART
9	52112 31123	   	207.75	DCR|3VULN|2DMG|1ASPD|1DUR	138VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7DUR|9aDMG
10	52155 31123	   	207.75	DCR|3VULN|2DMG|1ASPD|1DUR	138VULN|23MLV|3BPWR|4ASPD|5LWND|6RCR|7DUR|9aDMG
11	53612 31123	   	207.55	DCR|3VULN|2DMG|1ASPD|1DUR	128VULN|3ERES|4LWND|5ASPD|6RCR|7DUR|9aDMG
12	32125 42326	 * 	206.72	DCR|3VULN|3ASPD|1AART	1DMSP|24AELBLL|345VULN|4BPWR|68aASPD|7AART|9RCR
13	53321 35511	 * 	205.28	DCR|4VULN|2DMG|1CDMG	126aVULN|3LIT|4AIRARM|56DMG|6BPWR|7MBVNT|8CDMG|9RCR
14	52153 11321	 * 	204.36	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	13VULN|23MLV|3BPWR|4ASPD|5CGEN|6DMG|7DUR|8AART|9CDMG|aRCR
15	52164 11321	   	204.36	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	13VULN|23MLV|3BPWR|4CGEN|5DMG|6ASPD|7DUR|8AART|9CDMG|aRCR
16	52112 31315	   	204.21	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	139VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7DUR|8AART|aZMB
17	52112 31623	   	204.14	DCR|2VULN|2DMG|2ASPD|1DUR	13VULN|23MLV|3BPWR|4LWND|58ASPD|6RCR|7DUR|9aDMG
18	53612 31315	   	204.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	129VULN|3ERES|4LWND|5ASPD|6RCR|7DUR|8AART|aZMB
19	53612 31623	   	203.94	DCR|2VULN|2DMG|2ASPD|1DUR	12VULN|3ERES|4LWND|58ASPD|6RCR|7DUR|9aDMG
20	52112 55333	   	203.72	DCR|4VULN|1AART|1ASPD|1DUR	137aVULN|23MLV|3BPWR|4LWND|5ASPD|6DUR|8AART|9RCR
21	52112 61333	   	203.72	DCR|4VULN|1AART|1ASPD|1DUR	136aVULN|23MLV|3BPWR|4LWND|5ASPD|7DUR|8AART|9RCR
22	52132 25333	   	203.72	DCR|4VULN|1AART|1ASPD|1DUR	137aVULN|23MLV|3BPWR|4DUR|5ASPD|6LWND|8AART|9RCR
23	52156 31133	   	203.72	DCR|4VULN|1AART|1ASPD|1DUR	136aVULN|23MLV|3BPWR|4ASPD|5FEWX|7AART|8DUR|9RCR
24	52132 65333	   	203.62	DCR|4VULN|1AART|1ASPD|1DUR	137aVULN|23MLV|3BPWR|4DUR|5ASPD|6DUST|8AART|9RCR
25	52152 31133	   	203.62	DCR|4VULN|1AART|1ASPD|1DUR	136aVULN|23MLV|3BPWR|4ASPD|5DUST|7AART|8DUR|9RCR
26	53123 11133	   	203.62	DCR|4VULN|1AART|1ASPD|1DUR	125aVULN|3BEXP|4MLV|6ASPD|7AART|8DUR|9RCR
27	53123 21133	 * 	203.62	DCR|4VULN|1AART|1DMG|1DUR	125aVULN|3BEXP|4MLV|6DMG|7AART|8DUR|9RCR
28	52133 63332	   	203.55	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	136VULN|235MLV|36BPWR|46DUR|7DMG|8AART|9RCR|aZMB
29	52133 66332	   	203.55	DCR|3VULN|1AART|1ASPD|2DUR|1ZMB	136VULN|235MLV|36BPWR|46DUR|7ASPD|8AART|9RCR|aZMB
30	51612 34124	   	202.98	DCR|3VULN|2DMG|1ASPD	18aVULN|2RCVC|3aERES|4LWND|5ASPD|6RCR|7MBVNT|9aDMG|aBPWR
31	52512 34124	   	202.75	DCR|3VULN|2DMG|1ASPD	18aVULN|2aMLV|3RCVC|4LWND|5ASPD|6RCR|7MBVNT|9aDMG|aBPWR
32	53526 13223	 * 	202.55	DCR|3VULN|1MDPS|2DMG|1ASPD	124VULN|3RCVC|4BPWR|5AME|6RCR|7MDPS|8ASPD|9aDMG
33	53521 13223	   	202.45	DCR|3VULN|1MDPS|2DMG|1ASPD	124VULN|3RCVC|4BPWR|5ERES|6RCR|7MDPS|8ASPD|9aDMG
34	53113 11121	 * 	202.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	125VULN|3BEXP|4CGEN|6ASPD|7AART|8DUR|9CDMG|aRCR
35	53113 21121	 * 	202.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	125VULN|3BEXP|4CGEN|6DMG|7AART|8DUR|9CDMG|aRCR
36	53215 11321	   	202.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	125VULN|3LHND|4CGEN|6ASPD|7DUR|8AART|9CDMG|aRCR
37	53215 21321	   	202.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	125VULN|3LHND|4CGEN|6DMG|7DUR|8AART|9CDMG|aRCR
38	53215 43121	   	202.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	125VULN|3LHND|4CGEN|6AART|7DMG|8DUR|9CDMG|aRCR
39	53263 11321	   	202.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	124VULN|3LHND|5CGEN|6ASPD|7DUR|8AART|9CDMG|aRCR
40	53263 21321	   	202.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	124VULN|3LHND|5CGEN|6DMG|7DUR|8AART|9CDMG|aRCR
41	53263 43121	   	202.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	124VULN|3LHND|5CGEN|6AART|7DMG|8DUR|9CDMG|aRCR
42	52152 32316	   	201.91	DCR|4VULN|1ASPD|1DMG|1DUR	1367VULN|23MLV|3BPWR|4ASPD|5DUST|8RCR|9DUR|aDMG
43	53132 31354	   	201.78	DCR|2VULN|2AART|1ASPD|1DMG	12VULN|3BEXP|4LIT|5LHND|68AART|7RCR|9DMG|aASPD
44	52112 33313	   	201.42	DCR|4VULN|1AART|1ASPD	139aVULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7FEWX|8AART
45	52112 35343	   	201.42	DCR|4VULN|1AART|1ASPD	137aVULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|8AART|9FEWX
