0	Index      	 *	Score 	Summary	Detail	
1	11512 23532	 * 	237.04	DCR|2MDPS|3VULN|2DMG|2CDMG	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9aMDPS
2	11241 53622	 * 	235.64	DCR|5VULN|1AART|1ASPD|1DMG	1238aVULN|3BPWR|4LHND|5AART|6RCR|7ASPD|9DMG
3	12341 53622	   	235.64	DCR|5VULN|1AART|1ASPD|1DMG	1348aVULN|2LHND|5AART|6RCR|7ASPD|9DMG
4	11251 32434	 * 	229.07	DCR|5VULN|2DMG|2CDMG	12345VULN|35aBPWR|6MBVNT|7aCDMG|8RCR|9aDMG
5	11252 32434	   	229.07	DCR|5VULN|2DMG|2CDMG	12345VULN|3aBPWR|6MBVNT|7aCDMG|8RCR|9aDMG
6	11512 23541	 * 	228.11	DCR|3VULN|1SPLARM|2DMG|2CDMG	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9LHND|aSPLARM
7	11512 23551	   	228.11	DCR|3VULN|1SPLARM|2DMG|2CDMG	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9BEXP|aSPLARM
8	11512 23521	   	228.01	DCR|3VULN|1SPLARM|2DMG|2CDMG	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9DUST|aSPLARM
9	11241 53224	 * 	224.36	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	123VULN|3BPWR|4LHND|5AART|6RCR|7ASPD|8RCVC|9DMG|aMDPS
10	12311 53624	   	224.36	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	138VULN|24LHND|5AART|6RCR|7ASPD|9DMG|aMDPS
11	12341 53224	   	224.36	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	134VULN|2LHND|5AART|6RCR|7ASPD|8RCVC|9DMG|aMDPS
12	11251 32436	 * 	224.01	DCR|5VULN|1ASPD|1DMG|1CDMG	12345VULN|35BPWR|6MBVNT|7CDMG|8RCR|9DMG|aASPD
13	11252 32436	   	224.01	DCR|5VULN|1ASPD|1DMG|1CDMG	12345VULN|3BPWR|6MBVNT|7CDMG|8RCR|9DMG|aASPD
14	11231 55334	 * 	221.88	DCR|3VULN|2DMG|1MDPS|1AART	123VULN|3BPWR|4BEXP|5AART|6RCR|79DMG|8RMIN|aMDPS
15	11321 55334	   	221.88	DCR|3VULN|2DMG|1MDPS|1AART	124VULN|3LWND|5AART|6RCR|79DMG|8RMIN|aMDPS
16	21321 55334	   	221.88	DCR|3VULN|2DMG|1MDPS|1AART	1LWND|234VULN|5AART|6RCR|79DMG|8RMIN|aMDPS
17	11141 53622	   	221.38	DCR|4VULN|1AART|1ASPD|1DMG	128aVULN|3DMSP|4LHND|5AART|6RCR|7ASPD|9DMG
18	11151 24111	   	221.38	DCR|4VULN|1AART|1ASPD|1DMG	1245VULN|3DMSP|5BPWR|6RCR|7DMG|8ASPD|9AART|aLWND
19	11151 24112	   	221.38	DCR|4VULN|1AART|1ASPD|1DMG	1245VULN|3DMSP|5BPWR|6RCR|7DMG|8ASPD|9AART|aCGEN
20	11151 24113	   	221.38	DCR|4VULN|1AART|1ASPD|1DMG	1245VULN|3DMSP|5BPWR|6RCR|7DMG|8ASPD|9AART|aFEWX
21	11151 24153	   	221.38	DCR|4VULN|1AART|1ASPD|1DMG	1245VULN|3DMSP|5BPWR|6RCR|7DMG|8ASPD|9FEWX|aAART
22	11152 24111	   	221.38	DCR|4VULN|1AART|1ASPD|1DMG	1245VULN|3DMSP|6RCR|7DMG|8ASPD|9AART|aLWND
23	11152 24112	   	221.38	DCR|4VULN|1AART|1ASPD|1DMG	1245VULN|3DMSP|6RCR|7DMG|8ASPD|9AART|aCGEN
24	11152 24113	   	221.38	DCR|4VULN|1AART|1ASPD|1DMG	1245VULN|3DMSP|6RCR|7DMG|8ASPD|9AART|aFEWX
25	11152 24153	   	221.38	DCR|4VULN|1AART|1ASPD|1DMG	1245VULN|3DMSP|6RCR|7DMG|8ASPD|9FEWX|aAART
26	11241 53222	   	221.38	DCR|4VULN|1AART|1ASPD|1DMG	123aVULN|3BPWR|4LHND|5AART|6RCR|7ASPD|8RCVC|9DMG
27	11241 53623	   	221.38	DCR|4VULN|1AART|1ASPD|1DMG	1238VULN|3BPWR|4LHND|5AART|6RCR|7ASPD|9DMG|aFEWX
28	12311 53622	   	221.38	DCR|4VULN|1AART|1ASPD|1DMG	138aVULN|24LHND|5AART|6RCR|7ASPD|9DMG
29	12341 53222	   	221.38	DCR|4VULN|1AART|1ASPD|1DMG	134aVULN|2LHND|5AART|6RCR|7ASPD|8RCVC|9DMG
30	12341 53623	   	221.38	DCR|4VULN|1AART|1ASPD|1DMG	1348VULN|2LHND|5AART|6RCR|7ASPD|9DMG|aFEWX
31	11463 31512	 * 	221.38	DCR|2SPLARM|4VULN|1AART|1SELL	1279VULN|3SELL|47MSLFST|579LIT|6RCR|79BPWR|89SPLARM|aAART
32	14263 31512	 * 	221.38	DCR|2SPLARM|4VULN|1AART|1SELL	1379VULN|2SELL|47MSLFST|579LIT|6RCR|79BPWR|89SPLARM|aAART
33	11151 24114	   	221.28	DCR|4VULN|1AART|1ASPD|1DMG|1MSE	1245VULN|3DMSP|5BPWR|6RCR|7DMG|8ASPD|9AART|aMSE
34	11151 24115	   	221.28	DCR|4VULN|1AART|1ASPD|1DMG	1245VULN|3DMSP|5BPWR|6RCR|7DMG|8ASPD|9AART|aDUST
35	11151 24116	   	221.28	DCR|4VULN|1AART|1ASPD|1DMG	1245VULN|3DMSP|5BPWR|6RCR|7DMG|8ASPD|9AART|aCANSTR
36	11152 24114	   	221.28	DCR|4VULN|1AART|1ASPD|1DMG|1MSE	1245VULN|3DMSP|6RCR|7DMG|8ASPD|9AART|aMSE
37	11152 24115	   	221.28	DCR|4VULN|1AART|1ASPD|1DMG	1245VULN|3DMSP|6RCR|7DMG|8ASPD|9AART|aDUST
38	11152 24116	   	221.28	DCR|4VULN|1AART|1ASPD|1DMG	1245VULN|3DMSP|6RCR|7DMG|8ASPD|9AART|aCANSTR
39	11241 53532	   	221.28	DCR|4VULN|1AART|1ASPD|1DMG	123aVULN|3BPWR|4LHND|5AART|6RCR|7ASPD|8ERES|9DMG
40	11241 53621	   	221.28	DCR|4VULN|1AART|1ASPD|1DMG	1238VULN|3BPWR|4LHND|5AART|6RCR|7ASPD|9DMG|aERES
41	12341 53532	   	221.28	DCR|4VULN|1AART|1ASPD|1DMG	134aVULN|2LHND|5AART|6RCR|7ASPD|8ERES|9DMG
42	12341 53621	   	221.28	DCR|4VULN|1AART|1ASPD|1DMG	1348VULN|2LHND|5AART|6RCR|7ASPD|9DMG|aERES
43	11231 53436	 * 	220.55	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	123VULN|3BPWR|4BEXP|5AART|6RCR|7LIT|8ASPD|9CDMG|aMDPS
44	11231 55136	 * 	220.55	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	123VULN|3BPWR|4BEXP|5AART|6RCR|7DMG|8LIT|9CDMG|aMDPS
45	11241 53136	   	220.55	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	123VULN|3BPWR|4LHND|5AART|6RCR|7ASPD|8LIT|9CDMG|aMDPS
46	11321 53436	   	220.55	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	124VULN|3LWND|5AART|6RCR|7LIT|8ASPD|9CDMG|aMDPS
47	11321 55136	   	220.55	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	124VULN|3LWND|5AART|6RCR|7DMG|8LIT|9CDMG|aMDPS
48	12341 53136	   	220.55	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	134VULN|2LHND|5AART|6RCR|7ASPD|8LIT|9CDMG|aMDPS
49	21321 53436	   	220.55	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1LWND|234VULN|5AART|6RCR|7LIT|8ASPD|9CDMG|aMDPS
50	21321 55136	   	220.55	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	1LWND|234VULN|5AART|6RCR|7DMG|8LIT|9CDMG|aMDPS
51	11231 55533	 * 	219.21	DCR|3VULN|2DMG|1AART|1CDMG	123VULN|3BPWR|4BEXP|5AART|6RCR|79DMG|8ERES|aCDMG
52	11321 55533	   	219.21	DCR|3VULN|2DMG|1AART|1CDMG	124VULN|3LWND|5AART|6RCR|79DMG|8ERES|aCDMG
53	21321 55533	   	219.21	DCR|3VULN|2DMG|1AART|1CDMG	1LWND|234VULN|5AART|6RCR|79DMG|8ERES|aCDMG
54	11321 55224	 * 	219.13	DCR|3VULN|2AART|2DMG	124VULN|3LWND|5aAART|6RCR|79DMG|8RCVC
55	21321 55224	   	219.13	DCR|3VULN|2AART|2DMG	1LWND|234VULN|5aAART|6RCR|79DMG|8RCVC
56	11512 23525	 * 	218.92	DCR|3VULN|2DMG|2CDMG|1ASPD	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9DUST|aASPD
57	11231 55332	 * 	218.91	DCR|4VULN|2DMG|1AART	123aVULN|3BPWR|4BEXP|5AART|6RCR|79DMG|8RMIN
58	11231 55432	   	218.91	DCR|4VULN|2DMG|1AART	123aVULN|3BPWR|4BEXP|5AART|6RCR|79DMG|8CGEN
59	11231 55622	   	218.91	DCR|4VULN|2DMG|1AART	1238VULN|3BPWR|4BEXP|5AART|6RCR|79DMG|aCGEN
60	11231 55623	   	218.91	DCR|4VULN|2DMG|1AART	1238VULN|3BPWR|4BEXP|5AART|6RCR|79DMG|aRPLT
61	11241 55332	   	218.91	DCR|4VULN|2DMG|1AART	123aVULN|3BPWR|4LHND|5AART|6RCR|79DMG|8RMIN
62	11321 55332	   	218.91	DCR|4VULN|2DMG|1AART	124aVULN|3LWND|5AART|6RCR|79DMG|8RMIN
