0	Index      	 *	Score 	Summary	Detail	
1	11212 14215	 * 	228.23	DCR|3DMG|2AART|2ASPD|2DUR|2ZMB|1SELL	14aDMG|24ZMB|3SELL|4aBPWR|56AART|7aASPD|8aDUR|9RCR
2	61212 14215	 * 	225.51	DCR|3ASPD|2AART|2DMG|2DUR|2ZMB|1SELL	14aASPD|24ZMB|3SELL|4aBPWR|56AART|7aDMG|8aDUR|9RCR
3	12636 35311	 * 	222.65	DCR|2VULN|2DMG|2ASPD|1AART	17DMG|2LHND|3RPLT|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9AART|aLWND
4	12636 35312	   	222.65	DCR|2VULN|2DMG|2ASPD|1AART	17DMG|2LHND|3RPLT|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9AART|aAME
5	12636 35313	   	222.65	DCR|2VULN|2DMG|2ASPD|1AART	17DMG|2LHND|3RPLT|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9AART|aBEXP
6	42212 51135	 * 	220.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1CGEN|2LHND|38VULN|49AART|5ASPD|6RCR|7CDMG|aDMG
7	46213 11521	 * 	219.40	DCR|3VULN|3DMG|1ASPD|1DUR	1aCGEN|23aVULN|4DUR|5ASPD|67aDMG|8RCR|9MBVNT|aBPWR
8	11212 61535	 * 	219.13	DCR|3DMG|2ASPD|3ZMB|1AART|1AAC|1SELL	14aDMG|24aZMB|3SELL|4aBPWR|5AART|6AAC|7RCR|8RMIN|9aASPD
9	51325 31151	 * 	218.74	DCR|3VULN|2DMG|1AART|2CDMG|1NUKE	17CDMG|27DMG|367VULN|4NUKE|5AART|7BPWR|8BEXP|9MBVNT|aRCR
10	11212 11365	 * 	218.53	DCR|3DMG|2AART|3ZMB|2CDMG|1SELL	14aDMG|24aZMB|3SELL|4aBPWR|56AART|7RPLT|8RCR|9aCDMG
11	12636 35322	 * 	217.59	DCR|3VULN|2DMG|1MDPS|2ASPD	17DMG|2LHND|3RPLT|4RMIN|57aVULN|67ASPD|7BPWR|8RCR|9MDPS
12	15112 11335	 * 	217.04	DCR|3DMG|2VULN|2CDMG|1ASPD	147DMG|29CGEN|39VULN|5RPLT|69CDMG|8RCR|9BPWR|aASPD
13	11212 14613	 * 	216.70	DCR|2AART|2DMG|1VULN|1ASPD|2ZMB|1DUR|1SELL	14DMG|24ZMB|3SELL|4BPWR|56AART|7ASPD|8VULN|9RCR|aDUR
14	51314 22613	 * 	216.29	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1CDMG|2aDMG|35VULN|4DUR|69ASPD|7RPLT|8RCR
15	12451 25311	   	215.61	DCR|2VULN|2DMG|2ASPD|1AART|1AAC	17DMG|2LHND|37ASPD|47VULN|5AAC|6RPLT|7BPWR|8RCR|9AART|aLWND
16	12451 25312	   	215.61	DCR|2VULN|2DMG|2ASPD|1AART|1AAC	17DMG|2LHND|37ASPD|47VULN|5AAC|6RPLT|7BPWR|8RCR|9AART|aAME
17	12451 25313	   	215.61	DCR|2VULN|2DMG|2ASPD|1AART|1AAC	17DMG|2LHND|37ASPD|47VULN|5AAC|6RPLT|7BPWR|8RCR|9AART|aBEXP
18	14312 14215	 * 	215.32	DCR|2AART|2DMG|2ASPD|1CDMG|2DUR|1AAC	1aDMG|2AAC|3DMSP|4CDMG|56AART|7aASPD|8aDUR|9RCR|aBPWR
19	15112 11333	 * 	214.81	DCR|3VULN|3DMG|2CDMG	147DMG|29CGEN|39aVULN|5RPLT|69CDMG|8RCR|9BPWR
20	51335 31151	   	214.80	DCR|3VULN|1AART|2CDMG|1DMG|2ZMB	17CDMG|2DMG|367VULN|47ZMB|5AART|7BPWR|8BEXP|9MBVNT|aRCR
21	11312 14215	   	214.75	DCR|2AART|2DMG|1ASPD|1CDMG|2DUR|2ZMB	1aDMG|2aZMB|3DMSP|4CDMG|56AART|7ASPD|8aDUR|9RCR|aBPWR
22	11212 14315	 * 	214.68	DCR|3DMG|2AART|2ASPD|2ZMB|1SELL	14aDMG|24ZMB|3SELL|4aBPWR|56AART|7aASPD|8aLHND|9RCR
23	14212 14215	 * 	214.48	DCR|3DMG|2AART|2ASPD|2DUR|1AAC|1SELL	14aDMG|2AAC|3SELL|4aBPWR|56AART|7aASPD|8aDUR|9RCR
24	61212 14613	 * 	213.33	DCR|2AART|2ASPD|1VULN|1DMG|2ZMB|1DUR|1SELL	14ASPD|24ZMB|3SELL|4BPWR|56AART|7DMG|8VULN|9RCR|aDUR
25	61113 51313	 * 	212.70	DCR|2VULN|2ASPD|1DMG|1NUKE|1ZMB	18ASPD|2ZMB|39VULN|4DMG|5MULFIG|6RCR|7RMIN|aNUKE
26	11212 14515	 * 	212.55	DCR|2AART|2DMG|1VULN|1ASPD|2ZMB|1SELL	14DMG|24ZMB|3SELL|4BPWR|56AART|7ASPD|8RMIN|9RCR|aVULN
27	61212 11365	 * 	212.44	DCR|3ASPD|2AART|3ZMB|2CDMG|1SELL	14aASPD|24aZMB|3SELL|4aBPWR|56AART|7RPLT|8RCR|9aCDMG
28	41136 11521	   	212.40	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB|1DUR	1CGEN|2ZMB|35VULN|4DUR|67DMG|8RCR|9CDMG|aASPD
29	11312 14613	   	212.28	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMG|2ZMB|3DMSP|4CDMG|56AART|7ASPD|8VULN|9RCR|aDUR
30	61312 14613	   	212.28	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ASPD|2ZMB|3DMSP|4CDMG|56AART|7DMG|8VULN|9RCR|aDUR
31	41153 21222	   	212.11	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	1CGEN|2ZMB|34VULN|5ASPD|6SNIFST|7RCR|8aAART|9DMG
32	61212 14315	 * 	211.96	DCR|3ASPD|2AART|2DMG|2ZMB|1SELL	14aASPD|24ZMB|3SELL|4aBPWR|56AART|7aDMG|8aLHND|9RCR
33	15153 21312	   	211.76	DCR|3VULN|2DMG|2ASPD	1aDMG|2aCGEN|349VULN|58ASPD|6aSNIFST|7RCR|aBPWR
34	15113 21311	   	211.56	DCR|3VULN|2DMG|2ASPD	14DMG|2CGEN|39aVULN|58ASPD|6SNIFST|7RCR
35	13153 21312	   	211.56	DCR|3VULN|2DMG|2ASPD	1aDMG|2aERES|349VULN|58ASPD|6aSNIFST|7RCR|aBPWR
36	13113 21311	   	211.46	DCR|3VULN|2DMG|2ASPD	14DMG|2ERES|39aVULN|58ASPD|6SNIFST|7RCR
37	63116 32611	 * 	211.45	DCR|3ASPD|2VULN|2DMG|1SELL	19aASPD|2ERES|3aVULN|4aDMG|5RMIN|6SELL|7RPLT|8RCR|aBPWR
38	61312 14215	   	211.39	DCR|2AART|2ASPD|1DMG|1CDMG|2DUR|2ZMB	1aASPD|2aZMB|3DMSP|4CDMG|56AART|7DMG|8aDUR|9RCR|aBPWR
39	15111 53511	   	211.20	DCR|3VULN|3DMG|1ASPD	14aDMG|2CGEN|36aVULN|5BEXP|7ASPD|8RCR|9aLWND|aBPWR
40	15126 13511	   	211.20	DCR|3VULN|3DMG|1ASPD	16aDMG|2CGEN|35aVULN|4FEWX|7ASPD|8RCR|9aLWND|aBPWR
41	15126 21511	   	211.20	DCR|3VULN|3DMG|1ASPD	17aDMG|2CGEN|35aVULN|4FEWX|6ASPD|8RCR|9aLWND|aBPWR
42	15151 13511	   	211.20	DCR|3VULN|3DMG|1ASPD	16aDMG|2CGEN|34aVULN|5BEXP|7ASPD|8RCR|9aLWND|aBPWR
43	15151 21511	   	211.20	DCR|3VULN|3DMG|1ASPD	17aDMG|2CGEN|34aVULN|5BEXP|6ASPD|8RCR|9aLWND|aBPWR
44	15153 11511	   	211.20	DCR|3VULN|3DMG|1ASPD	17aDMG|2CGEN|34aVULN|5ASPD|6FEWX|8RCR|9aLWND|aBPWR
45	13126 21511	   	211.10	DCR|3VULN|3DMG|1ASPD	17aDMG|2ERES|35aVULN|4FEWX|6ASPD|8RCR|9aLWND|aBPWR
46	13151 21511	   	211.10	DCR|3VULN|3DMG|1ASPD	17aDMG|2ERES|34aVULN|5BEXP|6ASPD|8RCR|9aLWND|aBPWR
47	13153 11511	   	211.10	DCR|3VULN|3DMG|1ASPD	17aDMG|2ERES|34aVULN|5ASPD|6FEWX|8RCR|9aLWND|aBPWR
48	13155 21511	   	211.10	DCR|3VULN|3DMG|1ASPD	17aDMG|2ERES|34aVULN|5FEWX|6ASPD|8RCR|9aLWND|aBPWR
49	13166 21511	   	211.10	DCR|3VULN|3DMG|1ASPD	17aDMG|2ERES|35aVULN|4BEXP|6ASPD|8RCR|9aLWND|aBPWR
50	46233 11521	   	211.10	DCR|3VULN|3DMG|1ASPD	1aCGEN|23aVULN|4FEWX|5ASPD|67aDMG|8RCR|9MBVNT|aBPWR
51	51521 13135	   	211.07	DCR|3VULN|2DMG|2CDMG|2DUR	18CDMG|28DMG|3ERES|47DUR|5RCVC|689VULN|8BPWR|aRCR
52	12636 35223	   	211.02	DCR|2VULN|2DMG|2ASPD|1CDMG	17DMG|2LHND|3RPLT|4RMIN|57VULN|67ASPD|7BPWR|8CDMG|9TLV|aRCR
53	51362 23134	   	210.94	DCR|2VULN|2DMG|2CDMG|1ASPD|2DUR	19CDMG|24DMG|39VULN|58LHND|6ASPD|79DUR|9BPWR|aRCR
54	11212 11336	 * 	210.71	DCR|2VULN|2AART|2DMG|2ZMB|1SELL	14DMG|24ZMB|3SELL|4BPWR|56AART|7RPLT|8RCR|9aVULN
55	12451 25322	   	210.56	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC	17DMG|2LHND|37ASPD|47aVULN|5AAC|6RPLT|7BPWR|8RCR|9MDPS
56	35226 13316	   	210.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1RPLT|2FEWX|3DMG|4ASPD|56VULN|7ZMB|8RCR|9AART|aCDMG
57	15153 21613	 * 	210.15	DCR|3VULN|1ASPD|1DMG|1NUKE|1ZMB	1DMG|2CGEN|349VULN|5ASPD|6SNIFST|7RCR|8ZMB|aNUKE
58	15113 21255	   	210.06	DCR|2VULN|2DMG|1AART|1ASPD|1AAC	14DMG|2CGEN|39VULN|5ASPD|6SNIFST|7RCR|8AART|aAAC
59	13153 21613	   	210.05	DCR|3VULN|1ASPD|1DMG|1NUKE|1ZMB	1DMG|2ERES|349VULN|5ASPD|6SNIFST|7RCR|8ZMB|aNUKE
60	15113 21613	 * 	209.91	DCR|2VULN|2DMG|1ASPD|1NUKE|1ZMB	14DMG|2CGEN|39VULN|5ASPD|6SNIFST|7RCR|8ZMB|aNUKE
61	15153 21311	 * 	209.82	DCR|4VULN|2ASPD|1DMG	1DMG|2CGEN|349aVULN|58ASPD|6SNIFST|7RCR
62	13113 21613	   	209.81	DCR|2VULN|2DMG|1ASPD|1NUKE|1ZMB	14DMG|2ERES|39VULN|5ASPD|6SNIFST|7RCR|8ZMB|aNUKE
63	13153 21311	   	209.72	DCR|4VULN|2ASPD|1DMG	1DMG|2ERES|349aVULN|58ASPD|6SNIFST|7RCR
