0	Index      	 *	Score 	Summary	Detail	
1	66312 62222	 * 	222.76	1SPLARM|2VULN|1MDPS|2ASPD|1AART|1DMG|2ZMB	19VULN|2SPLARM|39ZMB|4MSLFST|5AART|6DMG|7DMSP|89ASPD|9BPWR|aMDPS
2	13263 16161	 * 	218.19	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	1AELBLL|249VULN|35AART|6DMG|7RCR|8ZMB|aDUR
3	13263 16316	 * 	217.13	DCR|3VULN|2AART|2DMG	1AELBLL|24aVULN|35AART|68DMG|7RCR|9LWND
4	13263 16336	   	217.03	DCR|3VULN|2AART|2DMG	1AELBLL|24aVULN|35AART|68DMG|7RCR|9ERES
5	13263 16262	 * 	216.00	DCR|2VULN|2AART|2ASPD|1DMG	1AELBLL|24VULN|35AART|6DMG|7RCR|8LWND|9aASPD
6	51232 44213	 * 	213.56	DCR|2VULN|2AART|2DMG|1ASPD	1BELT|278FEWX|38VULN|45AART|68DMG|8BPWR|9ASPD|aRCR
7	53232 46213	   	213.56	DCR|2VULN|2AART|2DMG|1ASPD	1BELT|278BEXP|38VULN|45AART|68DMG|8BPWR|9ASPD|aRCR
8	13263 16122	   	212.11	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	1AELBLL|24VULN|35AART|6DMG|7RCR|8ZMB|9LHND|aASPD
9	61263 16122	   	212.11	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	14VULN|2DMSP|35AART|6DMG|7RCR|8ZMB|9LHND|aASPD
10	51232 42214	   	211.33	DCR|3VULN|2AART|2DMG	1BELT|28FEWX|378VULN|45AART|68DMG|8BPWR|9LHND|aRCR
11	53232 42214	   	211.33	DCR|3VULN|2AART|2DMG	1BELT|28BEXP|378VULN|45AART|68DMG|8BPWR|9LHND|aRCR
12	52232 42214	   	211.13	DCR|3VULN|2AART|2DMG	1BELT|28DUST|378VULN|45AART|68DMG|8BPWR|9LHND|aRCR
13	52232 42224	   	211.13	DCR|3VULN|2AART|2DMG	1BELT|28DUST|378VULN|45AART|68DMG|8BPWR|9BEXP|aRCR
14	13213 16166	   	209.88	DCR|3VULN|2AART|1DMG|1ZMB	1AELBLL|29aVULN|35AART|4DMSP|6DMG|7RCR|8ZMB
15	13263 16116	   	209.88	DCR|3VULN|2AART|1DMG|1ZMB	1AELBLL|24aVULN|35AART|6DMG|7RCR|8ZMB|9MLV
16	13263 16162	   	209.88	DCR|3VULN|2AART|1DMG|1ZMB	1AELBLL|249VULN|35AART|6DMG|7RCR|8ZMB|aLWND
17	13263 16163	   	209.88	DCR|3VULN|2AART|1DMG|1ZMB	1AELBLL|249VULN|35AART|6DMG|7RCR|8ZMB|aRPLT
18	13263 16363	   	209.53	DCR|2VULN|2AART|2DMG|1ZMB	1AELBLL|24VULN|35AART|68DMG|7RCR|9MBVNT|aZMB
19	13263 16342	   	207.61	DCR|2VULN|2AART|2DMG|1DUR	1AELBLL|24VULN|35AART|68DMG|7RCR|9BEXP|aDUR
20	13263 16352	   	207.61	DCR|2VULN|2AART|2DMG|1DUR	1AELBLL|24VULN|35AART|68DMG|7RCR|9BELT|aDUR
21	13263 16331	   	207.51	DCR|2VULN|2AART|2DMG|1DUR	1AELBLL|24VULN|35AART|68DMG|7RCR|9ERES|aDUR
22	13263 16362	   	207.51	DCR|2VULN|2AART|2DMG|1DUR	1AELBLL|24VULN|35AART|68DMG|7RCR|9MBVNT|aDUR
23	61263 16331	   	207.51	DCR|2VULN|2AART|2DMG|1DUR	14VULN|2DMSP|35AART|68DMG|7RCR|9ERES|aDUR
24	24322 36212	 * 	206.80	DCR|2VULN|2DMG|1AART|2CDMG	134DUST|2RMIN|5AART|6aVULN|7RCR|8aCDMG|9aDMG|aBPWR
25	66313 24331	 * 	205.59	DCR|1SPLARM|2VULN|2DMG|1MDPS|1ASPD|2ZMB	19VULN|2SPLARM|39ZMB|4MSLFST|5ASPD|69DMG|7MDPS|8RCR|9BPWR|aRPLT
26	66313 24332	   	205.59	DCR|1SPLARM|2VULN|2DMG|1MDPS|1ASPD|2ZMB	19VULN|2SPLARM|39ZMB|4MSLFST|5ASPD|69DMG|7MDPS|8RCR|9BPWR|aBEXP
27	66313 24333	   	205.59	DCR|1SPLARM|2VULN|2DMG|1MDPS|1ASPD|2ZMB	19VULN|2SPLARM|39ZMB|4MSLFST|5ASPD|69DMG|7MDPS|8RCR|9BPWR|aFEWX
28	13261 64724	 * 	204.77	DCR|4VULN|1MDPS|1AART|1CDMG	1AELBLL|2489VULN|3AART|5CDMG|6MBVNT|7RCR|aMDPS
29	61342 23362	 * 	204.33	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	17VULN|2aDMSP|37ASPD|4DMG|5CGEN|67CDMG|7BPWR|8DUR|9RCR
30	66214 21311	 * 	204.23	DCR|3VULN|1SPLARM|1AART|1DMG|1ZMB	157VULN|2SPLARM|3BEXP|4TSLFST|6DMG|8AART|9RCR|aZMB
31	61342 23262	   	204.23	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	17VULN|2DMSP|37ASPD|4DMG|5CGEN|67CDMG|7BPWR|8DUST|9RCR|aDUR
32	61342 23361	   	204.23	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	17VULN|2DMSP|37ASPD|4DMG|5CGEN|67CDMG|7BPWR|8DUR|9RCR|aDUST
33	61342 23363	   	204.23	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	17VULN|2DMSP|37ASPD|4DMG|5CGEN|67CDMG|7BPWR|8DUR|9RCR|aERES
34	13213 16462	   	203.92	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	1AELBLL|2VULN|35AART|4DMSP|6DMG|7RCR|8DUR|9aASPD
35	33366 32326	   	203.26	DCR|2AART|2ASPD|1VULN|1DMG|2DUR	15DUR|2LHND|3FEWX|45ASPD|5BPWR|67AART|8DMG|9VULN|aRCR
36	22331 41332	   	203.09	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|2FEWX|3ASPD|4CANARM|59DMG|68VULN|7RCR|aAART
37	13261 64721	 * 	202.83	DCR|4VULN|1AART|2CDMG	1AELBLL|2489VULN|3AART|5aCDMG|6MBVNT|7RCR
38	61342 23263	   	202.70	DCR|2VULN|2ASPD|2CDMG|1DMG|1AAC	17VULN|2DMSP|37ASPD|4DMG|5CGEN|67CDMG|7BPWR|8DUST|9RCR|aAAC
39	13263 16314	   	202.64	DCR|2VULN|2AART|2DMG|1AAC	1AELBLL|24VULN|35AART|68DMG|7RCR|9LWND|aAAC
40	13263 16353	   	202.64	DCR|2VULN|2AART|2DMG|1AAC	1AELBLL|24VULN|35AART|68DMG|7RCR|9BELT|aAAC
41	13263 16335	   	202.54	DCR|2VULN|2AART|2DMG|1AAC	1AELBLL|24VULN|35AART|68DMG|7RCR|9ERES|aAAC
42	33356 32362	 * 	202.22	DCR|3DMG|2AART|1VULN|2DUR	15DUR|2LHND|3FEWX|458DMG|5BPWR|67AART|9VULN|aRCR
43	13263 16261	   	202.10	DCR|2VULN|2AART|1ASPD|1DMG	1AELBLL|24VULN|35AART|6DMG|7RCR|8LWND|9ASPD|aRCVC
44	13263 16216	   	201.78	DCR|2VULN|2AART|1ASPD|1DMG	1AELBLL|24VULN|35AART|6DMG|7RCR|8LWND|9BELT|aASPD
45	13263 16231	 * 	201.68	DCR|2VULN|2AART|1DMG|1NUKE	1AELBLL|24VULN|35AART|6DMG|7RCR|8LWND|9MSLFST|aNUKE
46	13263 16263	   	201.68	DCR|2VULN|2AART|1DMG|1ASPD	1AELBLL|24VULN|35AART|6DMG|7RCR|8LWND|9ASPD|aTLV
47	61263 16231	   	201.68	DCR|2VULN|2AART|1DMG|1NUKE	14VULN|2DMSP|35AART|6DMG|7RCR|8LWND|9MSLFST|aNUKE
48	13263 13361	   	201.61	DCR|2VULN|2AART|2DMG|1DUR	1AELBLL|24VULN|35AART|68DMG|7DUR|9LIT|aRCR
49	61263 13361	   	201.61	DCR|2VULN|2AART|2DMG|1DUR	14VULN|2DMSP|35AART|68DMG|7DUR|9LIT|aRCR
50	13263 16622	   	201.58	DCR|2VULN|2AART|1ASPD|1DMG	1AELBLL|24VULN|35AART|6DMG|7RCR|8ERES|9DUST|aASPD
51	13342 23366	 * 	201.53	DCR|2DMG|2ASPD|1VULN|2CDMG|1DUR	17AELBLL|2VULN|37ASPD|4aDMG|5CGEN|67CDMG|7BPWR|8DUR|9RCR
52	56232 42211	 * 	201.27	ACR|3VULN|2AART|2DMG|1ZMB	1BELT|25AART|378VULN|4RCR|68DMG|8BPWR|9LHND|aZMB
53	56232 42221	   	201.27	ACR|3VULN|2AART|2DMG|1ZMB	1BELT|25AART|378VULN|4RCR|68DMG|8BPWR|9BEXP|aZMB
