0	Index      	 *	Score 	Summary	Detail	
1	47324 44462	 * 	210.76	橙3易伤3伤害3策反1暴击	1加一289易伤3立即金币4狙击对直升589策反689伤害7核89序列升级a暴击
2	21343 13145	 * 	203.43	橙3伤害2易伤1全技能2暴击	1随机矿2全技能37易伤47低血量敌人57a伤害6核7序列升级89暴击
3	41322 83453	 * 	202.65	橙3易伤2伤害1全技能1暴击2时间	1加一2a时间3立即金币4暴击5全技能6a伤害79a易伤8核a序列升级
4	21363 23453	 * 	202.61	橙3易伤1全技能1伤害2暴击2时间1攻速	1随机矿2全技能38a易伤4a时间5伤害6攻速7核9a暴击a序列升级
5	21343 13135	   	197.12	橙3伤害2易伤1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57a伤害6核7序列升级8暴击9立即金币
6	47324 44461	   	197.11	橙3易伤3伤害3策反	1加一289易伤3立即金币4狙击对直升589策反689伤害7核89序列升级a低血量敌人
7	47324 44463	   	197.11	橙3易伤3伤害3策反	1加一289易伤3立即金币4狙击对直升589策反689伤害7核89序列升级a敌人爆炸
8	47324 44464	   	197.01	橙3易伤3伤害3策反	1加一289易伤3立即金币4狙击对直升589策反689伤害7核89序列升级a掉矿
9	21343 13141	   	194.72	橙2易伤2伤害1全技能2暴击1时间	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级89暴击a时间
10	44523 32244	   	193.78	橙2易伤2伤害1全技能2暴击1策反	1加一2全技能3平台46暴击56伤害6序列升级7策反8核9a易伤
11	21363 23353	   	193.57	橙2易伤1全技能1伤害2暴击2攻速2时间	1随机矿2全技能3a易伤4a时间5伤害68攻速7核9a暴击a序列升级
12	21363 13145	   	192.58	橙3伤害1全技能1易伤2暴击1时间	1随机矿2全技能3易伤4时间57a伤害6核89暴击
13	21312 35643	   	192.22	橙3易伤2伤害1全技能2攻速	1随机矿2全技能34a易伤5a伤害6a攻速7立即金币8核9平台a序列升级
14	21164 43223	   	192.02	橙3易伤2伤害1全技能2攻速	1随机矿2全技能3a攻速4等级5a伤害69a易伤7挖青8核a序列升级
15	41322 83263	   	190.91	橙2易伤2伤害1全技能2暴击2时间	1加一2a时间3立即金币48暴击5全技能6a伤害7a易伤9核a序列升级
16	21363 23153	 * 	190.78	橙2易伤1全技能1伤害2暴击3时间1攻速	1随机矿2全技能3a易伤48a时间5伤害6攻速7核9a暴击a序列升级
17	21563 63131	 * 	188.82	紫2易伤2伤害1全技能1暴击1时间	1随机矿2全技能3核47易伤57伤害67最后敌人7序列升级8暴击9立即金币a时间
18	21343 13131	   	188.40	橙2易伤2伤害1全技能1暴击1时间	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9立即金币a时间
19	21343 13155	   	188.40	橙2易伤2伤害1全技能1暴击1时间	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9最后敌人a时间
20	21343 13165	   	188.40	橙2易伤2伤害1全技能1暴击1时间	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9敌人爆炸a时间
21	21363 11145	 * 	188.38	橙2全技能2伤害1易伤2暴击1时间	1随机矿27全技能3易伤4时间5a伤害6核89暴击
22	44241 41363	   	188.16	橙3伤害2易伤1全技能2时间1卖塔	1加一2全技能3卖塔47a伤害5a时间6a易伤8双倍矿9核a序列升级
23	21343 13146	   	187.78	橙2易伤2伤害1全技能2暴击	1a随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级89暴击
24	21343 13142	   	187.68	橙2易伤2伤害1全技能2暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级89暴击a挖尘
25	21343 13143	   	187.68	橙2易伤2伤害1全技能2暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级89暴击a掉矿
26	21343 13144	   	187.68	橙2易伤2伤害1全技能2暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级89暴击a双倍物品
27	44523 32248	   	187.64	橙2全技能2伤害1易伤2暴击1策反	1加一2a全技能3平台46暴击56伤害6序列升级7策反8核9易伤
28	21343 12145	   	187.58	橙2易伤2伤害1全技能2暴击	1随机矿2全技能37易伤4低血量敌人5a伤害6核89暴击
29	21312 12345	   	187.42	橙3易伤2伤害1全技能2攻速	1随机矿2全技能349易伤59伤害6金币生成7最后敌人89攻速9序列升级a核
30	21312 16345	   	187.42	橙3易伤2伤害1全技能2攻速	1随机矿2全技能349易伤59伤害6金币生成7低血量敌人89攻速9序列升级a核
31	44242 41363	 * 	187.37	橙3伤害2全技能2易伤1卖塔	1加一28全技能3卖塔47a伤害5a最后敌人6a易伤9核a序列升级
32	44243 41363	 * 	187.37	橙3伤害2全技能2易伤1卖塔	1加一28全技能3卖塔47a伤害5a低血量敌人6a易伤9核a序列升级
33	44523 52244	   	187.37	橙2易伤2伤害1全技能1暴击1策反	1加一2全技能3平台4暴击56伤害7策反8核9a易伤
34	21312 25345	   	187.22	橙3易伤2伤害1全技能2攻速	1随机矿2全技能349易伤59伤害6挖尘7等级89攻速9序列升级a核
35	41322 81452	   	186.90	橙2易伤2伤害1全技能1暴击2时间	1加一2a时间3立即金币4暴击5全技能6a伤害7挖青8核9a易伤a序列升级
36	21563 23135	 * 	186.69	紫3伤害1全技能1易伤1暴击1时间	1随机矿2全技能3核4易伤57a伤害6时间8暴击9立即金币
37	44181 23453	 * 	186.66	橙3易伤1全技能3攻速1暴击2时间	1加一2全技能3a时间4暴击56a攻速79a易伤8核a序列升级
38	21363 13135	   	186.27	橙3伤害1全技能1易伤1暴击1时间	1随机矿2全技能3易伤4时间57a伤害6核8暴击9立即金币
39	21413 13145	   	185.64	橙3伤害1全技能1易伤2暴击	1随机矿2全技能3基地爆炸4易伤57a伤害6核89暴击
40	53216 22223	   	184.69	橙2易伤2伤害1全技能1策反1时间1攻速	1时间26伤害3攻速4低血量敌人59易伤7全技能8核a策反
41	21512 12145	 * 	184.29	紫2易伤1全技能1伤害2暴击1攻速1时间	1随机矿2全技能3核4攻速59暴击68易伤7时间a伤害
42	21312 45224	 * 	183.83	橙4易伤1全技能1伤害1暴击	1随机矿2全技能3467易伤5伤害8敌人爆炸9暴击a核
43	21563 63321	 * 	183.79	紫3易伤2伤害1全技能	1a随机矿2全技能3核479易伤57伤害67最后敌人7序列升级8挖尘
44	44134 13522	 * 	183.76	橙2易伤2伤害1全技能3时间	1加一2全技能35a时间4最后敌人6核7a伤害8a易伤9额外掉落a序列升级
45	21563 63322	   	183.69	紫3易伤2伤害1全技能	1随机矿2全技能3核479易伤57伤害67最后敌人7序列升级8挖尘a掉矿
46	21563 63323	   	183.69	紫3易伤2伤害1全技能	1随机矿2全技能3核479易伤57伤害67最后敌人7序列升级8挖尘a激光对绿
47	44414 64254	 * 	183.52	橙4易伤2全技能2策反	1加一26全技能39掉矿459a易伤7核89策反9序列升级
48	21343 13221	   	183.47	橙3易伤2伤害1全技能	1a随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8最后敌人
49	21343 13224	   	183.47	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47a低血量敌人57伤害6核7序列升级8最后敌人
