0	Index      	 *	Score 	Summary	Detail	
1	12731 11724	 * 	402.33	橙3易伤1双倍秒伤1暴击1时间	1雷电2加一3暴击4策反569易伤7时间8核a双倍秒伤
2	33243 41213	 * 	384.85	橙2易伤1双倍秒伤2暴击1时间1全技能	1全技能25易伤3额外掉落45暴击5序列升级6核7时间8立即金币9双倍矿a双倍秒伤
3	33243 41243	   	384.85	橙2易伤1双倍秒伤2暴击1时间1全技能	1全技能25易伤3额外掉落45暴击5序列升级6核7时间89立即金币a双倍秒伤
4	33243 41263	   	384.85	橙2易伤1双倍秒伤2暴击1时间1全技能	1全技能25易伤3额外掉落45暴击5序列升级6核7时间8立即金币9最后敌人a双倍秒伤
5	33243 41433	   	384.85	橙2易伤1双倍秒伤2暴击1时间1全技能	1全技能25易伤39额外掉落45暴击5序列升级6核7时间8平台a双倍秒伤
6	33243 41251	   	384.75	橙2易伤1双倍秒伤2暴击1时间1全技能	1全技能25易伤3额外掉落45暴击5序列升级6核7时间8立即金币9双倍秒伤a散射对绿
7	33243 41252	   	384.75	橙2易伤1双倍秒伤2暴击1时间1全技能	1全技能25易伤3额外掉落45暴击5序列升级6核7时间8立即金币9双倍秒伤a毒气减费
8	33243 41253	   	384.75	橙2易伤1双倍秒伤2暴击1时间1全技能	1全技能25易伤3额外掉落45暴击5序列升级6核7时间8立即金币9双倍秒伤a雷电
9	33243 41313	   	384.75	橙2易伤1双倍秒伤2暴击1时间1全技能	1全技能25易伤3额外掉落45暴击5序列升级6核7时间8烈焰减费9双倍矿a双倍秒伤
10	33243 41343	   	384.75	橙2易伤1双倍秒伤2暴击1时间1全技能	1全技能25易伤3额外掉落45暴击5序列升级6核7时间8烈焰减费9立即金币a双倍秒伤
11	33243 41363	   	384.75	橙2易伤1双倍秒伤2暴击1时间1全技能	1全技能25易伤3额外掉落45暴击5序列升级6核7时间8烈焰减费9最后敌人a双倍秒伤
12	33242 31651	   	384.65	橙2易伤1双倍秒伤1暴击2时间1全技能	1全技能28易伤3额外掉落4暴击58时间68激光对冰7核8序列升级9双倍秒伤a金币生成
13	33242 31652	   	384.65	橙2易伤1双倍秒伤1暴击2时间2全技能	1a全技能28易伤3额外掉落4暴击58时间68激光对冰7核8序列升级9双倍秒伤
14	33242 31653	   	384.65	橙2易伤1双倍秒伤1暴击2时间1全技能	1全技能28易伤3额外掉落4暴击58时间68激光对冰7核8序列升级9双倍秒伤a掉矿
15	33243 41125	   	384.65	橙2易伤1双倍秒伤2暴击1时间1全技能	1全技能25易伤3额外掉落45暴击5序列升级6核7时间8赏金塔9毒液对冰a双倍秒伤
16	33243 41351	   	384.65	橙2易伤1双倍秒伤2暴击1时间1全技能	1全技能25易伤3额外掉落45暴击5序列升级6核7时间8烈焰减费9双倍秒伤a散射对绿
17	33243 41352	   	384.65	橙2易伤1双倍秒伤2暴击1时间1全技能	1全技能25易伤3额外掉落45暴击5序列升级6核7时间8烈焰减费9双倍秒伤a毒气减费
18	33243 41353	   	384.65	橙2易伤1双倍秒伤2暴击1时间1全技能	1全技能25易伤3额外掉落45暴击5序列升级6核7时间8烈焰减费9双倍秒伤a雷电
19	33132 64243	 * 	382.44	橙2易伤1双倍秒伤2伤害1时间1全技能	1全技能29易伤3技能点46伤害5敌人爆炸7核8时间a双倍秒伤
20	11116 41523	   	375.23	橙3易伤1双倍秒伤1时间	18雷电28最后敌人3时间4随机技能589易伤6核7额外掉落8序列升级a双倍秒伤
21	13116 41523	   	375.23	橙3易伤1双倍秒伤1时间	18雷电28低血量敌人3时间4随机技能589易伤6核7额外掉落8序列升级a双倍秒伤
