0	Index      	 *	Score 	Summary	Detail	
1	32636 35131	 * 	216.26	ACR|1BASARM|2BEXP|1VULN|1ASPD|1DMG|1SELL	15BEXP|25AIRHEL|3SELL|4RCR|5BPWR|6VULN|7DMG|8MLV|9ASPD|aBASARM
2	22462 12163	 * 	205.38	ACR|1BASARM|2ASPD|2BEXP	1AAC|2BELT|3RCR|4aASPD|5LIT|67BEXP|8FEWX|9BASARM
3	34115 11353	 * 	205.09	ACR|1BASARM|2BEXP|1VULN|1DMG|1CDMG	16BEXP|2DUST|3CDMG|4FEWX|5RCR|7VULN|8LIT|9BASARM|aDMG
4	22422 61315	 * 	203.00	ACR|1BASARM|2VULN|2DMG	1AAC|2BELT|3RCR|4MLV|5BASARM|68VULN|7FEWX|9aDMG
5	22422 62316	   	202.90	ACR|1BASARM|2VULN|2DMG	1AAC|2BELT|3RCR|4MLV|5BASARM|68VULN|7MBVNT|9aDMG
6	32635 35131	 * 	201.43	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1SELL	1BEXP|2AIRHEL|3SELL|4RCR|5DMSP|6VULN|7DMG|8MLV|9ASPD|aBASARM
7	22412 13125	 * 	199.77	ACR|2BASARM|1VULN|1DMG|1BEXP	1AAC|2BELT|3RCR|4CGEN|59BASARM|6AME|7VULN|8BEXP|aDMG
8	22412 33125	   	199.77	ACR|2BASARM|1VULN|1DMG|1BEXP	1AAC|2BELT|3RCR|4CGEN|59BASARM|6ERES|7VULN|8BEXP|aDMG
9	22422 13125	   	199.77	ACR|2BASARM|1VULN|1DMG|1BEXP	1AAC|2BELT|3RCR|4MLV|59BASARM|6AME|7VULN|8BEXP|aDMG
10	22422 33125	   	199.77	ACR|2BASARM|1VULN|1DMG|1BEXP	1AAC|2BELT|3RCR|4MLV|59BASARM|6ERES|7VULN|8BEXP|aDMG
11	22426 23126	 * 	199.26	ACR|1BASARM|3BEXP|1ASPD	1AAC|2BELT|3RCR|47MLV|57LWND|678BEXP|7BPWR|9BASARM|aASPD
12	22435 23126	   	199.06	ACR|1BASARM|3BEXP|1ASPD	1AAC|2BELT|3RCR|47DUST|57MLV|678BEXP|7BPWR|9BASARM|aASPD
13	22412 23536	 * 	196.76	ACR|1BASARM|2ASPD|1DMG	1AAC|2BELT|3RCR|4CGEN|5BASARM|67DUST|8DMG|9aASPD
