0	Index      	 *	Score 	Summary	Detail	
1	52322 53447	 * 	265.70	ACR|3VULN|3DMG|1BASARM|2ASPD	17ASPD|27aVULN|347DMG|5RCR|6MBVNT|7BPWR|8ERES|9BASARM
2	52322 53441	   	254.70	ACR|3DMG|2VULN|1BASARM|2ASPD	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8ERES|9BASARM|aBELT
3	52322 53442	   	254.70	ACR|3DMG|2VULN|1BASARM|2ASPD	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8ERES|9BASARM|aZMB
4	52322 53444	   	254.70	ACR|3DMG|2VULN|1BASARM|2ASPD	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8ERES|9BASARM|aRPLT
5	52322 53641	   	254.70	ACR|3DMG|2VULN|1BASARM|2ASPD	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8AME|9BASARM|aBELT
6	52322 53642	   	254.70	ACR|3DMG|2VULN|1BASARM|2ASPD	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8AME|9BASARM|aZMB
7	52322 53644	   	254.70	ACR|3DMG|2VULN|1BASARM|2ASPD	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8AME|9BASARM|aRPLT
8	52322 53741	   	254.70	ACR|3DMG|2VULN|1BASARM|2ASPD	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8TLV|9BASARM|aBELT
9	52322 53742	   	254.70	ACR|3DMG|2VULN|1BASARM|2ASPD	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8TLV|9BASARM|aZMB
10	52322 53744	   	254.70	ACR|3DMG|2VULN|1BASARM|2ASPD	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8TLV|9BASARM|aRPLT
11	52352 53441	 * 	254.70	ACR|3ASPD|2VULN|1BASARM|2DMG	147ASPD|27VULN|37DMG|5RCR|6MBVNT|7BPWR|8ERES|9BASARM|aBELT
12	52352 53442	   	254.70	ACR|3ASPD|2VULN|1BASARM|2DMG	147ASPD|27VULN|37DMG|5RCR|6MBVNT|7BPWR|8ERES|9BASARM|aZMB
13	52352 53444	   	254.70	ACR|3ASPD|2VULN|1BASARM|2DMG	147ASPD|27VULN|37DMG|5RCR|6MBVNT|7BPWR|8ERES|9BASARM|aRPLT
14	52322 53443	   	254.60	ACR|3DMG|2VULN|1BASARM|2ASPD	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8ERES|9BASARM|aDUST
15	52322 53445	   	254.60	ACR|3DMG|2VULN|1BASARM|2ASPD	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8ERES|9BASARM|aLSRREG
16	52322 53643	   	254.60	ACR|3DMG|2VULN|1BASARM|2ASPD	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8AME|9BASARM|aDUST
17	52322 53743	   	254.60	ACR|3DMG|2VULN|1BASARM|2ASPD	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8TLV|9BASARM|aDUST
18	52352 53443	   	254.60	ACR|3ASPD|2VULN|1BASARM|2DMG	147ASPD|27VULN|37DMG|5RCR|6MBVNT|7BPWR|8ERES|9BASARM|aDUST
19	52212 53644	   	248.85	ACR|2VULN|1BASARM|2ASPD|2DMG	17ASPD|27VULN|3RCVC|47DMG|5RCR|6MBVNT|7BPWR|8AAC|9CGEN|aBASARM
20	52212 53624	   	248.75	ACR|2VULN|1BASARM|2ASPD|2DMG	17ASPD|27VULN|3RCVC|47DMG|5RCR|6MBVNT|7BPWR|8AAC|9AME|aBASARM
21	52322 53381	   	241.55	ACR|3DMG|2VULN|2ASPD|1AART|1CDMG	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8AEFBLL|9AART|aCDMG
22	52322 54434	 * 	239.66	ACR|3ASPD|3DMG|2VULN|1CDMG	189ASPD|28VULN|348DMG|5RCR|6MBVNT|7BELT|8BPWR|aCDMG
23	52352 54434	   	239.66	ACR|3ASPD|3DMG|2VULN|1CDMG	148ASPD|28VULN|389DMG|5RCR|6MBVNT|7BELT|8BPWR|aCDMG
24	52322 53514	   	238.55	ACR|3DMG|2VULN|2ASPD|1AART|1BEXP	17ASPD|27VULN|347DMG|5RCR|6MBVNT|7BPWR|8MDPS|9BEXP|aAART
25	52322 54432	 * 	236.01	ACR|3VULN|3ASPD|3DMG	189ASPD|28aVULN|348DMG|5RCR|6MBVNT|7BELT|8BPWR
26	52352 54432	   	236.01	ACR|3VULN|3ASPD|3DMG	148ASPD|28aVULN|389DMG|5RCR|6MBVNT|7BELT|8BPWR
