0	Index      	 *	Score 	Summary	Detail	
1	14126 12413	 * 	263.85	DCR|DCR|1VULN|1DMG|1DUR|1AART|1CDMG	1AART|2FEWX|3BEXP|4CDMG|5TBNT|6DMG|7aRCR|8DUR|9VULN
2	12234 42764	 * 	263.18	DCR|DCR|2VULN|1AART|1CDMG	1AART|2MBVNT|3AEWIND|4BELT|58VULN|6ASPD|7CDMG|9aRCR
3	12235 32764	   	263.18	DCR|DCR|2VULN|1AART|1CDMG	1AART|2MBVNT|3AEWIND|4BELT|5ASPD|68VULN|7CDMG|9aRCR
4	12534 42764	   	263.18	DCR|DCR|2VULN|1AART|1CDMG	1AART|2MBVNT|3AEBURN|4BELT|58VULN|6ASPD|7CDMG|9aRCR
5	34522 21243	 * 	260.55	DCR|DCR|2DMG|1VULN|2CDMG	18CDMG|28ZMB|3VULN|4AEWIND|58DMG|6aRCR|7TBNT|8BPWR|9BOSS
6	12842 44813	 * 	259.14	DCR|3VULN|3DUR|1TLV|1MLV|1AART	1AART|2MBVNT|378VULN|478ERES|578DUR|6RCR|78BPWR|9TLV|aMLV
7	31513 11662	 * 	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG|1AAC	1CDMG|2FEWX|3TBNT|4DUR|5VULN|6BELT|7AAC|8aRCR|9TLV
8	12184 35373	   	256.04	DCR|DCR|2VULN|1DUR|1AART	1AART|2MBVNT|3SPLJET|4TBNT|5DUR|6aVULN|7TSLFST|89RCR
9	34522 21343	   	254.04	DCR|DCR|2DMG|1VULN|1CDMG	1CDMG|2ZMB|3VULN|4AEWIND|58DMG|6aRCR|7TBNT|9BOSS
10	12344 85317	 * 	254.02	DCR|2VULN|2DMG|2AART|1TLV|2CDMG	15AART|2MBVNT|39CDMG|49VULN|69DMG|7RCR|8RMIN|9BPWR|aTLV
11	12854 43123	 * 	253.15	DCR|3VULN|3DMG|2CDMG|1AART	1AART|2MBVNT|37aVULN|4RCVC|59aDMG|6RCR|8aCDMG|aBPWR
12	31632 52232	 * 	253.13	ACR|DCR|3VULN|2CDMG|1MLV	19CDMG|269FEWX|3RAT|4MLV|5aRCR|789VULN|9BPWR
13	12834 43123	   	253.05	DCR|3VULN|3DMG|2CDMG|1AART	1AART|2MBVNT|37aVULN|4AEWIND|59aDMG|6RCR|8aCDMG|aBPWR
14	12214 42358	   	251.85	DCR|DCR|1VULN|1DMG|1MLV|1AART	1AART|2MBVNT|3AEWIND|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aMLV
15	12514 42358	   	251.85	DCR|DCR|1VULN|1DMG|1MLV|1AART	1AART|2MBVNT|3AEBURN|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aMLV
16	12834 42358	   	251.85	DCR|DCR|1VULN|1DMG|1MLV|1AART	1AART|2MBVNT|3VULN|4AEWIND|5DMG|69RCR|7VENFST|8AEFRZ|aMLV
17	14126 12513	   	250.10	DCR|DCR|1VULN|1DMG|1AART|1CDMG	1AART|2FEWX|3BEXP|4CDMG|5TBNT|6DMG|7aRCR|8DUST|9VULN
18	31563 12613	   	250.10	DCR|DCR|1VULN|1DMG|1AART|1CDMG	1CDMG|2FEWX|3TBNT|4DMG|5LWND|6aRCR|7AART|8DUST|9VULN
19	12234 42254	 * 	249.43	DCR|DCR|1VULN|2AART|1CDMG	19AART|2MBVNT|3AEWIND|4BELT|5VULN|6ASPD|7CDMG|8aRCR
20	12235 32254	   	249.43	DCR|DCR|1VULN|2AART|1CDMG	19AART|2MBVNT|3AEWIND|4BELT|5ASPD|6VULN|7CDMG|8aRCR
21	12534 42254	   	249.43	DCR|DCR|1VULN|2AART|1CDMG	19AART|2MBVNT|3AEBURN|4BELT|5VULN|6ASPD|7CDMG|8aRCR
22	12535 32254	   	249.43	DCR|DCR|1VULN|2AART|1CDMG	19AART|2MBVNT|3AEBURN|4BELT|5ASPD|6VULN|7CDMG|8aRCR
23	12244 61255	   	249.19	DCR|DCR|2AART|1MSLTOX|1MLV|1DUR	15AART|2MBVNT|3AEWIND|4MSLTOX|6ASPD|7DUR|89RCR|aMLV
24	15222 26216	 * 	248.66	DCR|DCR|1VULN|1TLV|1DMG|1AART|1SELL	1AART|23AME|3BPWR|4RAT|5TLV|69RCR|7SELL|8VULN|aDMG
25	12873 33213	 * 	248.60	DCR|2VULN|3DMG|3DUR|1AART	1AART|2MBVNT|3aVULN|4FEWX|58aDUR|69aDMG|7RCR|aBPWR
26	12244 61258	   	247.24	DCR|DCR|2AART|1MSLTOX|1DUR|1AAC	15AART|2MBVNT|3AEWIND|4MSLTOX|6ASPD|7DUR|89RCR|aAAC
27	12247 46252	 * 	246.71	DCR|DCR|1TLV|1DMG|1MSLTOX|1AART	1AART|2MBVNT|3AEWIND|4MSLTOX|5ERES|6DMG|7TLV|89RCR|aLIT
28	12247 46254	   	246.71	DCR|DCR|1TLV|1DMG|1MSLTOX|1AART	1AART|2MBVNT|3AEWIND|4MSLTOX|5ERES|6DMG|7TLV|89RCR|aBEXP
29	12247 46251	   	246.61	DCR|DCR|1TLV|1DMG|1MSLTOX|1AART|1SELL	1AART|2MBVNT|3AEWIND|4MSLTOX|5ERES|6DMG|7TLV|89RCR|aSELL
30	12247 46253	   	246.61	DCR|DCR|1TLV|1DMG|1MSLTOX|1AART|1MSE	1AART|2MBVNT|3AEWIND|4MSLTOX|5ERES|6DMG|7TLV|89RCR|aMSE
31	53221 81412	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2MLV|3RMIN|4MBVNT|5BEXP|6ZMB|78RCR|9RPLT|aVULN
32	55222 41412	   	244.64	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1TLV|2AAC|3RMIN|4MBVNT|5MLV|6BEXP|78RCR|9RPLT|aVULN
33	53221 81444	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2MLV|3RMIN|4MBVNT|5BEXP|6ZMB|78RCR|9FLTFST|aVULN
34	55222 41444	   	244.54	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1TLV|2AAC|3RMIN|4MBVNT|5MLV|6BEXP|78RCR|9FLTFST|aVULN
35	13263 14335	 * 	244.19	DCR|2VULN|2DMG|2TLV|2AART|1NUKE	16AART|2BBNT|38TLV|4NUKE|58VULN|78DMG|8BPWR|9DUST|aRCR
36	34436 12213	   	243.79	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1CDMG|2ZMB|3LWND|4BBNT|5DUR|6aRCR|7AART|8FEWX|9VULN
37	13635 32213	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1AART|2BBNT|3ZMB|4DUR|5DUST|6CDMG|7aRCR|8FEWX|9VULN
38	34436 12313	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1CDMG|2ZMB|3LWND|4BBNT|5DUR|6aRCR|7AART|8AETHUN|9VULN
39	13635 32313	   	243.59	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1AART|2BBNT|3ZMB|4DUR|5DUST|6CDMG|7aRCR|8AETHUN|9VULN
40	13223 33324	 * 	243.57	DCR|2VULN|2DUR|1TLV|1DMG|1AART|1CDMG	1AART|2BBNT|3TLV|4DMG|59VULN|68DUR|7CDMG|aRCR
41	12842 44812	   	243.54	DCR|3VULN|3DUR|1TLV|1AART	1AART|2MBVNT|378VULN|478ERES|578DUR|6RCR|78BPWR|9TLV|aBEXP
42	12842 44814	   	243.54	DCR|3VULN|3DUR|1TLV|1AART	1AART|2MBVNT|378VULN|478ERES|578DUR|6RCR|78BPWR|9TLV|aRMIN
43	12842 44818	   	243.54	DCR|3VULN|3DUR|1TLV|1AART	1AART|2MBVNT|378VULN|478ERES|578DUR|6RCR|78BPWR|9TLV|aRAT
44	12824 85313	 * 	243.47	DCR|2VULN|3DMG|2AART|2CDMG	15AART|2MBVNT|39VULN|49CDMG|69aDMG|7RCR|8RMIN|9BPWR
45	12344 85313	   	243.47	DCR|2VULN|3DMG|2AART|2CDMG	15AART|2MBVNT|39CDMG|49VULN|69aDMG|7RCR|8RMIN|9BPWR
46	12842 44811	   	243.44	DCR|3VULN|3DUR|1TLV|1AART	1AART|2MBVNT|378VULN|478ERES|578DUR|6RCR|78BPWR|9TLV|aCANTOX
47	12842 44815	   	243.44	DCR|3VULN|3DUR|1TLV|1AART	1AART|2MBVNT|378VULN|478ERES|578DUR|6RCR|78BPWR|9TLV|aBASARM
48	12842 44816	   	243.44	DCR|3VULN|3DUR|1TLV|1AART	1AART|2MBVNT|378VULN|478ERES|578DUR|6RCR|78BPWR|9TLV|aAME
49	12842 44817	   	243.44	DCR|3VULN|3DUR|1TLV|1AART	1AART|2MBVNT|378VULN|478ERES|578DUR|6RCR|78BPWR|9TLV|aLEGI
50	31124 11662	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1CDMG|2FEWX|3VULN|4LHND|5TBNT|6BELT|7AAC|8aRCR|9TLV
51	31114 11662	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1CDMG|2FEWX|3VULN|4LEGI|5TBNT|6BELT|7AAC|8aRCR|9TLV
52	54121 31423	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1TLV|2FEWX|3RAT|4DUR|5DLOT|6BLAICY|79RCR|8BASICY|aVULN
53	12183 35373	   	242.39	DCR|DCR|2VULN|1AART	1AART|2MBVNT|3SPLJET|4TBNT|5LHND|6aVULN|7TSLFST|89RCR
54	12824 85312	   	241.46	DCR|2VULN|2DMG|2AART|2CDMG|1DUR	15AART|2MBVNT|39VULN|49CDMG|69DMG|7RCR|8RMIN|9BPWR|aDUR
55	12344 85312	   	241.46	DCR|2VULN|2DMG|2AART|2CDMG|1DUR	15AART|2MBVNT|39CDMG|49VULN|69DMG|7RCR|8RMIN|9BPWR|aDUR
56	31221 66421	 * 	240.28	ACR|DCR|2DMG|1VULN|2CDMG|1AART	18CDMG|2FEWX|3RPLT|46RCR|58DUST|78DMG|8BPWR|9AART|aVULN
57	12854 43154	 * 	239.60	DCR|3VULN|1TLV|1DMG|1AART|1CDMG	1AART|2MBVNT|37aVULN|4RCVC|5DMG|6RCR|8CDMG|9TLV
58	13223 62254	   	239.60	DCR|3VULN|1TLV|1DMG|1AART|1CDMG	1AART|2BBNT|3TLV|4DMG|568VULN|7CDMG|9BEXP|aRCR
59	13223 62324	   	239.60	DCR|3VULN|1TLV|1DMG|1AART|1CDMG	1AART|2BBNT|3TLV|4DMG|569VULN|7CDMG|8BEXP|aRCR
60	12214 43154	   	239.50	DCR|3VULN|1TLV|1DMG|1AART|1CDMG	1AART|2MBVNT|3AEWIND|47aVULN|5DMG|6RCR|8CDMG|9TLV
61	12514 43154	   	239.50	DCR|3VULN|1TLV|1DMG|1AART|1CDMG	1AART|2MBVNT|3AEBURN|47aVULN|5DMG|6RCR|8CDMG|9TLV
62	12834 43154	   	239.50	DCR|3VULN|1TLV|1DMG|1AART|1CDMG	1AART|2MBVNT|37aVULN|4AEWIND|5DMG|6RCR|8CDMG|9TLV
63	13223 62234	   	239.50	DCR|3VULN|1TLV|1DMG|1AART|1CDMG	1AART|2BBNT|3TLV|4DMG|568VULN|7CDMG|9DUST|aRCR
64	12814 44158	   	238.93	DCR|3VULN|2DUR|1TLV|1AART	1AART|2MBVNT|378VULN|47DUR|57AME|6RCR|7BPWR|9TLV|aASPD
65	12842 44158	   	238.93	DCR|3VULN|2DUR|1TLV|1AART	1AART|2MBVNT|378VULN|47ERES|57DUR|6RCR|7BPWR|9TLV|aASPD
66	53421 13143	 * 	238.76	DCR|DCR|2DUR|1TLV|1MLV	1TLV|2MLV|3RPLT|4LHND|58DUR|6FEWX|7aRCR|9BOSS
67	12216 42358	   	238.73	DCR|DCR|1VULN|1MLV|1AART	1AART|2MBVNT|3AEWIND|4VULN|5ASPD|69RCR|7VENFST|8AEFRZ|aMLV
68	53411 13143	   	238.66	DCR|DCR|2DUR|1TLV|1MLV	1TLV|2MLV|3RPLT|4LEGI|58DUR|6FEWX|7aRCR|9BOSS
69	12344 15717	 * 	238.51	DCR|3VULN|2AART|1TLV|2CDMG	15AART|2MBVNT|39CDMG|489VULN|69LHND|7RCR|9BPWR|aTLV
70	31122 41652	   	238.40	DCR|DCR|1VULN|2CDMG|1MLV	15CDMG|2FEWX|3VULN|4LHND|6RAT|7TBNT|8MLV|9aRCR
71	31326 52152	   	238.40	DCR|DCR|1VULN|2CDMG|1MLV	18CDMG|2FEWX|38DUST|4MLV|5VULN|68RAT|7TBNT|8BPWR|9aRCR
72	31112 41652	   	238.30	DCR|DCR|1VULN|2CDMG|1MLV	15CDMG|2FEWX|3VULN|4LEGI|6RAT|7TBNT|8MLV|9aRCR
73	31132 41652	   	238.30	DCR|DCR|1VULN|2CDMG|1MLV	15CDMG|2FEWX|3VULN|4DUST|6RAT|7TBNT|8MLV|9aRCR
74	12854 43113	   	237.50	DCR|3VULN|2DMG|2CDMG|1AART	1AART|2MBVNT|37aVULN|49RCVC|5aDMG|6RCR|8aCDMG|aBPWR
75	12834 43113	   	237.40	DCR|3VULN|2DMG|2CDMG|1AART	1AART|2MBVNT|37aVULN|4AEWIND|5aDMG|6RCR|8aCDMG|9RCVC|aBPWR
76	12814 44827	 * 	237.30	DCR|3VULN|3DUR|1DMG|1AART	1AART|2MBVNT|378VULN|478DUR|578AME|6RCR|78BPWR|9FLTHEA|aDMG
77	12814 44847	   	237.30	DCR|3VULN|3DUR|1DMG|1AART	1AART|2MBVNT|378VULN|478DUR|578AME|6RCR|78BPWR|9FLTFST|aDMG
78	12828 27214	   	237.30	DCR|3VULN|2DMG|2CDMG|1AART	1AART|2MBVNT|37aVULN|4aCDMG|5MDPS|6aDMG|8RCR|9TBNT|aBPWR
79	12348 27214	   	237.30	DCR|3VULN|2DMG|2CDMG|1AART	1AART|2MBVNT|3aCDMG|47aVULN|5MDPS|6aDMG|8RCR|9TBNT|aBPWR
80	12348 27254	   	237.30	DCR|3VULN|2DMG|2CDMG|1AART	1AART|2MBVNT|3aCDMG|47aVULN|5MDPS|6aDMG|8RCR|9BBNT|aBPWR
81	12815 33213	   	237.16	DCR|2VULN|3DMG|2DUR|1AART	1AART|2MBVNT|3aVULN|48DUR|5aBEXP|69aDMG|7RCR|aBPWR
82	12873 33813	   	237.16	DCR|2VULN|3DMG|2DUR|1AART	1AART|2MBVNT|3aVULN|48FEWX|5aDUR|69aDMG|7RCR|aBPWR
83	65522 22313	   	237.08	DCR|DCR|1VULN|1DUR|1CDMG	1FEWX|2RMIN|3CDMG|4AEFRZ|5BELT|69RCR|7ASPD|8VULN|aDUR
84	12234 42264	   	236.98	DCR|DCR|1VULN|1AART|1CDMG	1AART|2MBVNT|3AEWIND|4BELT|5VULN|6ASPD|7CDMG|8aRCR|9RCVC
85	12235 32264	   	236.98	DCR|DCR|1VULN|1AART|1CDMG	1AART|2MBVNT|3AEWIND|4BELT|5ASPD|6VULN|7CDMG|8aRCR|9RCVC
86	12534 42264	   	236.98	DCR|DCR|1VULN|1AART|1CDMG	1AART|2MBVNT|3AEBURN|4BELT|5VULN|6ASPD|7CDMG|8aRCR|9RCVC
87	12535 32264	   	236.98	DCR|DCR|1VULN|1AART|1CDMG	1AART|2MBVNT|3AEBURN|4BELT|5ASPD|6VULN|7CDMG|8aRCR|9RCVC
88	12824 85423	   	236.96	DCR|2VULN|3DMG|2AART|1CDMG	15AART|2MBVNT|3aVULN|4CDMG|69aDMG|7RCR|8aAEFBLL|aBPWR
89	13141 14335	   	236.91	DCR|2VULN|2DMG|2AART|1MLV|2ASPD	16AART|2BBNT|38VULN|4MLV|58ASPD|78DMG|8BPWR|9DUST|aRCR
90	12814 44884	 * 	236.50	DCR|4VULN|3DUR|1AART|1AAC	1AART|2MBVNT|378aVULN|478DUR|578AME|6RCR|78BPWR|9AAC
