0	Index      	 *	Score 	Summary	Detail	
1	31361 22244	 * 	269.49	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	16TLV|25aDUR|37DMG|46VULN|6BPWR|8RCR|9CDMG
2	31361 22256	 * 	266.53	DCR|3VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46aVULN|6BPWR|8RCR|9FEWX
3	31361 22243	   	264.98	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9CDMG|aASPD
4	24441 35383	 * 	262.55	DCR|DCR|2VULN|1DMG|1CDMG	1LIT|2MBVNT|36ERES|45VULN|7DMG|8aRCR|9CDMG
5	31113 32212	   	259.99	DCR|2VULN|2DMG|2TLV|2DUR|1MLV	18TLV|28DUR|3MLV|47DMG|58VULN|6BBNT|8BPWR|9FEWX|aRCR
6	31113 32232	   	259.99	DCR|2VULN|2DMG|2TLV|2DUR|1MLV	18TLV|28DUR|3MLV|47DMG|58VULN|6BBNT|8BPWR|9BEXP|aRCR
7	31361 22253	   	259.99	DCR|2VULN|2DMG|2TLV|2DUR|1MLV	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9FEWX|aMLV
8	31113 32262	   	259.89	DCR|2VULN|2DMG|2TLV|2DUR|1MLV	18TLV|28DUR|3MLV|47DMG|58VULN|6BBNT|8BPWR|9DUST|aRCR
9	31361 22265	   	258.04	DCR|2VULN|2DMG|2TLV|2DUR|1AART	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9CGEN|aAART
10	31361 22213	   	257.94	DCR|2VULN|2DMG|2TLV|2DUR|1AAC|1MSE	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MSE|aAAC
11	31361 22241	   	257.94	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9CDMG|aAME
12	31361 22242	   	257.94	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG|1SELL	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9CDMG|aSELL
13	31361 22245	   	257.94	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG|1MSE	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9CDMG|aMSE
14	31161 22134	   	255.95	DCR|2VULN|2TLV|2DUR|1DMG|1MLV|1CDMG	16TLV|25DUR|3MLV|46VULN|6BPWR|7DMG|8CDMG|9AEBURN|aRCR
15	13232 51314	 * 	255.04	DCR|DCR|1VULN|2DUR|1TLV	1MDPS|23DUR|4TLV|5LSRICY|6VULN|7LHND|8aRCR|9RPLT
16	13232 54314	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1MDPS|23DUR|4TLV|5LSRICY|6VULN|7FEWX|8aRCR|9RPLT
17	31113 64121	   	253.85	DCR|2VULN|3DUR|2TLV|1DMG|1MLV|1AAC	18TLV|268DUR|3MLV|4DMG|58VULN|7AAC|8BPWR|9MDPS|aRCR
18	31361 22263	   	251.33	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9CGEN|aASPD
19	31163 42163	 * 	249.54	DCR|3DMG|2TLV|1VULN|2DUR|1MLV	18TLV|28DUR|3MLV|4VULN|5RMIN|678DMG|8BPWR|9CGEN|aRCR
20	31423 42163	   	249.54	DCR|3DMG|2TLV|1VULN|2DUR|1MLV	18TLV|28DUR|3VULN|4MLV|5RMIN|678DMG|8BPWR|9CGEN|aRCR
21	34115 13236	 * 	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1AART	1TLV|2AEWIND|38RCR|4BOSS|5AART|6LHND|7MLV|9VULN|aDMG
22	34115 23236	   	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1AART	1TLV|2AEWIND|38RCR|4BOSS|5AART|6BEXP|7MLV|9VULN|aDMG
23	31353 32212	   	244.39	DCR|2VULN|2DMG|2TLV|2DUR	18TLV|28DUR|37DMG|4CGEN|58VULN|6BBNT|8BPWR|9FEWX|aRCR
24	31353 32232	   	244.39	DCR|2VULN|2DMG|2TLV|2DUR	18TLV|28DUR|37DMG|4CGEN|58VULN|6BBNT|8BPWR|9BEXP|aRCR
