0	Index      	 *	Score 	Summary	Detail	
1	13215 52134	 * 	265.13	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1AEBURN|2VULN|3ASPD|4CDMG|5FEWX|6TBNT|79RCR|8MLV|aTLV
2	31235 35334	 * 	260.65	DCR|DCR|2DMG|1VULN|2CDMG	1BEXP|25CDMG|345FEWX|5BPWR|6VULN|79RCR|8aDMG
3	31423 35334	   	260.65	DCR|DCR|2DMG|1VULN|2CDMG	135BEXP|23CDMG|3BPWR|4LWND|6VULN|79RCR|8aDMG
4	31235 35331	   	256.71	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1BEXP|25CDMG|345FEWX|5BPWR|6VULN|79RCR|8DMG|aDUR
5	31423 35331	   	256.71	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	135BEXP|23CDMG|3BPWR|4LWND|6VULN|79RCR|8DMG|aDUR
6	31463 35331	   	256.71	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	135BEXP|23CDMG|3BPWR|4FEWX|6VULN|79RCR|8DMG|aDUR
7	41235 35331	   	256.61	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DUST|25CDMG|345FEWX|5BPWR|6VULN|79RCR|8DMG|aDUR
8	23223 16155	 * 	256.04	DCR|DCR|1VULN|1TLV|1DMG	1ASPD|2RPLT|3LWND|4LSRHEA|5VULN|69RCR|7TLV|8FEWX|aDMG
9	13215 52135	   	252.58	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AEBURN|2VULN|3ASPD|4CDMG|5FEWX|6TBNT|79RCR|8MLV|aAAC
10	52612 32284	 * 	248.15	DCR|DCR|2DMG|1TLV|1CDMG	1MBVNT|23DMG|4CDMG|5RCVC|6TBNT|79RCR|8LWND|aTLV
11	52612 32484	   	248.15	DCR|DCR|2DMG|1TLV|1CDMG	1MBVNT|23DMG|4CDMG|5RCVC|6TBNT|79RCR|8BEXP|aTLV
12	52445 63233	 * 	245.39	DCR|2VULN|2DMG|2TLV|1DUR|1AART	1MBVNT|28DMG|37TLV|48MULHEA|58VULN|6AART|8BPWR|9RCR|aDUR
13	52446 15233	   	245.39	DCR|2VULN|2DMG|2TLV|1DUR|1AART	1MBVNT|28DMG|38TLV|4MULHEA|5AART|6AEWIND|78VULN|8BPWR|9RCR|aDUR
14	31613 14163	 * 	243.83	ACR|DCR|3DMG|2DUR|1AART|1CDMG	15aBEXP|2CDMG|3aDUR|47RCR|6AART|89aDMG|aBPWR
15	13116 12612	   	243.49	DCR|DCR|1VULN|1DMG|1CDMG	1AEBURN|2VULN|3RMIN|4CDMG|56LHND|7ASPD|89RCR|aDMG
16	31235 35335	   	243.06	DCR|DCR|1VULN|1DMG|2CDMG	1BEXP|25CDMG|345FEWX|5BPWR|6VULN|79RCR|8DMG|aRAT
17	31423 35335	   	243.06	DCR|DCR|1VULN|1DMG|2CDMG	135BEXP|23CDMG|3BPWR|4LWND|6VULN|79RCR|8DMG|aRAT
18	31235 35332	   	242.96	DCR|DCR|1VULN|1DMG|2CDMG	1BEXP|25CDMG|345FEWX|5BPWR|6VULN|79RCR|8DMG|aAIRHEA
19	31235 35333	   	242.96	DCR|DCR|1VULN|1DMG|2CDMG|1MSE	1BEXP|25CDMG|345FEWX|5BPWR|6VULN|79RCR|8DMG|aMSE
20	31423 35332	   	242.96	DCR|DCR|1VULN|1DMG|2CDMG	135BEXP|23CDMG|3BPWR|4LWND|6VULN|79RCR|8DMG|aAIRHEA
21	31423 35333	   	242.96	DCR|DCR|1VULN|1DMG|2CDMG|1MSE	135BEXP|23CDMG|3BPWR|4LWND|6VULN|79RCR|8DMG|aMSE
22	31463 35332	   	242.96	DCR|DCR|1VULN|1DMG|2CDMG	135BEXP|23CDMG|3BPWR|4FEWX|6VULN|79RCR|8DMG|aAIRHEA
23	31463 35333	   	242.96	DCR|DCR|1VULN|1DMG|2CDMG|1MSE	135BEXP|23CDMG|3BPWR|4FEWX|6VULN|79RCR|8DMG|aMSE
