0	Index      	 *	Score 	Summary	Detail	
1	21551 61312	 * 	280.31	DCR|4VULN|3FLTARM|2ASPD|1CDMG|1AAC	1AAC|2478VULN|348FLTARM|48BPWR|58ASPD|6RCR|9BOSS|aCDMG
2	14543 23323	 * 	279.73	DCR|DCR|2TLV|1VULN|1MLV|1DUR|1NUKE	1BOSS|2CGEN|3VULN|47TLV|5DUR|68RCR|9MLV|aNUKE
3	15543 23323	   	279.63	DCR|DCR|2TLV|1VULN|1MLV|1DUR|1NUKE	1BOSS|2ERES|3VULN|47TLV|5DUR|68RCR|9MLV|aNUKE
4	21553 11531	 * 	275.55	DCR|4VULN|2FLTARM|1TLV|1MLV|1AAC	1AAC|2456VULN|34FLTARM|4BPWR|7MLV|8TLV|9FEWX|aRCR
5	21553 11521	   	275.45	DCR|4VULN|2FLTARM|1TLV|1MLV|1AAC	1AAC|2456VULN|34FLTARM|4BPWR|7MLV|8TLV|9DUST|aRCR
6	42352 25221	 * 	270.34	DCR|DCR|4VULN	1AME|26CGEN|3456VULN|6BPWR|7DLOT|8aRCR|9LHND
7	42352 25231	   	270.34	DCR|DCR|4VULN	1AME|26CGEN|3456VULN|6BPWR|7DLOT|8aRCR|9LWND
8	14543 22323	   	269.40	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1NUKE	1BOSS|27CGEN|3VULN|4TLV|5DUR|68RCR|9MLV|aNUKE
9	14543 23322	   	268.73	DCR|DCR|2TLV|1VULN|1MLV|1DUR	1BOSS|2CGEN|3VULN|47TLV|5DUR|68RCR|9MLV|aZMB
10	15543 23322	   	268.63	DCR|DCR|2TLV|1VULN|1MLV|1DUR	1BOSS|2ERES|3VULN|47TLV|5DUR|68RCR|9MLV|aZMB
11	14543 23321	   	268.63	DCR|DCR|2TLV|1VULN|1MLV|1DUR	1BOSS|2CGEN|3VULN|47TLV|5DUR|68RCR|9MLV|aTSLARM
12	15543 23321	   	268.53	DCR|DCR|2TLV|1VULN|1MLV|1DUR	1BOSS|2ERES|3VULN|47TLV|5DUR|68RCR|9MLV|aTSLARM
13	21551 61321	   	266.66	DCR|4VULN|3FLTARM|2ASPD|1AAC	1AAC|2478VULN|348FLTARM|48BPWR|58ASPD|6RCR|9LHND|aBEXP
14	21551 61311	   	266.56	DCR|4VULN|3FLTARM|2ASPD|1AAC|1MSE	1AAC|2478VULN|348FLTARM|48BPWR|58ASPD|6RCR|9BOSS|aMSE
15	21551 61313	   	266.56	DCR|4VULN|3FLTARM|2ASPD|1AAC	1AAC|2478VULN|348FLTARM|48BPWR|58ASPD|6RCR|9BOSS|aAEFBLL
16	21551 61322	   	266.56	DCR|4VULN|3FLTARM|2ASPD|1AAC	1AAC|2478VULN|348FLTARM|48BPWR|58ASPD|6RCR|9LHND|aBBNT
17	21551 61323	   	266.56	DCR|4VULN|3FLTARM|2ASPD|1AAC	1AAC|2478VULN|348FLTARM|48BPWR|58ASPD|6RCR|9LHND|aAME
18	21551 61332	   	266.56	DCR|4VULN|3FLTARM|2ASPD|1AAC	1AAC|2478VULN|348FLTARM|48BPWR|58ASPD|6RCR|9ERES|aBEXP
19	21551 61331	   	266.46	DCR|4VULN|3FLTARM|2ASPD|1AAC	1AAC|2478VULN|348FLTARM|48BPWR|58ASPD|6RCR|9ERES|aTBNT
20	21551 61333	   	266.46	DCR|4VULN|3FLTARM|2ASPD|1AAC|1MSE	1AAC|2478VULN|348FLTARM|48BPWR|58ASPD|6RCR|9ERES|aMSE
21	42332 26124	   	264.93	DCR|DCR|3VULN|1DUR	1AME|246CGEN|356VULN|6BPWR|7aRCR|8LIT|9DUR
22	14543 23313	   	264.13	DCR|DCR|2TLV|1VULN|1DUR|1NUKE	1BOSS|2CGEN|3VULN|47TLV|5DUR|68RCR|9RMIN|aNUKE
23	15543 23313	   	264.03	DCR|DCR|2TLV|1VULN|1DUR|1NUKE	1BOSS|2ERES|3VULN|47TLV|5DUR|68RCR|9RMIN|aNUKE
24	14543 23333	   	264.03	DCR|DCR|2TLV|1VULN|1DUR|1NUKE	1BOSS|2CGEN|3VULN|47TLV|5DUR|68RCR|9AME|aNUKE
25	15543 23333	   	263.93	DCR|DCR|2TLV|1VULN|1DUR|1NUKE	1BOSS|2ERES|3VULN|47TLV|5DUR|68RCR|9AME|aNUKE
26	12122 11641	 * 	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1BOSS|2BBNT|3TBNT|4DUR|5LWND|68RCR|7DMG|9VULN|aTLV
27	21551 61212	   	262.47	DCR|3VULN|2FLTARM|1DUR|1AART|1CDMG|1AAC	1AAC|247VULN|34FLTARM|4BPWR|5ASPD|6RCR|8DUR|9CDMG|aAART
28	24633 23231	 * 	260.55	DCR|DCR|3DUR|1VULN|1DMG|1AAC	1AAC|247DUR|3BOSS|4BPWR|5DMG|69RCR|8VULN|aZMB
29	24633 23232	   	260.55	DCR|DCR|3DUR|1VULN|1DMG|1AAC	1AAC|247DUR|3BOSS|4BPWR|5DMG|69RCR|8VULN|aLWND
30	24633 23235	   	260.55	DCR|DCR|3DUR|1VULN|1DMG|1AAC	1AAC|247DUR|3BOSS|4BPWR|5DMG|69RCR|8VULN|aDMSP
31	24633 23236	   	260.55	DCR|DCR|3DUR|1VULN|1DMG|1AAC	1AAC|247DUR|3BOSS|4BPWR|5DMG|69RCR|8VULN|aRPLT
32	24633 23233	   	260.45	DCR|DCR|3DUR|1VULN|1DMG|1AAC	1AAC|247DUR|3BOSS|4BPWR|5DMG|69RCR|8VULN|aAEFBLL
33	24633 23234	   	260.45	DCR|DCR|3DUR|1VULN|1DMG|1AAC	1AAC|247DUR|3BOSS|4BPWR|5DMG|69RCR|8VULN|aERES
34	24633 23433	   	260.45	DCR|DCR|3DUR|1VULN|1DMG|1AAC	1AAC|247DUR|3BOSS|4BPWR|5DMG|69RCR|8DUST|aVULN
35	21553 13422	   	259.70	DCR|4VULN|2FLTARM|1TLV|1AAC|1SELL	1AAC|2456VULN|34FLTARM|4BPWR|7BEXP|8RCR|9SELL|aTLV
36	11531 35522	 * 	258.91	ACR|DCR|3VULN|2MLV|1AART	12BOSS|34aVULN|58RCR|6AART|7aERES|9aMLV|aBPWR
37	13531 35522	   	258.91	ACR|DCR|3VULN|2MLV|1AART	1BOSS|2DMSP|34aVULN|58RCR|6AART|7aERES|9aMLV|aBPWR
