0	Index      	 *	Score 	Summary	Detail	
1	31611 32426	 * 	262.85	DCR|DCR|2VULN|1DMG|1DUR	1DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8LIT|9aVULN
2	66112 12215	 * 	258.19	DCR|DCR|1VULN|2DUR|1MLV|1AART	1aDUR|2BELT|3MLV|4VULN|5BBNT|68RCR|7CGEN|9AART
3	31611 32166	   	257.24	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8CDMG|9ASPD|aVULN
4	15122 43123	 * 	256.24	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1TSLFST|2AEFRZ|3VULN|4BELT|5AART|6ZMB|7CDMG|8TLV|9aRCR
5	15122 44123	   	256.24	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1TSLFST|2AEFRZ|3VULN|4BELT|5AART|6ZMB|7TLV|8CDMG|9aRCR
6	35116 32523	   	256.04	DCR|DCR|2VULN|1DMG	1DMG|2ASPD|3LHND|4RMIN|5BEXP|68VULN|7aRCR|9BBNT
7	31611 32415	 * 	254.24	DCR|DCR|2DMG|1VULN|1DUR	19DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8LIT|aVULN
8	31611 32424	   	254.24	DCR|DCR|2DMG|1VULN|1DUR	1aDMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8LIT|9VULN
9	31611 32616	   	254.24	DCR|DCR|2DMG|1VULN|1DUR	19DMG|2RPLT|3DUR|4RMIN|58RAT|67RCR|aVULN
10	12261 31443	   	253.94	DCR|DCR|2DMG|1VULN|1DUR	1TSLFST|25DMG|3RAT|4VULN|6AIRHEA|7BBNT|89RCR|aDUR
11	66112 12211	   	252.68	DCR|DCR|1VULN|1MLV|1DUR|1AART	1DUR|2BELT|3MLV|4VULN|5BBNT|68RCR|7CGEN|9AART|aASPD
12	66112 12232	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1DUR|2BELT|3MLV|4VULN|5BBNT|68RCR|7CGEN|9FEWX|aDMG
13	66112 12243	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1DUR|2BELT|3MLV|4VULN|5BBNT|68RCR|79CGEN|aDMG
