0	Index      	 *	Score 	Summary	Detail	
1	11671 22261	 * 	271.24	DCR|DCR|3VULN|1DMG|1AAC	14aVULN|2DMSP|3MBVNT|5AAC|6RAT|7DMG|89RCR
2	11672 32261	   	271.24	DCR|DCR|3VULN|1DMG	14aVULN|2DMSP|3MBVNT|5RAT|6ZMB|7DMG|89RCR
3	12113 13633	 * 	268.79	DCR|DCR|2VULN|1TLV|1DUR	1aVULN|2BEXP|3TLV|4AIRBOS|5DUR|6ERES|7BOSS|89RCR
4	12453 13633	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1aVULN|2BEXP|3DUR|4TLV|5BLAICY|6ERES|7BOSS|89RCR
5	21625 22251	 * 	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1RPLT|2AEFRZ|3TLV|4AME|5CDMG|6RAT|7DMG|89RCR|aVULN
6	51511 22521	 * 	262.55	DCR|DCR|1VULN|2DUR|1DMG|1CDMG	1BELT|2VULN|3MDPS|4CDMG|59DUR|68RCR|7AEWIND|aDMG
7	51511 22532	   	258.09	DCR|DCR|1VULN|2DUR|1MLV|1CDMG	1BELT|2VULN|3MDPS|4CDMG|5aDUR|68RCR|7AEWIND|9MLV
8	12115 13633	   	255.14	DCR|DCR|2VULN|1TLV	1aVULN|2BEXP|3TLV|4AIRBOS|5ERES|6LHND|7BOSS|89RCR
9	12116 13633	   	255.14	DCR|DCR|2VULN|1TLV	1aVULN|2BEXP|3TLV|4AIRBOS|5FEWX|6ERES|7BOSS|89RCR
10	12122 16633	   	255.14	DCR|DCR|2VULN|1TLV	1aVULN|2BEXP|3TLV|4ERES|5LIT|6FEWX|7AIRARM|89RCR
11	12153 13633	   	255.14	DCR|DCR|2VULN|1TLV	1aVULN|2BEXP|3TLV|4LHND|5BLAICY|6ERES|7BOSS|89RCR
12	12253 13633	   	255.14	DCR|DCR|2VULN|1TLV	1aVULN|2BEXP|3LHND|4TLV|5BLAICY|6ERES|7BOSS|89RCR
13	36411 33633	   	255.14	DCR|DCR|2VULN|1TLV	1SNIFST|26RMIN|3BOSS|4TLV|5aVULN|7MDPS|89RCR
14	51511 22531	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1BELT|2VULN|3MDPS|4CDMG|5DUR|68RCR|7AEWIND|9MLV|aASPD
15	51431 25232	 * 	250.05	DCR|3VULN|2DMG|1TLV|2CDMG	1BELT|237VULN|4RMIN|57CDMG|67DMG|7BPWR|8MULHEA|9RCR|aTLV
