0	Index      	 *	Score 	Summary	Detail	
1	21211 32316	 * 	263.38	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1FEWX|2RCVC|3CDMG|4ASPD|5AART|6TLV|7CGEN|89RCR|aVULN
2	21211 61311	 * 	263.28	DCR|DCR|1VULN|2DUR|1AART|1CDMG	1FEWX|2RCVC|3CDMG|4ASPD|5AART|67DUR|89RCR|aVULN
3	65124 33211	 * 	261.01	DCR|2VULN|3DUR|2DMG|1TLV|1MLV	1SPLJET|29aDUR|3MLV|4TLV|59VULN|6RCR|7AEPOI|89DMG|9BPWR
4	12223 32217	 * 	255.24	DCR|DCR|2VULN|1FLTARM	1CGEN|2RPLT|38VULN|4FLTARM|5RCVC|6MBVNT|7aRCR|9BOSS
5	12223 32287	   	255.24	DCR|DCR|2VULN|1FLTARM	1CGEN|2RPLT|38VULN|4FLTARM|5RCVC|6MBVNT|7aRCR|9LIT
6	12225 32217	   	255.24	DCR|DCR|2VULN|1FLTARM	15CGEN|2RPLT|38VULN|4FLTARM|6MBVNT|7aRCR|9BOSS
7	12225 32287	   	255.24	DCR|DCR|2VULN|1FLTARM	15CGEN|2RPLT|38VULN|4FLTARM|6MBVNT|7aRCR|9LIT
8	14123 32217	   	255.24	DCR|DCR|2VULN|1FLTARM	1CGEN|28VULN|3RPLT|4FLTARM|5RCVC|6MBVNT|7aRCR|9BOSS
9	14123 32287	   	255.24	DCR|DCR|2VULN|1FLTARM	1CGEN|28VULN|3RPLT|4FLTARM|5RCVC|6MBVNT|7aRCR|9LIT
10	14125 32217	   	255.24	DCR|DCR|2VULN|1FLTARM	15CGEN|28VULN|3RPLT|4FLTARM|6MBVNT|7aRCR|9BOSS
11	31151 21262	 * 	254.10	ACR|DCR|3VULN|2TLV	1BELT|28RCR|3aCGEN|49aVULN|56RPLT|7aTLV|aBPWR
12	31351 21262	   	253.90	ACR|DCR|3VULN|2TLV	1BELT|28RCR|3aERES|49aVULN|56RPLT|7aTLV|aBPWR
13	31351 41262	   	253.80	ACR|DCR|3VULN|2TLV	1BELT|28RCR|36aERES|49aVULN|5RPLT|7aTLV|aBPWR
14	21211 32314	 * 	251.35	DCR|DCR|1TLV|1DMG|1AART|1CDMG	1FEWX|2RCVC|3CDMG|4ASPD|5AART|6TLV|7CGEN|89RCR|aDMG
15	21211 61314	 * 	251.25	DCR|DCR|2DUR|1DMG|1AART|1CDMG	1FEWX|2RCVC|3CDMG|4ASPD|5AART|67DUR|89RCR|aDMG
16	65124 33212	   	249.46	DCR|2VULN|2DMG|2DUR|1TLV|1MLV	1aSPLJET|29DUR|3MLV|4TLV|59VULN|6RCR|7AEPOI|89DMG|9BPWR
17	65124 33213	   	249.46	DCR|2VULN|2DMG|2DUR|1TLV|1MLV	1SPLJET|29DUR|3MLV|4TLV|59VULN|6RCR|7AEPOI|89DMG|9BPWR|aERES
18	21211 61312	 * 	249.45	DCR|DCR|3DUR|2ASPD|1AART|1CDMG	1aFEWX|2RCVC|3CDMG|4aASPD|5AART|67aDUR|89RCR|aBPWR
