0	Index      	 *	Score 	Summary	Detail	
1	22243 31361	 * 	371.68	紫2双倍秒伤2易伤1时间	1双倍矿2随机矿3核4赏金邻近58易伤6雷电减费7时间9a双倍秒伤
2	63312 61215	 * 	371.10	橙2易伤1双倍秒伤1等级1时间1全技能	1全技能23低血量敌人4雷电58易伤6等级7核9时间a双倍秒伤
3	23122 56153	 * 	359.34	2双倍秒伤2易伤1暴击1伤害1时间	1双倍矿2时间3最后敌人4伤害57易伤6暴击8a双倍秒伤9掉矿
4	23216 33168	 * 	358.34	橙2易伤1双倍秒伤1暴击1时间	1双倍矿2时间3烈焰减费4挖尘5加一6暴击79易伤8核a双倍秒伤
5	23131 61421	 * 	355.44	橙2易伤1双倍秒伤3时间	1双倍矿248时间34最后敌人48序列升级58基地爆炸6核78易伤9策反a双倍秒伤
6	23131 61411	   	355.34	橙2易伤1双倍秒伤3时间	1双倍矿248时间34最后敌人48序列升级58基地爆炸6核78易伤9喷火对黄a双倍秒伤
7	23131 61431	   	355.34	橙2易伤1双倍秒伤3时间	1双倍矿248时间34最后敌人48序列升级58基地爆炸6核78易伤9掉矿a双倍秒伤
8	23611 61421	   	355.24	橙2易伤1双倍秒伤3时间	1双倍矿238时间4挖尘58基地爆炸6核78易伤8序列升级9策反a双倍秒伤
9	23611 61411	   	355.14	橙2易伤1双倍秒伤3时间	1双倍矿238时间4挖尘58基地爆炸6核78易伤8序列升级9喷火对黄a双倍秒伤
10	23611 61431	   	355.14	橙2易伤1双倍秒伤3时间	1双倍矿238时间4挖尘58基地爆炸6核78易伤8序列升级9掉矿a双倍秒伤
11	23122 62253	 * 	352.84	橙3易伤2伤害1暴击2时间	1双倍矿28时间3最后敌人48伤害568易伤7技能8序列升级9暴击a核
12	63312 21215	   	344.89	橙2易伤1双倍秒伤1时间1全技能	1全技能23低血量敌人4雷电58易伤6随机矿7核9时间a双倍秒伤
13	63351 21215	   	344.89	橙2易伤1双倍秒伤1时间1全技能	1全技能23低血量敌人48易伤5雷电6随机矿7核9时间a双倍秒伤
14	66441 63232	   	344.79	橙2易伤1双倍秒伤1时间1全技能	1全技能2加一3基地爆炸4随机技能58易伤6核7时间9敌人爆炸a双倍秒伤
15	62134 53428	   	344.79	橙2易伤1双倍秒伤1时间1全技能	1全技能24毒液对毒3加一4序列升级5时间67易伤8核9立即金币a双倍秒伤
16	62134 53481	   	344.79	橙2易伤1双倍秒伤1时间1全技能	1全技能24毒液对毒3加一4序列升级5时间67易伤8核9随机矿a双倍秒伤
17	62134 53417	   	344.69	橙2易伤1双倍秒伤1时间1全技能	1全技能24毒液对毒3加一4序列升级5时间67易伤8核9防空对愈a双倍秒伤
18	62134 53448	   	344.69	橙2易伤1双倍秒伤1时间1全技能	1全技能24毒液对毒3加一4序列升级5时间67易伤8核9烈焰减费a双倍秒伤
19	21631 61421	   	344.00	橙2易伤1双倍秒伤2时间	1双倍矿248最后敌人34时间48序列升级58基地爆炸6核78易伤9策反a双倍秒伤
20	21631 61411	   	343.90	橙2易伤1双倍秒伤2时间	1双倍矿248最后敌人34时间48序列升级58基地爆炸6核78易伤9喷火对黄a双倍秒伤
21	21631 61431	   	343.90	橙2易伤1双倍秒伤2时间	1双倍矿248最后敌人34时间48序列升级58基地爆炸6核78易伤9掉矿a双倍秒伤
