0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12614 23223	8	 * 	284.63	DCR|4VULN|2DMG|2DUR	134BEXP|248aVULN|4aBPWR|5LIT|6aDMG|7aDUR|9RCR
2	12433 31124	7	 * 	284.27	DCR|3VULN|3DMG|2ASPD|1DUR	1aBEXP|249VULN|34aDMG|4aBPWR|5DUR|6LIT|7RCR|8aASPD
3	62235 25323	7	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1NUKE	1NUKE|247VULN|34DUR|47BPWR|57DMG|67FEWX|8TLV|9RCR|aCDMG
4	62235 35323	7	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1NUKE	1NUKE|247VULN|34DUR|47BPWR|57DMG|67LWND|8TLV|9RCR|aCDMG
5	62232 31124	7	 * 	281.32	DCR|4VULN|3DUR|2ASPD|1NUKE	1NUKE|249aVULN|34aDUR|4aBPWR|5BEXP|6LIT|7RCR|8aASPD
6	62234 31124	7	   	281.32	DCR|4VULN|3DUR|2ASPD|1NUKE	1NUKE|249aVULN|34aDUR|4aBPWR|5LWND|6LIT|7RCR|8aASPD
7	63213 14822	6	 * 	280.66	DCR|4VULN|3DMG|3LIT|1NUKE|1SELL	1NUKE|2SELL|3MBVNT|48aDMG|58aLIT|6RCR|789aVULN|8aBPWR
8	12433 21154	8	 * 	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1BEXP|247VULN|34DMG|4BPWR|56aDUR|8CDMG|9RCR
9	12433 21113	9	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1BEXP|247VULN|34DMG|4BPWR|569DUR|8CDMG|aRCR
10	12433 21163	8	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1BEXP|247VULN|34DMG|4BPWR|569DUR|8CDMG|aRCR
11	53213 42352	7	 * 	280.35	DCR|4VULN|3DMG|1ASPD	17LWND|2LIT|3457VULN|678DMG|7BPWR|9ASPD|aRCR
12	62235 25133	10	 * 	280.24	DCR|3VULN|3DMG|2DUR|1ASPD|1NUKE	1NUKE|247VULN|34DUR|47BPWR|57aDMG|67FEWX|8ASPD|9RCR
13	62235 25123	8	   	278.24	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD|1NUKE	1NUKE|247VULN|34DUR|47BPWR|57DMG|67FEWX|8ASPD|9RCR|aCDMG
14	62235 25133	9	   	278.24	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD|1NUKE	1NUKE|247VULN|34DUR|47BPWR|57DMG|67FEWX|8ASPD|9RCR|aCDMG
15	62235 35123	8	   	278.24	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD|1NUKE	1NUKE|247VULN|34DUR|47BPWR|57DMG|67LWND|8ASPD|9RCR|aCDMG
16	62235 35133	9	   	278.24	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD|1NUKE	1NUKE|247VULN|34DUR|47BPWR|57DMG|67LWND|8ASPD|9RCR|aCDMG
17	11234 52432	4	 * 	278.18	DCR|5VULN|2DUR|2CDMG	18BEXP|2RCVC|35DUR|4568aVULN|58BPWR|78CDMG|9RCR
18	12433 31526	8	   	277.11	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1BEXP|249VULN|34DMG|4BPWR|5DUR|6LIT|7RCR|8TLV|aCDMG
19	12433 31642	7	   	276.60	DCR|4VULN|2DMG|1DUR|2LIT	1aBEXP|249aVULN|34DMG|4aBPWR|5DUR|6aLIT|7RCR|8RPLT
