0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12114 43341	1	 * 	267.90	DCR|5VULN|1TLV|1DMG	1LIT|2RPLT|34589VULN|6TLV|7RCR|aDMG
2	45134 23211	4	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1CDMG|2459VULN|3ASPD|6TLV|7ZMB|8RCR|aDMG
3	25531 47423	9	 * 	261.98	DCR|3VULN|2DMG|2TLV|1DUR|1SELL	1SELL|29TLV|3DUR|4MBVNT|59aVULN|69DMG|7RCR|8RPLT|9BPWR
4	12114 43342	1	   	261.49	DCR|5VULN|1TLV|1CDMG	1LIT|2RPLT|34589VULN|6TLV|7RCR|aCDMG
5	45321 14322	10	 * 	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	1CDMG|2aVULN|3LWND|4DUR|5AART|6aTLV|7ZMB|8aDMG|9RCR|aBPWR
6	25543 13212	10	 * 	260.33	DCR|4VULN|2TLV|1DUR|2LIT|1SELL	1SELL|27TLV|3DUR|47LIT|5679VULN|7BPWR|8LHND|aRCR
7	45135 32211	6	 * 	259.57	DCR|4VULN|1DMG|2CDMG|1DUR	15CDMG|2469VULN|3ASPD|7DUR|8RCR|aDMG
8	41113 33343	5	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2CGEN|3LIT|489VULN|5TLV|6DMG|7RCR|aDUR
9	13611 12435	8	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|2CGEN|3DUR|46aVULN|5CDMG|7TLV|8RCR|9DMG
10	41113 25335	5	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2CGEN|3LIT|48aVULN|5TLV|6RCR|7DUR|9DMG
11	42112 43343	4	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2ERES|3LIT|489VULN|5DMG|6TLV|7RCR|aDUR
12	42612 13343	1	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2TLV|3LIT|4ERES|5DMG|689VULN|7RCR|aDUR
13	11611 12435	8	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|2ERES|3DUR|46aVULN|5CDMG|7TLV|8RCR|9DMG
14	12114 43336	1	 * 	253.83	DCR|4VULN|2TLV|1DUR	1LIT|2RPLT|3458VULN|69TLV|7RCR|aDUR
15	13366 21361	2	 * 	253.13	DCR|3VULN|2DUR|1TLV|1CDMG	1LIT|29CGEN|3TLV|4CDMG|59DUR|6RCR|7BEXP|89aVULN|9BPWR
16	13366 21361	1	   	253.13	DCR|3VULN|2DUR|1TLV|1CDMG	1LIT|29CGEN|3TLV|4CDMG|59DUR|6RCR|7BEXP|89aVULN|9BPWR
17	52235 33353	10	 * 	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	18ERES|278VULN|36TLV|4BEXP|58DUR|8BPWR|9CDMG|aRCR
18	53261 23363	9	   	252.60	DCR|3VULN|2TLV|2DUR|1CDMG	18ERES|2MBVNT|347VULN|58DUR|68TLV|8BPWR|9CDMG|aRCR
19	13663 13142	5	 * 	252.51	DCR|3VULN|3DUR|1TLV	1LIT|2CGEN|345DUR|6RCR|7TLV|89aVULN
20	53261 23324	8	 * 	252.18	DCR|3VULN|3DUR|2TLV	18ERES|2MBVNT|347VULN|58aDUR|68TLV|8BPWR|9RCR
21	12114 43332	1	   	251.23	DCR|4VULN|2TLV|1CDMG	1LIT|2RPLT|3458VULN|69TLV|7RCR|aCDMG
22	11611 12453	10	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LIT|2ERES|3DUR|46VULN|5CDMG|7TLV|8RCR|9aDMG
23	25531 47423	10	   	250.93	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1SELL	1SELL|29TLV|3DUR|4MBVNT|59VULN|69DMG|7RCR|8RPLT|9BPWR|aCDMG
24	42121 53242	1	 * 	250.80	DCR|2VULN|2DMG|2TLV|2CDMG|1AART	18CDMG|28TLV|3BBNT|4DUST|59VULN|68DMG|7AART|8BPWR|aRCR
25	12114 43352	1	   	249.56	DCR|4VULN|1TLV|1DMG	1LIT|2RPLT|3458VULN|6TLV|7RCR|9DMG|aBEXP
26	12114 43351	1	   	249.46	DCR|4VULN|1TLV|1DMG	1LIT|2RPLT|3458VULN|6TLV|7RCR|9DMG|aDUST
27	63844 72233	9	 * 	249.46	DCR|4VULN|1TLV|2CDMG	1ZMB|2MBVNT|35CDMG|4568VULN|5BPWR|7ASPD|9RCR|aTLV
28	13631 22341	10	 * 	249.38	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	15LIT|2CGEN|36DUR|45TLV|5BPWR|7RCR|8DMG|9aVULN
29	13631 22346	9	   	249.38	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	15LIT|2CGEN|36DUR|45TLV|5BPWR|7RCR|8DMG|9aVULN
30	52253 21343	8	 * 	249.33	DCR|4VULN|2TLV|1DMG	18ERES|2789VULN|36TLV|4DMG|58LWND|8BPWR|aRCR
31	52253 21343	9	   	249.33	DCR|4VULN|2TLV|1DMG	18ERES|2789VULN|36TLV|4DMG|58LWND|8BPWR|aRCR
32	12114 43353	1	   	249.31	DCR|4VULN|1TLV|1DMG|1SELL	1LIT|2RPLT|3458VULN|6TLV|7RCR|9DMG|aSELL
33	25113 23364	6	   	249.21	DCR|4VULN|1TLV|1DMG|1SELL	1SELL|2TLV|3LIT|458aVULN|6MBVNT|7RCR|9DMG
34	45135 23211	5	 * 	248.47	DCR|3VULN|1TLV|1DMG|2CDMG	15CDMG|249VULN|3ASPD|6TLV|7ZMB|8RCR|aDMG
35	13611 12436	8	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1LIT|2CGEN|3aDUR|46VULN|5CDMG|7TLV|8RCR|9DMG
36	41113 25135	5	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1CDMG|2CGEN|3LIT|4aVULN|5TLV|6RCR|78DUR|9DMG
37	41113 25336	5	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1CDMG|2CGEN|3LIT|48VULN|5TLV|6RCR|7aDUR|9DMG
38	11611 12436	8	   	248.20	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1LIT|2ERES|3aDUR|46VULN|5CDMG|7TLV|8RCR|9DMG
39	12114 43325	1	   	247.84	DCR|5VULN|1TLV	1LIT|2RPLT|3458aVULN|6TLV|7RCR|9LHND
40	12114 43343	1	   	247.84	DCR|5VULN|1TLV	1LIT|2RPLT|34589VULN|6TLV|7RCR|aCGEN
41	12114 43315	1	   	247.74	DCR|5VULN|1TLV	1LIT|2RPLT|3458aVULN|6TLV|7RCR|9DUST
42	45121 23532	6	 * 	247.68	DCR|4VULN|2DUR|1CDMG	1CDMG|259aVULN|3ASPD|47DUR|6DUST|8RCR
43	45131 23532	6	   	247.68	DCR|4VULN|2DUR|1CDMG	1CDMG|249aVULN|3ASPD|57DUR|6DUST|8RCR
44	41312 21424	2	 * 	247.45	DCR|3VULN|2DMG|3CDMG|1AART	13aCDMG|2CGEN|48aVULN|5AART|6RCR|7RPLT|9aDMG|aBPWR
45	25262 21361	5	   	247.31	DCR|3VULN|2TLV|2DUR|1SELL	1SELL|29TLV|3CGEN|49DUR|5LIT|6RCR|7BEXP|89aVULN|9BPWR
46	54231 41323	8	   	247.26	DCR|3VULN|2TLV|2DUR	168ERES|28DUR|37aVULN|4ASPD|58TLV|8BPWR|9RCR
47	21421 53136	7	 * 	247.22	DCR|3DUR|1VULN|2DMG|1TLV|2CDMG|1SELL	1SELL|2RMIN|378DUR|4TLV|57DMG|67CDMG|7BPWR|9RCR|aVULN
48	63844 71133	7	 * 	247.19	DCR|4VULN|1TLV|3CDMG	1ZMB|2MBVNT|357CDMG|4569VULN|5BPWR|8TLV|aRCR
49	25531 47424	9	   	246.94	DCR|2VULN|2DMG|2TLV|1DUR|1AART|1SELL	1SELL|29TLV|3DUR|4MBVNT|59VULN|69DMG|7RCR|8RPLT|9BPWR|aAART
50	64231 53121	7	 * 	246.81	DCR|2VULN|3DMG|3DUR	17ZMB|248DUR|37VULN|5RCVC|679DMG|7BPWR|aRCR
51	43143 12411	9	   	246.65	DCR|3VULN|1TLV|1DUR|1CDMG	1CDMG|2BEXP|3ASPD|4LIT|56aVULN|7TLV|8RCR|9DUR
52	43143 12421	8	   	246.65	DCR|3VULN|1TLV|1DUR|1CDMG	1CDMG|2BEXP|3ASPD|4LIT|56aVULN|7TLV|8RCR|9DUR
53	25113 23468	8	   	246.24	DCR|3VULN|2TLV|2LIT|1CDMG|1AART|1SELL	1SELL|27TLV|37LIT|457VULN|6MBVNT|7BPWR|8CDMG|9AART|aRCR
54	62251 24321	10	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1ZMB|25aVULN|3TLV|4BELT|6AART|7DMG|8DUR|9RCR
55	52235 11141	10	   	246.01	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1ERES|27aVULN|3TLV|4BEXP|5DUR|6AART|8DMG|9RCR
56	13632 31246	10	   	245.93	DCR|3VULN|2DUR|1TLV|2LIT	1aLIT|2CGEN|3aDUR|4TLV|5LWND|69aVULN|7LEGI|8RCR|aBPWR
57	52225 11141	10	   	245.91	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1ERES|27aVULN|3TLV|4DUST|5DUR|6AART|8DMG|9RCR
58	63231 21483	7	 * 	245.87	DCR|3VULN|2DMG|2TLV	19ZMB|2MBVNT|379VULN|4ERES|56TLV|89DMG|9BPWR|aRCR
59	63231 23483	6	   	245.87	DCR|3VULN|2DMG|2TLV	19ZMB|2MBVNT|379VULN|4ERES|56TLV|89DMG|9BPWR|aRCR
60	11632 31246	10	   	245.83	DCR|3VULN|2DUR|1TLV|2LIT	1aLIT|2ERES|3aDUR|4TLV|5LWND|69aVULN|7LEGI|8RCR|aBPWR
61	13635 21361	4	   	245.78	DCR|3VULN|2DUR|1TLV|2LIT|1SELL	19LIT|2CGEN|39DUR|4TLV|5SELL|6RCR|7BEXP|89aVULN|9BPWR
62	53211 21483	7	   	245.77	DCR|3VULN|2DMG|2TLV	19ERES|2MBVNT|379VULN|4ZMB|56TLV|89DMG|9BPWR|aRCR
63	53211 23483	6	   	245.77	DCR|3VULN|2DMG|2TLV	19ERES|2MBVNT|379VULN|4ZMB|56TLV|89DMG|9BPWR|aRCR
64	22111 12466	10	   	245.75	DCR|3VULN|2DMG|1TLV|1SELL	1SELL|2aERES|3LIT|46aVULN|5DUST|7TLV|8RCR|9aDMG|aBPWR
65	22112 43346	4	   	245.75	DCR|3VULN|2DMG|1TLV|1SELL	1SELL|2ERES|3LIT|489VULN|5aDMG|6TLV|7RCR
66	25112 13346	3	   	245.75	DCR|3VULN|2DMG|1TLV|1SELL	1SELL|2TLV|3LIT|4ERES|5aDMG|689VULN|7RCR
67	12114 43326	1	   	245.75	DCR|4VULN|1TLV|1DUR	1LIT|2RPLT|3458VULN|6TLV|7RCR|9LHND|aDUR
68	12114 43316	1	   	245.65	DCR|4VULN|1TLV|1DUR	1LIT|2RPLT|3458VULN|6TLV|7RCR|9DUST|aDUR
69	25531 47422	10	   	245.59	DCR|2VULN|2DMG|2TLV|1DUR|1SELL	1SELL|29TLV|3DUR|4MBVNT|59VULN|69DMG|7RCR|8RPLT|9BPWR|aLIT
70	62261 21623	9	   	245.52	DCR|4VULN|2TLV|1DUR	1ZMB|2789VULN|36TLV|4RMIN|5DUR|aRCR
71	52214 21343	9	   	245.42	DCR|4VULN|2TLV|2ASPD	18ERES|2789VULN|36TLV|4LWND|58ASPD|8BPWR|aRCR
72	52214 21343	8	   	245.42	DCR|4VULN|2TLV|2ASPD	18ERES|2789VULN|36TLV|4LWND|58ASPD|8BPWR|aRCR
73	25113 23357	6	   	245.40	DCR|4VULN|1TLV|1DUR|1SELL	1SELL|2TLV|3LIT|4589VULN|6MBVNT|7RCR|aDUR
74	52224 21343	9	   	245.32	DCR|4VULN|2TLV|2ASPD	18ERES|2789VULN|36TLV|4DUST|58ASPD|8BPWR|aRCR
75	52224 21343	8	   	245.32	DCR|4VULN|2TLV|2ASPD	18ERES|2789VULN|36TLV|4DUST|58ASPD|8BPWR|aRCR
76	25113 63343	6	   	245.26	DCR|4VULN|1TLV|1DUR|2SELL	16SELL|2TLV|3LIT|4589VULN|7RCR|aDUR
77	53461 23813	9	 * 	244.90	DCR|2VULN|3DMG|1TLV|1DUR	18ERES|2MBVNT|3RMIN|489DMG|5DUR|6TLV|78VULN|8BPWR|aRCR
78	53461 23823	8	   	244.90	DCR|2VULN|3DMG|1TLV|1DUR	18ERES|2MBVNT|3RMIN|489DMG|5DUR|6TLV|78VULN|8BPWR|aRCR
79	25113 23482	8	   	244.89	DCR|3VULN|2TLV|2LIT|1CDMG|1SELL	1SELL|27TLV|37LIT|457VULN|6MBVNT|7BPWR|8CDMG|9RCR|aASPD
80	45133 32211	7	   	244.85	DCR|4VULN|1DMG|2ASPD|1CDMG	1CDMG|2469VULN|37ASPD|5LHND|8RCR|aDMG
81	44122 33363	5	   	244.76	DCR|3VULN|1TLV|2CDMG|2ASPD	19CDMG|2LWND|39ASPD|4TLV|5LIT|6RMIN|7RCR|89aVULN|9BPWR
82	13345 33343	1	   	244.51	DCR|3VULN|1TLV|1DMG|1DUR|1SELL	1LIT|2CGEN|3TLV|489VULN|5SELL|6DMG|7RCR|aDUR
83	13345 33343	2	   	244.51	DCR|3VULN|1TLV|1DMG|1DUR|1SELL	1LIT|2CGEN|3TLV|489VULN|5SELL|6DMG|7RCR|aDUR
84	24123 12435	8	   	244.51	DCR|3VULN|1TLV|1DMG|1DUR|1SELL	1SELL|2LIT|3DUR|4RMIN|56aVULN|7TLV|8RCR|9DMG
85	22112 43343	4	   	244.41	DCR|3VULN|1TLV|1DMG|1DUR|1SELL	1SELL|2ERES|3LIT|489VULN|5DMG|6TLV|7RCR|aDUR
86	25111 16411	9	   	244.41	DCR|3VULN|1TLV|1DMG|1DUR|1SELL	1SELL|2TLV|3LIT|46aVULN|5DUST|7DMG|8RCR|9DUR
