0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46125 12331	10	 * 	292.55	DCR|4VULN|3DMG|3DUR	19aDUR|2DUST|3RMIN|479aVULN|5LEGI|6RCR|89aDMG|9aBPWR
2	21131 32435	7	 * 	285.41	DCR|4VULN|3DUR|1TLV|1DMG	18ERES|268DUR|3TLV|4LWND|5678VULN|68BPWR|9DMG|aRCR
3	21151 32435	7	   	285.41	DCR|4VULN|3DUR|1TLV|1DMG	18ERES|268DUR|3TLV|4LHND|5678VULN|68BPWR|9DMG|aRCR
4	21331 32435	7	   	285.41	DCR|4VULN|3DUR|1TLV|1DMG	18ERES|268DUR|3LWND|4TLV|5678VULN|68BPWR|9DMG|aRCR
5	41162 13263	4	 * 	273.97	DCR|2VULN|3DUR|2DMG|1TLV	157DUR|27DMG|3TLV|4BEXP|67VULN|7BPWR|8ASPD|9LIT|aRCR
6	41112 13142	3	 * 	272.91	DCR|2VULN|3DMG|3DUR|1TLV	157DUR|279DMG|3TLV|4FEWX|67VULN|7BPWR|8DUST|aRCR
7	41112 13362	3	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	157DUR|278DMG|3TLV|4FEWX|67VULN|7BPWR|9DUST|aRCR
8	41162 13142	4	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	157DUR|279DMG|3TLV|4BEXP|67VULN|7BPWR|8DUST|aRCR
9	41162 13362	4	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	157DUR|278DMG|3TLV|4BEXP|67VULN|7BPWR|9DUST|aRCR
10	11522 32227	4	   	271.30	DCR|3VULN|3DMG|3DUR	156DUST|27aDMG|37aDUR|47aVULN|7aBPWR|8RCR|9MBVNT
11	43323 81533	9	 * 	270.47	DCR|5VULN|2DUR|1TLV	19DUR|29BEXP|34689VULN|5MBVNT|7RCR|9BPWR|aTLV
12	43323 21572	10	   	266.98	DCR|4VULN|2DUR|1TLV|2LIT	19DUR|2BEXP|3479VULN|5MBVNT|69LIT|8RCR|9BPWR|aTLV
13	11432 11612	10	   	266.38	DCR|3VULN|3DMG|2DUR	19DUST|249DMG|3LIT|5aDUR|679VULN|8RCR|9BPWR
14	41453 31121	10	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2DMG|3LIT|478aVULN|5TLV|6MBVNT|9RCR
15	41453 31121	9	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2DMG|3LIT|478aVULN|5TLV|6MBVNT|9RCR
16	43331 23415	6	   	265.45	DCR|4VULN|3DUR|1TLV	147DUR|2BEXP|3578VULN|67LWND|7BPWR|9TLV|aRCR
17	21131 32455	7	   	265.25	DCR|4VULN|3DUR|1TLV	18ERES|268DUR|3TLV|4LWND|5678VULN|68BPWR|9BBNT|aRCR
18	21331 32455	7	   	265.25	DCR|4VULN|3DUR|1TLV	18ERES|268DUR|3LWND|4TLV|5678VULN|68BPWR|9BBNT|aRCR
19	21131 36435	7	   	264.36	DCR|3VULN|3DUR|1TLV|1DMG	18ERES|268DUR|3TLV|4LWND|568VULN|68BPWR|7DMSP|9DMG|aRCR
20	21331 36435	7	   	264.36	DCR|3VULN|3DUR|1TLV|1DMG	18ERES|268DUR|3LWND|4TLV|568VULN|68BPWR|7DMSP|9DMG|aRCR
21	21131 33555	7	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ERES|269DUR|3TLV|4LWND|568VULN|6BPWR|7DMG|aRCR
22	21131 35435	6	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ERES|267DUR|3TLV|4LWND|568VULN|6BPWR|9DMG|aRCR
23	21151 33255	8	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ERES|269DUR|3TLV|4LHND|568VULN|6BPWR|7DMG|aRCR
24	21151 33255	7	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ERES|269DUR|3TLV|4LHND|568VULN|6BPWR|7DMG|aRCR
25	21331 33555	7	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ERES|269DUR|3LWND|4TLV|568VULN|6BPWR|7DMG|aRCR
26	21331 35435	6	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ERES|267DUR|3LWND|4TLV|568VULN|6BPWR|9DMG|aRCR
27	21131 32335	8	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ERES|268DUR|3TLV|4LWND|567VULN|6BPWR|9DMG|aRCR
28	21151 32335	8	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ERES|268DUR|3TLV|4LHND|567VULN|6BPWR|9DMG|aRCR
29	21331 32335	8	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ERES|268DUR|3LWND|4TLV|567VULN|6BPWR|9DMG|aRCR
30	24135 32335	8	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ERES|267VULN|3TLV|4LWND|568DUR|6BPWR|9DMG|aRCR
31	24325 32335	8	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ERES|267VULN|3LWND|4TLV|568DUR|6BPWR|9DMG|aRCR
32	43323 85334	10	   	263.57	DCR|4VULN|2DMG|2DUR	19DUR|2BEXP|3469VULN|5MBVNT|7RMIN|89DMG|9BPWR|aRCR
33	45323 13534	10	   	263.57	DCR|4VULN|2DMG|2DUR	19DUR|2LHND|3489VULN|5MBVNT|6RMIN|79DMG|9BPWR|aRCR
34	41431 53233	7	 * 	263.11	DCR|2VULN|3DMG|2DUR|3LIT|1AART	19DUR|245DMG|389LIT|69VULN|7AART|9BPWR|aRCR
