0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41321 66113	10	 * 	284.31	DCR|4VULN|2DMG|3TLV|2AART|1SELL	13AART|269TLV|469aVULN|5SELL|69BPWR|79DMG|8RCR
2	15163 11111	10	 * 	283.39	DCR|4VULN|2DMG|2DUR|2CDMG|1SELL	1SELL|235aVULN|49CDMG|6aDUR|7RCR|8aDMG|aBPWR
3	15163 11114	9	 * 	283.39	DCR|4VULN|2DMG|2DUR|2CDMG|1SELL	1SELL|235aVULN|49CDMG|6aDUR|7RCR|8aDMG|aBPWR
4	13111 55112	10	 * 	278.91	DCR|3VULN|3DMG|3TLV|2AART|1SELL	1SELL|27AART|349DMG|59aTLV|69aVULN|8RCR|9aBPWR
5	41232 52315	2	 * 	278.27	DCR|4VULN|2TLV|2DUR|1AART	1AART|2aTLV|367aVULN|4LWND|5LIT|8aDUR|9RCR|aBPWR
6	41222 52315	2	   	278.17	DCR|4VULN|2TLV|2DUR|1AART	1AART|2aTLV|367aVULN|4DUST|5LIT|8aDUR|9RCR|aBPWR
7	15123 56222	3	 * 	271.73	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|2378VULN|47DUR|5DMSP|67DMG|7BPWR|9RCR|aLIT
8	15223 56222	2	 * 	271.73	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|2378VULN|47DUR|5DMSP|67DMG|7BPWR|9RCR|aLIT
9	41321 66111	10	 * 	271.56	DCR|3VULN|2DMG|3TLV|2AART|1SELL	13AART|269TLV|469VULN|5SELL|69BPWR|79DMG|8RCR|aLIT
10	45113 62333	4	 * 	270.77	DCR|4VULN|2DMG|2CDMG|1AART	1AART|245aVULN|3ASPD|6aCDMG|7BELT|8RCR|9aDMG|aBPWR
11	13111 55111	9	 * 	270.47	DCR|2VULN|3DMG|2TLV|2AART|1DUR|1SELL	1SELL|27AART|349DMG|59TLV|69VULN|8RCR|9BPWR|aDUR
