0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35142 36213	3	 * 	290.11	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR|1CDMG	19ASPD|2CDMG|39DMG|4RMIN|5DUR|6TLV|789VULN|9BPWR|aRCR
2	35113 36216	4	   	283.52	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG|1AART	19ASPD|2CDMG|39DMG|4TLV|5CGEN|679VULN|8RCR|9BPWR|aAART
3	35112 16213	4	 * 	283.21	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1ASPD|29CDMG|3DMG|4TLV|59DUR|6CGEN|789VULN|9BPWR|aRCR
4	55113 11213	7	   	283.21	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1MLV|29CDMG|3DMG|4TLV|59DUR|6ASPD|789VULN|9BPWR|aRCR
5	55113 16213	6	   	283.21	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1MLV|29CDMG|3DMG|4TLV|59DUR|6ASPD|789VULN|9BPWR|aRCR
6	35132 36213	4	   	283.11	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1ASPD|29CDMG|3DMG|4ERES|59DUR|6TLV|789VULN|9BPWR|aRCR
7	35113 36211	4	   	282.17	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	19ASPD|2CDMG|39DMG|4TLV|5CGEN|679VULN|8RCR|9BPWR|aLIT
8	35132 36211	5	   	282.07	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	19ASPD|2CDMG|39DMG|4ERES|5TLV|679VULN|8RCR|9BPWR|aLIT
9	33843 13388	5	 * 	277.54	DCR|3VULN|3DMG|3ASPD	18aASPD|2MBVNT|38aDMG|4LWND|5LIT|6RCR|78aVULN|8aBPWR|9RPLT
10	32313 43131	4	 * 	276.29	DCR|3VULN|3ASPD|2DUR|2CDMG|1AART	126ASPD|37CDMG|478VULN|57DUR|7BPWR|9AART|aRCR
11	32344 43131	3	   	276.29	DCR|3VULN|3ASPD|2DUR|2CDMG|1AART	126ASPD|37CDMG|47DUR|578VULN|7BPWR|9AART|aRCR
12	35123 43131	2	   	276.29	DCR|3VULN|3ASPD|2DUR|2CDMG|1AART	146ASPD|27CDMG|378VULN|57DUR|7BPWR|9AART|aRCR
13	35113 36212	4	   	273.86	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	19ASPD|2CDMG|39DMG|4TLV|5CGEN|679VULN|8RCR|9BPWR|aRCVC
14	35113 36213	4	   	273.86	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	19ASPD|2CDMG|39DMG|4TLV|5CGEN|679VULN|8RCR|9BPWR|aRMIN
15	35113 36214	4	   	273.86	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	19ASPD|2CDMG|39DMG|4TLV|5aCGEN|679VULN|8RCR|9BPWR
16	35113 36215	4	   	273.86	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	19ASPD|2CDMG|39DMG|4TLV|5CGEN|679VULN|8RCR|9BPWR|aMLV
17	35142 16213	3	   	273.86	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	19ASPD|2CDMG|39DMG|4RMIN|5DUR|6CGEN|789VULN|9BPWR|aRCR
18	35143 26213	3	   	273.86	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	19ASPD|2CDMG|39DMG|4RMIN|5CGEN|6DUR|789VULN|9BPWR|aRCR
19	35132 36212	5	   	273.76	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	19ASPD|2CDMG|39DMG|4ERES|5TLV|679VULN|8RCR|9BPWR|aRCVC
20	35132 36213	5	   	273.76	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	19ASPD|2CDMG|39DMG|4ERES|5TLV|679VULN|8RCR|9BPWR|aRMIN
21	35132 36214	5	   	273.76	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	19ASPD|2CDMG|39DMG|4ERES|5TLV|679VULN|8RCR|9BPWR|aCGEN
22	35132 36216	5	   	273.76	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	19ASPD|2CDMG|39DMG|4ERES|5TLV|679VULN|8RCR|9BPWR|aZMB
23	35153 36213	4	   	273.66	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	19ASPD|2CDMG|39DMG|4LEGI|5ERES|6TLV|789VULN|9BPWR|aRCR
24	35132 36215	5	   	273.66	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	19ASPD|2CDMG|39DMG|4ERES|5TLV|679VULN|8RCR|9BPWR|aBBNT
25	35552 31213	2	   	273.36	DCR|3VULN|2DUR|2ASPD|2CDMG|1TLV	19ASPD|27CDMG|39DUR|4FEWX|5TLV|689VULN|9BPWR|aRCR
26	35562 21213	2	   	273.36	DCR|3VULN|2DUR|2ASPD|2CDMG|1TLV	19ASPD|27CDMG|39DUR|4BEXP|5TLV|689VULN|9BPWR|aRCR
27	35642 21213	4	   	273.36	DCR|3VULN|2DUR|2ASPD|2CDMG|1TLV	19ASPD|27CDMG|39DUR|4BEXP|5TLV|689VULN|9BPWR|aRCR
28	35652 31213	3	   	273.36	DCR|3VULN|2DUR|2ASPD|2CDMG|1TLV	19ASPD|27CDMG|39DUR|4FEWX|5TLV|689VULN|9BPWR|aRCR
29	35662 21213	3	   	273.36	DCR|3VULN|2DUR|2ASPD|2CDMG|1TLV	19ASPD|27CDMG|39DUR|4BEXP|5TLV|689VULN|9BPWR|aRCR
30	35132 51213	7	 * 	272.24	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR|1ASPD	1ASPD|29CDMG|3DMG|4ERES|59TLV|6DUR|789VULN|9BPWR|aRCR
31	35132 56213	6	   	272.24	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR|1ASPD	1ASPD|29CDMG|3DMG|4ERES|59TLV|6DUR|789VULN|9BPWR|aRCR
32	35241 42451	10	 * 	270.76	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	19ASPD|2CDMG|3MBVNT|49DUR|5DMG|6MLV|7RCR|89aVULN|9BPWR
33	35241 42453	9	   	270.76	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	19ASPD|2CDMG|3MBVNT|49DUR|5DMG|6MLV|7RCR|89aVULN|9BPWR
34	35531 35213	3	 * 	270.76	DCR|3VULN|2DUR|2ASPD|2TLV|1CDMG	19ASPD|2CDMG|39TLV|47DUR|5FEWX|689VULN|9BPWR|aRCR
35	35241 72451	10	   	270.66	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	19ASPD|2CDMG|3MBVNT|49DUR|5DMG|6ERES|7RCR|89aVULN|9BPWR
36	35241 72453	9	   	270.66	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	19ASPD|2CDMG|3MBVNT|49DUR|5DMG|6ERES|7RCR|89aVULN|9BPWR
37	33816 12316	5	 * 	269.74	DCR|2VULN|2DMG|2DUR|2ASPD|1CDMG	18ASPD|2MBVNT|38DMG|4LIT|5aVULN|6RCR|78DUR|8BPWR|9CDMG
38	33817 12316	4	   	269.74	DCR|2VULN|2DMG|2DUR|2ASPD|1CDMG	18ASPD|2MBVNT|38DMG|4LIT|5aVULN|6RCR|78DUR|8BPWR|9CDMG
39	32281 26473	2	   	269.53	DCR|3VULN|2DMG|3ASPD|1TLV	125ASPD|3MBVNT|457VULN|57BPWR|67DMG|8LEGI|9TLV|aRCR
40	32262 46284	2	   	269.39	DCR|3VULN|2DMG|3ASPD|1TLV|1SELL	12aASPD|3MBVNT|4SELL|5TLV|6RCR|78aVULN|9aDMG|aBPWR
41	35133 36213	3	   	268.43	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1ASPD	1ASPD|29CDMG|3DMG|4DUR|59ERES|6TLV|789VULN|9BPWR|aRCR
42	33816 62233	6	   	268.38	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	19ASPD|2MBVNT|3aDMG|49LIT|569VULN|7RCR|8AART|9BPWR
43	33816 63233	7	   	268.38	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	19ASPD|2MBVNT|3aDMG|49LIT|569VULN|7RCR|8AART|9BPWR
44	33816 63233	8	   	268.38	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	19ASPD|2MBVNT|3aDMG|49LIT|569VULN|7RCR|8AART|9BPWR
45	32281 22177	2	 * 	268.00	DCR|4VULN|3ASPD|1DMG|1AART	125ASPD|3MBVNT|4579VULN|5BPWR|6DMG|8AART|aRCR
46	55131 35213	3	 * 	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	19MLV|2CDMG|39DMG|47DUR|5FEWX|689VULN|9BPWR|aRCR
47	33813 43637	2	   	266.84	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG|1NUKE	19ASPD|2MBVNT|359VULN|4NUKE|6TLV|7CDMG|89DUR|9BPWR|aRCR
48	55113 11513	8	 * 	266.51	DCR|2VULN|2DUR|2ASPD|1DMG|2CDMG|1TLV	1MLV|29CDMG|3DMG|4TLV|59DUR|68ASPD|79VULN|9BPWR|aRCR
49	33813 13316	5	   	265.82	DCR|3VULN|2DMG|2ASPD|1CDMG	18ASPD|2MBVNT|38DMG|4LIT|5LHND|6RCR|78aVULN|8BPWR|9CDMG
50	33816 13316	4	   	265.82	DCR|3VULN|2DMG|2ASPD|1CDMG	18ASPD|2MBVNT|38DMG|4LIT|5LHND|6RCR|78aVULN|8BPWR|9CDMG
51	33817 13316	5	   	265.82	DCR|3VULN|2DMG|2ASPD|1CDMG	18ASPD|2MBVNT|38DMG|4LIT|5LWND|6RCR|78aVULN|8BPWR|9CDMG
52	33843 13316	5	   	265.82	DCR|3VULN|2DMG|2ASPD|1CDMG	18ASPD|2MBVNT|38DMG|4LWND|5LIT|6RCR|78aVULN|8BPWR|9CDMG
53	32281 54621	2	   	264.18	DCR|4VULN|3ASPD|1DUR|1AART	125ASPD|3MBVNT|456aVULN|5BPWR|7AART|8DUR|9RCR
54	35152 31235	5	 * 	263.73	DCR|3VULN|2DMG|2ASPD|2CDMG	17ASPD|25CDMG|37DMG|4LEGI|67aVULN|7BPWR|8RCR|9BBNT
55	33842 28133	2	   	263.67	DCR|4VULN|2ASPD|1DMG|2LIT	19ASPD|2MBVNT|357aVULN|45LIT|5BPWR|6DMG|8RCR
