0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32126 16352	10	 * 	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1ERES|2469VULN|34DMG|4BPWR|5LWND|7DUR|8RCR|aTLV
2	52123 21642	9	 * 	269.99	DCR|3VULN|3DMG|1TLV|1DUR	17MLV|247VULN|346DMG|47BPWR|57CGEN|8DUR|9TLV|aRCR
3	32123 21642	9	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	17ERES|247VULN|346DMG|47BPWR|57CGEN|8DUR|9TLV|aRCR
4	52126 32142	9	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1MLV|24aVULN|346DMG|4BPWR|5LWND|7DUR|8TLV|9RCR
5	52387 32141	10	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	17MLV|257VULN|3MBVNT|467DMG|7BPWR|8DUR|9TLV|aRCR
6	32126 32142	9	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	1ERES|24aVULN|346DMG|4BPWR|5LWND|7DUR|8TLV|9RCR
7	52387 12224	8	   	267.25	DCR|4VULN|2DMG|1TLV	17MLV|2567VULN|3MBVNT|47DMG|7BPWR|8LIT|9RCR|aTLV
8	32124 42226	9	   	267.15	DCR|4VULN|2DMG|1TLV	1ERES|2469VULN|34DMG|4BPWR|5DMSP|7RCR|8LIT|aTLV
9	32387 12224	8	   	267.05	DCR|4VULN|2DMG|1TLV	17ERES|2567VULN|3MBVNT|47DMG|7BPWR|8LIT|9RCR|aTLV
10	52121 15161	8	 * 	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1MLV|24VULN|34DMG|4BPWR|5LIT|6aDUR|7CDMG|8TLV|9RCR
11	32121 15161	8	   	265.89	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1ERES|24VULN|34DMG|4BPWR|5LIT|6aDUR|7CDMG|8TLV|9RCR
12	32125 16532	7	 * 	265.56	ACR|4VULN|2DMG|2TLV|2DUR	19ERES|2469VULN|34DMG|49BPWR|5RCR|7aDUR|89TLV
13	32336 14631	7	 * 	265.48	DCR|4VULN|2TLV|1DMG|1DUR	19ERES|2479VULN|3MBVNT|5DUR|6DMG|89TLV|9BPWR|aRCR
14	32342 74631	7	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	19ERES|2679VULN|3MBVNT|4DUR|5DMG|89TLV|9BPWR|aRCR
15	32344 14631	7	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	19ERES|2579VULN|3MBVNT|4DUR|6DMG|89TLV|9BPWR|aRCR
16	32387 14631	7	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	19ERES|2569VULN|3MBVNT|4DMG|7DUR|89TLV|9BPWR|aRCR
17	32125 16533	7	   	264.63	ACR|4VULN|2DMG|2TLV|1DUR|1CDMG	19ERES|2469VULN|34DMG|49BPWR|5RCR|7DUR|89TLV|aCDMG
18	52125 12131	8	 * 	264.54	ACR|5VULN|3DMG|1DUR|1CDMG	17MLV|2467aVULN|347DMG|47BPWR|5RCR|8DUR|9CDMG
19	52125 12331	7	   	264.54	ACR|5VULN|3DMG|1DUR|1CDMG	17MLV|2467aVULN|347DMG|47BPWR|5RCR|8DUR|9CDMG
20	32125 12131	8	   	264.34	ACR|5VULN|3DMG|1DUR|1CDMG	17ERES|2467aVULN|347DMG|47BPWR|5RCR|8DUR|9CDMG
21	32125 12331	7	   	264.34	ACR|5VULN|3DMG|1DUR|1CDMG	17ERES|2467aVULN|347DMG|47BPWR|5RCR|8DUR|9CDMG
22	32162 42522	3	 * 	264.30	DCR|4VULN|3DMG|1DUR|1SELL	1ERES|2679VULN|356DMG|4SELL|6BPWR|8RCR|aDUR
23	32126 16316	8	 * 	263.47	DCR|4VULN|2DMG|2DUR	1ERES|246aVULN|34DMG|4BPWR|5LWND|79DUR|8RCR
24	15123 12624	1	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1RCVC|2579VULN|3LIT|4TLV|6CDMG|8DMG|aRCR
25	52387 32131	7	 * 	262.04	DCR|4VULN|3DMG|1CDMG	17MLV|257aVULN|3MBVNT|467DMG|7BPWR|8RCR|9CDMG
26	32336 12631	6	 * 	262.02	DCR|3VULN|2DMG|2TLV|1DUR	19ERES|249VULN|3MBVNT|5DUR|67DMG|89TLV|9BPWR|aRCR
27	32342 72631	6	   	262.02	DCR|3VULN|2DMG|2TLV|1DUR	19ERES|269VULN|3MBVNT|4DUR|57DMG|89TLV|9BPWR|aRCR
28	32344 12631	6	   	262.02	DCR|3VULN|2DMG|2TLV|1DUR	19ERES|259VULN|3MBVNT|4DUR|67DMG|89TLV|9BPWR|aRCR
29	32387 34631	7	   	262.02	DCR|3VULN|2DMG|2TLV|1DUR	19ERES|259VULN|3MBVNT|46DMG|7DUR|89TLV|9BPWR|aRCR
30	32387 42631	5	   	262.02	DCR|3VULN|2DMG|2TLV|1DUR	19ERES|259VULN|3MBVNT|47DMG|6DUR|89TLV|9BPWR|aRCR
31	32387 32131	7	   	261.84	DCR|4VULN|3DMG|1CDMG	17ERES|257aVULN|3MBVNT|467DMG|7BPWR|8RCR|9CDMG
32	32121 45324	5	   	261.14	DCR|4VULN|2DMG|2LIT|1CDMG	1ERES|2469VULN|34DMG|4BPWR|58LIT|7CDMG|aRCR
33	32357 37312	10	 * 	261.12	DCR|4VULN|1TLV|1DMG|2CDMG	1aERES|259aVULN|3MBVNT|4TLV|6DMG|7RCR|8aCDMG|aBPWR
34	52121 51632	5	 * 	261.01	DCR|4VULN|2DMG|2CDMG	1MLV|2489VULN|34DMG|4BPWR|5LIT|6aCDMG|7RCR
35	52125 12132	8	 * 	260.78	ACR|4VULN|3DMG|2DUR|1CDMG	17MLV|2467VULN|347DMG|47BPWR|5RCR|8aDUR|9CDMG
36	52125 12332	7	   	260.78	ACR|4VULN|3DMG|2DUR|1CDMG	17MLV|2467VULN|347DMG|47BPWR|5RCR|8aDUR|9CDMG
37	32125 12463	7	 * 	260.64	ACR|5VULN|3DMG|1TLV	179ERES|24679VULN|347DMG|479BPWR|5RCR|8RPLT|aTLV
38	32125 12563	8	   	260.64	ACR|5VULN|3DMG|1TLV	179ERES|24679VULN|347DMG|479BPWR|5RCR|8RPLT|aTLV
39	52121 23244	4	 * 	260.64	DCR|5VULN|2DMG|1AART	1MLV|2478aVULN|34DMG|4BPWR|5BBNT|6AART|9RCR
40	52122 23244	4	   	260.64	DCR|5VULN|2DMG|1AART	1MLV|2478aVULN|34DMG|4BPWR|5TBNT|6AART|9RCR
