0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41431 11215	1	 * 	278.08	DCR|5VULN|2DUR|1DMG	1RPLT|2LHND|35679VULN|46DUR|6BPWR|8RCR|aDMG
2	41431 11216	1	 * 	271.34	DCR|5VULN|3DUR	1RPLT|2aLHND|35679VULN|46aDUR|6aBPWR|8RCR
3	11342 35323	3	 * 	270.23	DCR|3VULN|3DUR|2ASPD|1DMG	167ERES|279VULN|37ASPD|456DUR|67BPWR|8RCR|aDMG
4	11361 35323	5	   	270.23	DCR|3VULN|3DUR|2ASPD|1DMG	167ERES|279VULN|37ASPD|456DUR|67BPWR|8RCR|aDMG
5	11362 35323	4	   	270.23	DCR|3VULN|3DUR|2ASPD|1DMG	167ERES|279VULN|37ASPD|456DUR|67BPWR|8RCR|aDMG
6	11242 12642	8	   	268.00	DCR|4VULN|2DUR|1DMG|1AART	14ERES|2679VULN|3AART|56DUR|6BPWR|8DMG|aRCR
7	11242 12632	8	 * 	262.94	DCR|3VULN|2DMG|2DUR|1AART	14ERES|267VULN|3AART|56DUR|6BPWR|89DMG|aRCR
8	65113 32245	4	 * 	262.19	DCR|2VULN|3DMG|2DUR|2CDMG	1DMSP|238DMG|4aDUR|58VULN|6MBVNT|78CDMG|8BPWR|9RCR
9	31363 26326	10	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1CGEN|27aVULN|3ASPD|4DUR|5CDMG|6DMG|8TLV|9RCR
10	11363 26326	10	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1ERES|27aVULN|3ASPD|4DUR|5CDMG|6DMG|8TLV|9RCR
11	41431 11233	1	   	261.78	DCR|4VULN|2DUR|1CDMG|1AART	1RPLT|2LHND|3567VULN|46DUR|6BPWR|8RCR|9AART|aCDMG
12	31423 53413	7	 * 	261.64	DCR|4VULN|2DMG|1DUR	19CGEN|269aVULN|3DUR|4BELT|5BEXP|79DMG|8RCR|9BPWR
13	26322 53413	7	   	261.54	DCR|4VULN|2DMG|1DUR	19LWND|269aVULN|3ERES|4BELT|5DUR|79DMG|8RCR|9BPWR
14	11622 53413	7	   	261.44	DCR|4VULN|2DMG|1DUR	19ERES|269aVULN|3LWND|4BELT|5DUR|79DMG|8RCR|9BPWR
15	31254 61232	8	   	259.86	DCR|4VULN|3DUR|1AART|1SELL	18CGEN|2689VULN|3AART|4SELL|568DUR|68BPWR|7RCR|aLIT
