0	Index      	Bounty	 *	Score 	Summary	Detail	
1	44421 23323	7	 * 	282.05	DCR|3VULN|3DUR|2DMG|1TLV	1RPLT|247VULN|3CGEN|57DMG|679DUR|7BPWR|8TLV|aRCR
2	21161 25361	1	 * 	281.84	DCR|4VULN|3DUR|2TLV	18TLV|289aVULN|3LHND|4ASPD|568DUR|7RCR|8BPWR
3	21111 63432	3	 * 	280.27	DCR|4VULN|2TLV|2DUR|1DMG	19TLV|2BEXP|3679VULN|49DUR|5BBNT|8RCR|9BPWR|aDMG
4	21112 63432	3	   	280.27	DCR|4VULN|2TLV|2DUR|1DMG	19TLV|2BEXP|3679VULN|49DUR|5TBNT|8RCR|9BPWR|aDMG
5	21161 35351	1	   	276.45	DCR|4VULN|2TLV|2DUR|2ASPD	18TLV|268aVULN|3LHND|49ASPD|58DUR|7RCR|8BPWR
6	42112 34361	3	   	273.29	DCR|4VULN|3DUR|2TLV|1SELL	1RPLT|2SELL|348DUR|589aVULN|68TLV|7RCR|8BPWR
7	23232 33224	8	 * 	273.29	DCR|4VULN|3DUR|3TLV|1SELL	179TLV|2LEGI|3SELL|479DUR|5RCVC|6789VULN|79BPWR|aRCR
8	23234 33326	7	   	273.19	DCR|4VULN|3DUR|2TLV|1SELL	17TLV|2LEGI|3SELL|457DUR|678aVULN|7BPWR|9RCR
9	23234 33426	8	   	273.19	DCR|4VULN|3DUR|2TLV|1SELL	17TLV|2LEGI|3SELL|457DUR|678aVULN|7BPWR|9RCR
10	23235 33326	7	   	273.19	DCR|4VULN|3DUR|2TLV|1SELL	17TLV|2LEGI|3SELL|467DUR|578aVULN|7BPWR|9RCR
11	23235 33426	8	   	273.19	DCR|4VULN|3DUR|2TLV|1SELL	17TLV|2LEGI|3SELL|467DUR|578aVULN|7BPWR|9RCR
12	26232 33326	7	   	273.19	DCR|4VULN|3DUR|2TLV|1SELL	17TLV|2DUST|3SELL|457DUR|678aVULN|7BPWR|9RCR
13	26232 33426	8	   	273.19	DCR|4VULN|3DUR|2TLV|1SELL	17TLV|2DUST|3SELL|457DUR|678aVULN|7BPWR|9RCR
14	21426 27421	1	   	272.87	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	19TLV|289VULN|3CDMG|4DMG|5MBVNT|69DUR|7RCR|9BPWR|aBEXP
15	21426 27423	1	   	272.87	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	19TLV|289VULN|3CDMG|4DMG|5MBVNT|69DUR|7RCR|9BPWR|aMLV
16	21426 27422	1	   	272.77	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	19TLV|289VULN|3CDMG|4DMG|5MBVNT|69DUR|7RCR|9BPWR|aBBNT
17	21426 27424	1	   	272.77	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	19TLV|289VULN|3CDMG|4DMG|5MBVNT|69DUR|7RCR|9BPWR|aERES
18	11111 63432	3	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	19BEXP|2TLV|3679VULN|49DUR|5BBNT|8RCR|9BPWR|aDMG
19	11112 63432	3	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	19BEXP|2TLV|3679VULN|49DUR|5TBNT|8RCR|9BPWR|aDMG
20	23131 31142	5	   	269.86	DCR|4VULN|2TLV|2DUR|1AART	19TLV|2LEGI|3569VULN|4RCVC|79DUR|8RCR|9BPWR|aAART
21	23161 31142	5	   	269.86	DCR|4VULN|2TLV|2DUR|1AART	19TLV|2LEGI|3569VULN|4DMSP|79DUR|8RCR|9BPWR|aAART
22	21426 27221	1	 * 	269.71	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	19TLV|29VULN|3CDMG|4DMG|5MBVNT|689DUR|7RCR|9BPWR|aLIT
23	21132 34326	3	 * 	269.63	DCR|5VULN|1TLV|1DUR|1CDMG	1TLV|245BEXP|3457aVULN|45BPWR|6CDMG|8DUR|9RCR
24	26132 34326	3	   	269.33	DCR|5VULN|1TLV|1DUR|1CDMG	1TLV|245DUST|3457aVULN|45BPWR|6CDMG|8DUR|9RCR
25	21161 35353	1	   	269.05	DCR|3VULN|2TLV|2DUR|2ASPD|1CDMG	18TLV|268VULN|3LHND|49ASPD|58DUR|7RCR|8BPWR|aCDMG
26	21161 35361	1	   	268.61	DCR|4VULN|2TLV|2DUR	18TLV|268aVULN|39LHND|4ASPD|58DUR|7RCR|8BPWR
27	23161 25361	3	   	268.53	DCR|3VULN|3DUR|2TLV|2ASPD	18TLV|2LEGI|39aVULN|48ASPD|568DUR|7RCR|8BPWR
28	16223 24363	4	   	267.91	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	178BEXP|278VULN|3TLV|4RPLT|5CDMG|678DUR|78BPWR|9AART|aRCR
29	21161 35332	1	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	18TLV|268VULN|3LHND|4ASPD|58DUR|7RCR|8BPWR|9BELT|aDMG
30	21134 33145	7	 * 	267.02	DCR|4VULN|2DMG|3TLV	149TLV|2BEXP|379aVULN|59DMG|6RMIN|8RCR|9BPWR
31	41121 73341	10	   	267.02	DCR|4VULN|2DMG|2TLV	1RPLT|2RCVC|37TLV|4MBVNT|57DMG|678aVULN|7BPWR|9RCR
32	16313 63224	8	 * 	265.78	DCR|4VULN|3TLV|2CDMG|1DUR	179BEXP|2789VULN|34CDMG|5DUR|679TLV|79BPWR|aRCR
