0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41532 36122	5	 * 	300.78	DCR|4VULN|2DMG|2DUR|1TLV	19DMG|2789VULN|3RPLT|4LIT|5TLV|69DUR|9BPWR|aRCR
2	42612 35133	6	 * 	289.65	DCR|4VULN|3DMG|2LIT|1CDMG	157DMG|27MLV|3CDMG|45LIT|57BPWR|6789VULN|aRCR
3	41453 23222	7	   	284.69	DCR|3VULN|2DMG|2DUR|1TLV|2LIT	19DMG|259VULN|3TLV|47DUR|69LIT|8RPLT|9BPWR|aRCR
4	41451 21122	5	   	284.69	DCR|3VULN|2DMG|2DUR|1TLV|2LIT	19DMG|289VULN|3TLV|47DUR|5RPLT|69LIT|9BPWR|aRCR
5	41533 36122	4	   	284.53	DCR|4VULN|2DMG|2DUR	19DMG|2789VULN|3RPLT|4LIT|5MLV|69DUR|9BPWR|aRCR
6	42611 35133	6	   	283.00	DCR|4VULN|3DMG|1CDMG	157DMG|27MLV|3CDMG|4LIT|6789VULN|7BPWR|aRCR
7	26233 36122	1	   	276.50	DCR|4VULN|2DMG|1TLV|2LIT	19LIT|29DMG|3FEWX|4RPLT|5TLV|6789VULN|9BPWR|aRCR
8	41423 25222	6	   	276.50	DCR|4VULN|2DMG|1TLV|2LIT	19DMG|2579VULN|3TLV|4LHND|69LIT|8RPLT|9BPWR|aRCR
9	41431 26122	5	   	276.50	DCR|4VULN|2DMG|1TLV|2LIT	19DMG|2789VULN|3TLV|4BEXP|5RPLT|69LIT|9BPWR|aRCR
10	41433 25222	6	   	276.50	DCR|4VULN|2DMG|1TLV|2LIT	19DMG|2579VULN|3TLV|4BEXP|69LIT|8RPLT|9BPWR|aRCR
11	41521 26122	4	   	276.50	DCR|4VULN|2DMG|1DUR|2LIT	19DMG|2789VULN|3RPLT|4DUR|5MLV|69LIT|9BPWR|aRCR
12	41151 23132	5	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	17DMG|2789VULN|3ERES|4DUR|5RPLT|67LIT|7BPWR|aRCR
13	41151 26122	5	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	19DMG|2789VULN|3ERES|4DUR|5RPLT|69LIT|9BPWR|aRCR
14	41153 25222	6	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	19DMG|2579VULN|3ERES|4DUR|69LIT|8RPLT|9BPWR|aRCR
15	41413 25222	6	   	276.40	DCR|4VULN|2DMG|1TLV|2LIT	19DMG|2579VULN|3TLV|4DUST|69LIT|8RPLT|9BPWR|aRCR
16	41521 23132	5	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	17DMG|2789VULN|3RPLT|4DUR|5ERES|67LIT|7BPWR|aRCR
17	41521 26122	5	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	19DMG|2789VULN|3RPLT|4DUR|5ERES|69LIT|9BPWR|aRCR
18	41523 23132	4	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	17DMG|2789VULN|3RPLT|4DUR|5ERES|67LIT|7BPWR|aRCR
19	41523 26122	4	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	19DMG|2789VULN|3RPLT|4DUR|5ERES|69LIT|9BPWR|aRCR
20	52361 31313	2	 * 	276.37	DCR|3VULN|3DUR|2DMG	127DUR|3DUST|47DMG|578VULN|6AART|7BPWR|9ZMB|aRCR
21	42632 12433	5	 * 	273.29	DCR|2VULN|3DMG|2DUR|2CDMG|1ASPD	15aDMG|2MLV|3aCDMG|45DUR|5aBPWR|6BBNT|7ASPD|8RCR|9aVULN
22	25221 22443	1	 * 	272.45	DCR|2VULN|2DMG|2DUR|3LIT|1TLV	135LIT|2aDUR|4AART|6RCR|7TLV|8aDMG|9aVULN|aBPWR
23	33213 55243	2	 * 	271.95	DCR|2VULN|3DMG|3ASPD|3LIT	1RMIN|2AART|379ASPD|49VULN|579LIT|678DMG|79BPWR|aRCR
24	61245 12312	1	   	271.20	DCR|4VULN|2DMG|1DUR	1AART|2RPLT|356aVULN|45DMG|5BPWR|7RCR|8DMSP|9DUR
