0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26124 42211	3	 * 	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1RPLT|2aDUR|3aDMG|4TLV|5ASPD|69aVULN|7MBVNT|8RCR|aBPWR
2	22116 53622	7	 * 	272.06	DCR|4VULN|3DUR|1DMG	1RPLT|278FEWX|3DMG|478DUR|5678VULN|78BPWR|9LHND|aRCR
3	22116 53612	7	   	271.96	DCR|4VULN|3DUR|1DMG	1RPLT|278FEWX|3DMG|478DUR|5678VULN|78BPWR|9DUST|aRCR
4	26133 22625	3	 * 	271.80	DCR|2VULN|3DMG|3DUR|1TLV	1RPLT|258DUR|358DMG|4BBNT|58BPWR|68VULN|7BELT|9TLV|aRCR
5	26133 81211	7	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2aDUR|3aDMG|4MBVNT|5TLV|6ZMB|79aVULN|8RCR|aBPWR
6	15612 13353	1	   	268.35	DCR|4VULN|3DUR|1TLV	134FEWX|249aVULN|49aBPWR|5TLV|6RCR|79aBEXP|89aDUR
7	16512 13353	3	   	268.35	DCR|4VULN|3DUR|1TLV	134FEWX|249aVULN|49aBPWR|5TLV|6RCR|79aBEXP|89aDUR
8	16612 13353	2	   	268.35	DCR|4VULN|3DUR|1TLV	134FEWX|249aVULN|49aBPWR|5TLV|6RCR|79aBEXP|89aDUR
9	15312 13353	1	   	268.25	DCR|4VULN|3DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79BEXP|89aDUR
10	16312 13353	2	   	268.25	DCR|4VULN|3DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79BEXP|89aDUR
11	15312 16353	1	   	268.05	DCR|4VULN|3DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79DUST|89aDUR
12	16312 16353	2	   	268.05	DCR|4VULN|3DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79DUST|89aDUR
13	52516 23313	8	 * 	266.33	DCR|3VULN|3DMG|2CDMG|1SELL	1SELL|245VULN|34CDMG|4BPWR|6LIT|78aDMG|9RCR
14	16136 11532	3	 * 	266.22	DCR|5VULN|2DUR|1NUKE	1FEWX|24578VULN|35DUR|5BPWR|6NUKE|9LIT|aRCR
15	16136 33151	3	   	265.63	DCR|4VULN|2DUR|1TLV|1ASPD	1FEWX|2458VULN|35DUR|5BPWR|6ERES|7ASPD|9TLV|aRCR
16	26163 21325	3	   	264.97	DCR|2VULN|3DMG|3DUR|1AART|1SELL	1RPLT|245DUR|345DMG|45BPWR|69VULN|7SELL|8AART|aRCR
17	26114 42211	3	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	1RPLT|2aDUR|3aDMG|4MLV|5ASPD|69aVULN|7MBVNT|8RCR|aBPWR
18	26112 16216	10	 * 	262.29	DCR|2VULN|3DMG|2DUR|2CDMG	1RPLT|28DUR|37aDMG|4RCVC|58CDMG|68VULN|8BPWR|9RCR
19	26112 16216	9	   	262.29	DCR|2VULN|3DMG|2DUR|2CDMG	1RPLT|28DUR|37aDMG|4RCVC|58CDMG|68VULN|8BPWR|9RCR
20	12156 22151	4	 * 	261.44	DCR|4VULN|2DMG|1TLV	1FEWX|2RMIN|35DMG|4578VULN|5BPWR|6DUST|9TLV|aRCR
21	26125 21124	4	 * 	261.44	DCR|2VULN|2DMG|2DUR|2ASPD|1CDMG	1RPLT|29DUR|35DMG|45ASPD|5BPWR|6CDMG|7aVULN|8RCR
