0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64533 33232	3	 * 	288.84	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	1RCVC|24DMG|3459VULN|4BPWR|6RCR|7CDMG|8TLV|aDUR
2	64123 32131	4	 * 	284.26	DCR|4VULN|3DMG|1TLV|1AART	1RCVC|238DMG|4578VULN|6RCR|8BPWR|9AART|aTLV
3	51333 54131	5	 * 	282.01	DCR|5VULN|2DMG|2DUR	12789VULN|3CGEN|47DUR|57DMG|6RCR|7BPWR|aRMIN
4	51333 54132	5	   	282.01	DCR|5VULN|2DMG|2DUR	12789VULN|3CGEN|47DUR|57DMG|6RCR|7BPWR|aRCVC
5	51333 54133	5	   	282.01	DCR|5VULN|2DMG|2DUR	12789VULN|3CGEN|47DUR|57DMG|6RCR|7BPWR|aRPLT
6	52333 54131	5	 * 	279.33	DCR|4VULN|3DMG|2DUR	1789VULN|2DMSP|3CGEN|47DUR|57aDMG|6RCR|7BPWR
7	51151 22315	3	 * 	276.90	DCR|4VULN|3DUR|2DMG	129aVULN|3ZMB|4BELT|589DUR|69DMG|7RCR|9BPWR
8	51133 22315	5	   	276.90	DCR|4VULN|3DUR|2DMG	129aVULN|3ZMB|489DUR|5BELT|69DMG|7RCR|9BPWR
9	64123 32132	4	 * 	276.39	DCR|5VULN|3DMG|1AART	1RCVC|238DMG|4578aVULN|6RCR|8aBPWR|9AART
10	11511 22314	3	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1BEXP|2357VULN|45DMG|5BPWR|6DMSP|8DUR|9RCR|aTLV
11	11611 22314	2	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1BEXP|2357VULN|45DMG|5BPWR|6DMSP|8DUR|9RCR|aTLV
12	11611 22314	1	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1BEXP|2357VULN|45DMG|5BPWR|6DMSP|8DUR|9RCR|aTLV
13	21616 22114	1	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1FEWX|2367VULN|48DMG|5DUR|9RCR|aTLV
14	21616 22114	2	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1FEWX|2367VULN|48DMG|5DUR|9RCR|aTLV
15	21653 22114	5	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1FEWX|2467VULN|3DUR|58DMG|9RCR|aTLV
16	21653 22114	4	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1FEWX|2467VULN|3DUR|58DMG|9RCR|aTLV
17	51133 33162	2	   	274.49	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	123aVULN|4TBNT|5aLIT|6DMG|7CDMG|8aDUR|9RCR|aBPWR
18	51153 33162	2	   	274.49	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	123aVULN|4BBNT|5aLIT|6DMG|7CDMG|8aDUR|9RCR|aBPWR
19	51423 33162	2	   	274.49	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	124aVULN|3BBNT|5aLIT|6DMG|7CDMG|8aDUR|9RCR|aBPWR
20	51411 12334	3	 * 	273.68	ACR|5VULN|3DMG|2DUR	1258aVULN|3RCR|458DMG|58BPWR|6TBNT|78DUR|9LIT
21	32323 16165	5	 * 	273.53	DCR|4VULN|3DUR|2TLV	1RMIN|2BELT|359aVULN|469DUR|79TLV|8RCR|9BPWR
22	32323 26165	6	   	273.53	DCR|4VULN|3DUR|2TLV	1RMIN|2BELT|359aVULN|469DUR|79TLV|8RCR|9BPWR
23	32331 16165	3	   	273.53	DCR|4VULN|3DUR|2TLV	1RMIN|2BELT|349aVULN|569DUR|79TLV|8RCR|9BPWR
24	51133 54331	4	   	273.16	DCR|4VULN|3DUR|1DMG|1CDMG	1278VULN|3ZMB|478DUR|578MLV|6RCR|78BPWR|9CDMG|aDMG
25	64123 35133	4	   	273.01	DCR|4VULN|3DMG|2LIT|1AART	1RCVC|239DMG|459aVULN|6RCR|7AART|89LIT|9BPWR
26	64533 33231	3	   	272.59	DCR|4VULN|2DMG|1TLV|1CDMG	1RCVC|24DMG|3459VULN|4BPWR|6RCR|7CDMG|8TLV|aMLV
27	11511 23234	3	   	272.59	DCR|4VULN|2DMG|1TLV|1CDMG	1BEXP|2359VULN|45DMG|5BPWR|6DMSP|7CDMG|8TLV|aRCR
28	11611 23234	1	   	272.59	DCR|4VULN|2DMG|1TLV|1CDMG	1BEXP|2359VULN|45DMG|5BPWR|6DMSP|7CDMG|8TLV|aRCR
29	11611 23234	2	   	272.59	DCR|4VULN|2DMG|1TLV|1CDMG	1BEXP|2359VULN|45DMG|5BPWR|6DMSP|7CDMG|8TLV|aRCR
30	64533 33233	3	   	272.49	DCR|4VULN|2DMG|1TLV|1CDMG	1RCVC|24DMG|3459VULN|4BPWR|6RCR|7CDMG|8TLV|aBBNT
31	64123 32134	4	   	271.70	DCR|4VULN|3DMG|1CDMG|1AART	1RCVC|238DMG|4578VULN|6RCR|8BPWR|9AART|aCDMG
32	51133 35162	2	   	271.63	DCR|4VULN|2DMG|2DUR|1SELL	123aVULN|4TBNT|5LIT|6aDMG|7aDUR|8SELL|9RCR|aBPWR
33	64123 32341	4	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	1RCVC|23aDMG|457VULN|6RCR|8DUR|9TLV
34	32571 46312	1	 * 	269.65	DCR|3VULN|2DMG|2TLV|3ASPD	1RMIN|258ASPD|3MBVNT|45TLV|58BPWR|68DMG|789VULN|aRCR
35	64533 33222	3	   	267.79	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1RCVC|24DMG|345VULN|4BPWR|6RCR|7CDMG|8TLV|9DMSP|aDUR
36	32111 33234	1	   	267.69	DCR|3VULN|2DMG|1TLV|2ASPD|1CDMG	1RMIN|26ASPD|359VULN|45DMG|5BPWR|7CDMG|8TLV|aRCR
37	64123 33232	4	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1RCVC|23DMG|459VULN|6RCR|7CDMG|8TLV|aDUR
38	64123 36332	4	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1RCVC|23DMG|459VULN|6RCR|7TLV|8CDMG|aDUR
39	51121 26253	2	 * 	267.12	DCR|4VULN|2DMG|2TLV	1238VULN|4BEXP|5BELT|68DMG|78TLV|8BPWR|9ZMB|aRCR
40	51121 26263	2	   	267.12	DCR|4VULN|2DMG|2TLV	1238VULN|4BEXP|5BELT|68DMG|78TLV|8BPWR|9LWND|aRCR
41	32353 11145	6	   	267.02	DCR|4VULN|2DMG|2TLV	1RMIN|2BELT|349aVULN|59DMG|6RCR|7LEGI|89TLV|9BPWR
42	11511 62143	3	   	266.95	DCR|4VULN|2DMG|1DUR|1AART	1BEXP|2357VULN|45DMG|5BPWR|6AART|8LIT|9RCR|aDUR
43	11611 62143	1	   	266.95	DCR|4VULN|2DMG|1DUR|1AART	1BEXP|2357VULN|45DMG|5BPWR|6AART|8LIT|9RCR|aDUR
44	11611 62143	2	   	266.95	DCR|4VULN|2DMG|1DUR|1AART	1BEXP|2357VULN|45DMG|5BPWR|6AART|8LIT|9RCR|aDUR
45	21611 62143	1	   	266.95	DCR|4VULN|2DMG|1DUR|1AART	1FEWX|2357VULN|45DMG|5BPWR|6AART|8LIT|9RCR|aDUR
46	21611 62143	2	   	266.95	DCR|4VULN|2DMG|1DUR|1AART	1FEWX|2357VULN|45DMG|5BPWR|6AART|8LIT|9RCR|aDUR
